	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_015159.1_1	NC_015159.1	NC_015159.1	1	515	946	1	E			YP_004251244.1	YP_004251244.1 SAM-dependent methyltransferase [Vibrio phage ICP3]	False	1.0	305	7.719e-95		VOG00244	sp|P07693|ADOM_BPT3 S-Adenosylmethionine lyase; Xh	Xh	0	False	F
NC_015159.1_2	NC_015159.1	NC_015159.1	2	1067	1258	1	E			YP_004251246.1	YP_004251246.1 hypothetical protein ViPhICP3_gp03 [Vibrio phage ICP3]	False	0.942	127	1.255e-34					0	False	F
NC_015159.1_3	NC_015159.1	NC_015159.1	3	1255	1455	1	E			YP_004251247.1	YP_004251247.1 hypothetical protein ViPhICP3_gp04 [Vibrio phage ICP3]	False	0.97	137	3.868e-38					0	False	F
NC_015159.1_4	NC_015159.1	NC_015159.1	4	1849	4500	1	C	K21313	Escherichia phage RNA polymerase [EC:2.7.7.6]	YP_004251249.1	YP_004251249.1 N4-like RNA polymerase [Vibrio phage ICP3]	True	0.964	1791	0.0	DNA-dependent RNA polymerase [PF00940.22]; DNA-directed RNA polymerase N-terminal [PF14700.9]	VOG00796	sp|P00573|RPOL_BPT7 T7 RNA polymerase; XhXr	Xh;Xr	0	False	VF
NC_015159.1_5	NC_015159.1	NC_015159.1	5	4696	5676	1	D			YP_004251250.1	YP_004251250.1 DNA ligase [Vibrio phage ICP3]	True	0.976	673	1.025e-218	DNA ligase C-terminal domain [PF17879.4]; ATP dependent DNA ligase domain [PF01068.24]	VOG00242	sp|P00970|DNLI_BPT4 DNA ligase; XhXr	Xh;Xr	0	False	VF
NC_015159.1_6	NC_015159.1	NC_015159.1	6	5673	5798	1	E			YP_004251251.1	YP_004251251.1 hypothetical protein ViPhICP3_gp08 [Vibrio phage ICP3]	False	1.0	95	4.181e-24					0	False	
NC_015159.1_7	NC_015159.1	NC_015159.1	7	5920	6246	1	E			YP_004251252.1	YP_004251252.1 hypothetical protein ViPhICP3_gp09 [Vibrio phage ICP3]	False	0.971	223	3.4989999999999996e-67		VOG36652	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_015159.1_8	NC_015159.1	NC_015159.1	8	6258	6941	1	E			YP_004251253.1	YP_004251253.1 hypothetical protein ViPhICP3_gp10 [Vibrio phage ICP3]	True	0.988	476	1.998e-152		VOG02121	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase; Xh	Xh	0	False	
NC_015159.1_9	NC_015159.1	NC_015159.1	9	6983	7156	1	D			YP_418237.1	YP_418237.1 RNA polymerase inhibitor [Vibrio phage VP4]	False	0.977	120	2.773e-32	RNA polymerase inhibitor [PF16857.8]	VOG01415	sp|P03704|VRPI_BPT7 Bacterial RNA polymerase inhibitor; Xp	Xp	0	False	
NC_015159.1_10	NC_015159.1	NC_015159.1	10	7327	7479	1	E			YP_003347908.1	YP_003347908.1 hypothetical protein VN4_08 [Vibrio phage N4]	False	0.901	96	2.592e-24					0	False	
