	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_044941.1_1	NC_044941.1	NC_044941.1	1	171	398	1	E			YP_009702243.1	YP_009702243.1 pKP86R [African swine fever virus]	False	0.975	156.0	1.113e-44												0	False	F
NC_044941.1_2	NC_044941.1	NC_044941.1	2	598	1680	-1	D			YP_009703610.1	YP_009703610.1 MGF 360-1L [African swine fever virus OURT 88/3]	True	0.988	753.0	8.329e-246								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	F
NC_044941.1_3	NC_044941.1	NC_044941.1	3	1764	2852	-1	D			YP_009703611.1	YP_009703611.1 MGF 360-2L [African swine fever virus OURT 88/3]	True	0.976	747.0	1.416e-243								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	F
NC_044941.1_4	NC_044941.1	NC_044941.1	4	3002	3535	1	E			YP_009703612.1	YP_009703612.1 Structural Protein P22 [African swine fever virus OURT 88/3]	True	1.0	377.0	3.265e-119									VOG36423	sp|P0C9W0|P22_ASFK5 Inner membrane protein p22; XhXs	Xs;Xh	0	False	VF
NC_044941.1_5	NC_044941.1	NC_044941.1	5	3673	3924	-1	E			YP_009703613.1	YP_009703613.1 pL83L [African swine fever virus OURT 88/3]	False	1.0	181.0	6.879999999999999e-53									VOG36419	sp|P0CAK6|L83L_ASFK5 Protein L83L; Xh	Xh	0	False	F
NC_044941.1_6	NC_044941.1	NC_044941.1	6	4019	4222	-1	E			YP_009703614.1	YP_009703614.1 pL60L [African swine fever virus OURT 88/3]	False	0.909	130.0	1.6720000000000002e-35									VOG36422	REFSEQ pL60L; Xu	Xu	0	False	F
NC_044941.1_7	NC_044941.1	NC_044941.1	7	4407	5477	-1	D			YP_009703615.1	YP_009703615.1 MGF 360-3L [African swine fever virus OURT 88/3]	True	0.994	750.0	8.587e-245								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	F
NC_044941.1_8	NC_044941.1	NC_044941.1	8	5704	6516	-1	D			YP_009702251.1	YP_009702251.1 pMGF 110-1L [African swine fever virus]	True	1.0	606.0	1.361e-196								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	
NC_044941.1_9	NC_044941.1	NC_044941.1	9	6519	6686	-1	E																				0	False	
NC_044941.1_10	NC_044941.1	NC_044941.1	10	6679	6819	-1	D			YP_009704146.1	YP_009704146.1 unnamed [African swine fever virus E75]	False	1.0	103.0	9.540000000000001e-27								Viral family 110 [PF01639.20]				0	False	
