	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001192.1_1	QGNH01001192.1	QGNH01001192.1	1	3	3377	1	D	YP_009150068.1	YP_009150068.1 tail protein [Enterobacteriaphage UAB_Phi87]	False	0.335	97.0	6.375e-19	MER0218250	I43	MER0218250 - family I43 unassigned peptidase inhibitors (Pedosphaera parvula) [I43.UPW]#I43#{inhibitor unit: 679-746}~source ZP_03629640~	False	0.531	71.0	9.315e-11	Chitobiase/beta-hexosaminidase C-terminal domain [PF13290.9]; Fn3 associated [PF13287.9]; Bacterial Ig domain [PF17957.4]; Domain of unknown function DUF11 [PF01345.21]; Immunoglobulin I-set domain [PF07679.19]; Immunoglobulin domain [PF13927.9]				0	False	PF
QGNH01001192.1_2	QGNH01001192.1	QGNH01001192.1	2	3396	3662	1	E																		0	False	F
QGNH01001192.1_3	QGNH01001192.1	QGNH01001192.1	3	3733	6453	1	D							MER0723977	C40	MER0723977 - family C40 unassigned peptidases (Methanosarcina barkeri) [C40.UPW]#C40#{peptidase unit: 102-204}~source A0A0E3LPZ4~	False	0.382	66.0	1.919e-09	Cadherin-like domain [PF17892.4]; Bacterial Ig domain [PF17963.4]; NlpC/P60 family [PF00877.22]				0	False	PF
QGNH01001192.1_4	QGNH01001192.1	QGNH01001192.1	4	7394	7693	1	E																		0	False	
QGNH01001192.1_5	QGNH01001192.1	QGNH01001192.1	5	7687	8220	1	E																		0	False	
QGNH01001192.1_6	QGNH01001192.1	QGNH01001192.1	6	8196	8336	-1	E																		0	False	F
QGNH01001192.1_7	QGNH01001192.1	QGNH01001192.1	7	8753	9268	1	E																		0	False	F
QGNH01001192.1_8	QGNH01001192.1	QGNH01001192.1	8	9336	10238	-1	E																		0	False	F
QGNH01001192.1_9	QGNH01001192.1	QGNH01001192.1	9	10201	10602	-1	E																		0	False	F
QGNH01001192.1_10	QGNH01001192.1	QGNH01001192.1	10	10625	10894	-1	E	YP_010664545.1	YP_010664545.1 hypothetical protein PQA72_gp49 [Shewanella phage vB_SspM_M16-3]	False	0.445	66.0	7.127e-13												0	False	F
QGNH01001192.1_11	QGNH01001192.1	QGNH01001192.1	11	11353	11541	1	E																		0	False	F
QGNH01001192.1_12	QGNH01001192.1	QGNH01001192.1	12	11518	11637	-1	E																		0	False	F
QGNH01001192.1_13	QGNH01001192.1	QGNH01001192.1	13	11631	12353	-1	D														PGAP1-like protein [PF07819.16]; Palmitoyl protein thioesterase [PF02089.18]; Putative serine esterase (DUF676) [PF05057.17]; Serine aminopeptidase, S33 [PF12146.11]				0	False	F
QGNH01001192.1_14	QGNH01001192.1	QGNH01001192.1	14	12739	13197	1	E																		0	False	F
