NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Pfam	PF18072	Formylglycinamide ribonucleotide amidotransferase linker domain	134	178	7.8E-15	T	24-06-2023	IPR041609	Phosphoribosylformylglycinamidine synthase, linker domain
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Gene3D	G3DSA:3.30.1330.10	-	522	696	8.3E-54	T	24-06-2023	IPR036921	PurM-like, N-terminal domain superfamily
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	TIGRFAM	TIGR01736	FGAM_synth_II: phosphoribosylformylglycinamidine synthase II	143	871	2.0E-246	T	24-06-2023	IPR010074	Phosphoribosylformylglycinamidine subunit PurL
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Gene3D	G3DSA:3.90.650.10	-	702	875	3.5E-37	T	24-06-2023	IPR036676	PurM-like, C-terminal domain superfamily
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	MobiDBLite	mobidb-lite	consensus disorder prediction	1	19	-	T	24-06-2023	-	-
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Gene3D	G3DSA:3.90.650.10	-	154	485	2.4E-118	T	24-06-2023	IPR036676	PurM-like, C-terminal domain superfamily
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Hamap	MF_00420	Phosphoribosylformylglycinamidine synthase subunit PurL [purL].	139	884	277.273346	T	24-06-2023	IPR010074	Phosphoribosylformylglycinamidine subunit PurL
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	PANTHER	PTHR43555	PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE SUBUNIT PURL	132	874	1.6E-262	T	24-06-2023	IPR010074	Phosphoribosylformylglycinamidine subunit PurL
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	MobiDBLite	mobidb-lite	consensus disorder prediction	1	120	-	T	24-06-2023	-	-
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	SUPERFAMILY	SSF55326	PurM N-terminal domain-like	532	700	1.24E-51	T	24-06-2023	IPR036921	PurM-like, N-terminal domain superfamily
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	SUPERFAMILY	SSF55326	PurM N-terminal domain-like	138	323	1.5E-44	T	24-06-2023	IPR036921	PurM-like, N-terminal domain superfamily
