	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
KC292026_KC292026.1_1	KC292026	KC292026.1	1	1	114	1	E											0
KC292026_KC292026.1_2	KC292026	KC292026.1	2	162	764	1	E											0
KC292026_KC292026.1_3	KC292026	KC292026.1	3	961	1569	1	E											0
KC292026_KC292026.1_4	KC292026	KC292026.1	4	1572	1940	1	D										Family of unknown function (DUF5802) [PF19118.3]	0
KC292026_KC292026.1_5	KC292026	KC292026.1	5	1933	3246	1	C	K06909	phage terminase large subunit								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, ATPase domain [PF03354.18]; Phage terminase large subunit [PF04466.16]	0
KC292026_KC292026.1_6	KC292026	KC292026.1	6	3250	3603	1	E											0
KC292026_KC292026.1_7	KC292026	KC292026.1	7	3605	5821	1	E											0
KC292026_KC292026.1_8	KC292026	KC292026.1	8	5847	6587	1	E											0
KC292026_KC292026.1_9	KC292026	KC292026.1	9	6602	6937	1	E											0
KC292026_KC292026.1_10	KC292026	KC292026.1	10	6949	8727	1	E											0
KC292026_KC292026.1_11	KC292026	KC292026.1	11	8822	11488	1	E											0
KC292026_KC292026.1_12	KC292026	KC292026.1	12	11506	11976	1	E											0
KC292026_KC292026.1_13	KC292026	KC292026.1	13	11995	12831	1	D										Phage capsid family [PF05065.16]	0
KC292026_KC292026.1_14	KC292026	KC292026.1	14	12894	13319	1	E											0
KC292026_KC292026.1_15	KC292026	KC292026.1	15	13320	13838	1	E											0
KC292026_KC292026.1_16	KC292026	KC292026.1	16	13842	14402	1	E											0
KC292026_KC292026.1_17	KC292026	KC292026.1	17	14463	15818	1	E											0
KC292026_KC292026.1_18	KC292026	KC292026.1	18	15830	16231	1	E											0
KC292026_KC292026.1_19	KC292026	KC292026.1	19	16397	16843	1	E											0
KC292026_KC292026.1_20	KC292026	KC292026.1	20	16852	17058	1	E											0
KC292026_KC292026.1_21	KC292026	KC292026.1	21	17062	20013	1	E											0
KC292026_KC292026.1_22	KC292026	KC292026.1	22	20021	20650	1	E											0
KC292026_KC292026.1_23	KC292026	KC292026.1	23	20650	21900	1	E											0
KC292026_KC292026.1_24	KC292026	KC292026.1	24	21903	22565	1	E											0
KC292026_KC292026.1_25	KC292026	KC292026.1	25	22649	23026	1	E											0
KC292026_KC292026.1_26	KC292026	KC292026.1	26	23023	24432	1	D										Baseplate J-like protein [PF04865.17]	0
KC292026_KC292026.1_27	KC292026	KC292026.1	27	24433	25599	1	E											0
KC292026_KC292026.1_28	KC292026	KC292026.1	28	25651	26217	1	E											0
KC292026_KC292026.1_29	KC292026	KC292026.1	29	26256	27323	1	E											0
KC292026_KC292026.1_30	KC292026	KC292026.1	30	27362	27550	1	E											0
KC292026_KC292026.1_31	KC292026	KC292026.1	31	27560	28534	1	E											0
KC292026_KC292026.1_32	KC292026	KC292026.1	32	28531	29358	1	E											0
KC292026_KC292026.1_33	KC292026	KC292026.1	33	29361	30197	1	E											0
KC292026_KC292026.1_34	KC292026	KC292026.1	34	30256	30792	1	E											0
KC292026_KC292026.1_35	KC292026	KC292026.1	35	30785	31027	1	E											0
KC292026_KC292026.1_36	KC292026	KC292026.1	36	31024	31194	1	E											0
KC292026_KC292026.1_37	KC292026	KC292026.1	37	31200	31589	1	E											0
KC292026_KC292026.1_38	KC292026	KC292026.1	38	31623	32231	-1	D										Helix-hairpin-helix domain [PF14520.9]	0
KC292026_KC292026.1_39	KC292026	KC292026.1	39	32330	33073	1	E											0
KC292026_KC292026.1_40	KC292026	KC292026.1	40	33063	33374	1	E											0
KC292026_KC292026.1_41	KC292026	KC292026.1	41	33401	34459	1	D			MER0220032	C26	MER0220032 - family C26 unassigned peptidases (Halalkalicoccus jeotgali) [C26.UPW]#C26#{peptidase unit: 6-341}~source YP_003736437~	False	0.51	325.0	1.134e-97	Carbamoyl-phosphate synthase small chain, CPSase domain [PF00988.25]; Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]	0
KC292026_KC292026.1_42	KC292026	KC292026.1	42	34444	35043	-1	E											0
KC292026_KC292026.1_43	KC292026	KC292026.1	43	35019	35687	-1	C	K07503	endonuclease [EC:3.1.-.-]								Endonuclease NucS [PF01939.19]	0
KC292026_KC292026.1_44	KC292026	KC292026.1	44	35680	36099	-1	E											0
KC292026_KC292026.1_45	KC292026	KC292026.1	45	36154	36516	-1	E											0
KC292026_KC292026.1_46	KC292026	KC292026.1	46	36524	36745	-1	E											0
KC292026_KC292026.1_47	KC292026	KC292026.1	47	36753	36947	-1	E											0
KC292026_KC292026.1_48	KC292026	KC292026.1	48	37147	40026	-1	D										DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	0
