L1	L2	L3	KO	Function	EC
Coenzyme transport and metabolism	Glutamate-1-semialdehyde aminotransferase		COG0001	HemL:Heme biosynthesis	
Amino acid transport and metabolism	N-acetyl-gamma-glutamylphosphate reductase		COG0002	ArgC:Arginine biosynthesis	
Inorganic ion transport and metabolism	Anion-transporting ATPase, ArsA/GET3 family		COG0003	ArsA:	
Inorganic ion transport and metabolism	Ammonia channel protein AmtB		COG0004	AmtB:	
Nucleotide transport and metabolism	Purine nucleoside phosphorylase		COG0005	XapA:Purine salvage	
Amino acid transport and metabolism	Xaa-Pro aminopeptidase		COG0006	PepP:	
Coenzyme transport and metabolism	Uroporphyrinogen-III methylase (siroheme synthase)		COG0007	CysG:Cobalamine/B12 biosynthesis	
Translation, ribosomal structure and biogenesis	Glutamyl- or glutaminyl-tRNA synthetase		COG0008	GlnS:Heme biosynthesis	
Translation, ribosomal structure and biogenesis	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC		COG0009	TsaC:tRNA modification	
Amino acid transport and metabolism	Arginase/agmatinase family enzyme		COG0010	SpeB:Urea cycle	
Coenzyme transport and metabolism	Thiamin-binding stress-response protein YqgV, UPF0045 family		COG0011	YqgV:	
Translation, ribosomal structure and biogenesis	Ribosome-binding ATPase YchF, GTP1/OBG family		COG0012	GTP1:	
Translation, ribosomal structure and biogenesis	Alanyl-tRNA synthetase		COG0013	AlaS:Aminoacyl-tRNA synthetases	
Amino acid transport and metabolism	Gamma-glutamyl phosphate reductase		COG0014	ProA:Proline biosynthesis	
Nucleotide transport and metabolism	Adenylosuccinate lyase		COG0015	PurB:Purine biosynthesis	
Translation, ribosomal structure and biogenesis	Phenylalanyl-tRNA synthetase alpha subunit		COG0016	PheS:Aminoacyl-tRNA synthetases	
Translation, ribosomal structure and biogenesis	Aspartyl/asparaginyl-tRNA synthetase		COG0017	AsnS:Aminoacyl-tRNA synthetases	
Translation, ribosomal structure and biogenesis	Arginyl-tRNA synthetase		COG0018	ArgS:Aminoacyl-tRNA synthetases	
Amino acid transport and metabolism	Diaminopimelate decarboxylase		COG0019	LysA:Lysine biosynthesis	
Lipid transport and metabolism	Undecaprenyl pyrophosphate synthase		COG0020	UppS:	
Carbohydrate transport and metabolism	Transketolase		COG0021	TktA:Pentose phosphate pathway	
Energy production and conversion	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit		COG0022	AcoB:Pyruvate oxidation	
Translation, ribosomal structure and biogenesis	Translation initiation factor 1 (eIF-1/SUI1)		COG0023	SUI1:Translation factors	
Translation, ribosomal structure and biogenesis	Methionine aminopeptidase		COG0024	Map:	
Inorganic ion transport and metabolism	NhaP-type Na+/H+ or K+/H+ antiporter		COG0025	NhaP:	
Nucleotide transport and metabolism	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)		COG0026	PurK:Purine biosynthesis	
Nucleotide transport and metabolism	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)		COG0027	PurT:Purine biosynthesis	
Amino acid transport and metabolism	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		COG0028	IlvB:Isoleucine, leucine, valine biosynthesis	
Coenzyme transport and metabolism	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		COG0028	IlvB:Isoleucine, leucine, valine biosynthesis	
Coenzyme transport and metabolism	Aspartate oxidase		COG0029	NadB:NAD biosynthesis	
Translation, ribosomal structure and biogenesis	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)		COG0030	RsmA:16S rRNA modification	
Amino acid transport and metabolism	Cysteine synthase		COG0031	CysK:Cysteine biosynthesis	
Carbohydrate transport and metabolism	Phosphoglucomutase/phosphomannomutase		COG0033	Pgm:	
Nucleotide transport and metabolism	Glutamine phosphoribosylpyrophosphate amidotransferase		COG0034	PurF:Purine biosynthesis	
Nucleotide transport and metabolism	Uracil phosphoribosyltransferase		COG0035	Upp:Pyrimidine salvage	
Carbohydrate transport and metabolism	Pentose-5-phosphate-3-epimerase		COG0036	Rpe:Pentose phosphate pathway	
Translation, ribosomal structure and biogenesis	tRNA(Ile)-lysidine synthase TilS/MesJ		COG0037	TilS:tRNA modification	
Inorganic ion transport and metabolism	H+/Cl- antiporter ClcA		COG0038	ClcA:	
Energy production and conversion	Malate/lactate dehydrogenase		COG0039	Mdh:TCA cycle	
Amino acid transport and metabolism	ATP phosphoribosyltransferase		COG0040	HisG:Histidine biosynthesis	
Nucleotide transport and metabolism	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase		COG0041	PurE:Purine biosynthesis	
Translation, ribosomal structure and biogenesis	tRNA-dihydrouridine synthase		COG0042	DusA:tRNA modification	
Coenzyme transport and metabolism	3-polyprenyl-4-hydroxybenzoate decarboxylase		COG0043	UbiD:Ubiquinone biosynthesis	
Nucleotide transport and metabolism	Dihydroorotase or related cyclic amidohydrolase		COG0044	AllB:Pyrimidine biosynthesis	
Energy production and conversion	Succinyl-CoA synthetase, beta subunit		COG0045	SucC:TCA cycle	
Nucleotide transport and metabolism	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain		COG0046	PurL1:Purine biosynthesis	
Nucleotide transport and metabolism	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain		COG0047	PurL2:Purine biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein S12		COG0048	RpsL:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S7		COG0049	RpsG:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Translation elongation factor EF-Tu, a GTPase		COG0050	TufA:Translation factors	
Translation, ribosomal structure and biogenesis	Ribosomal protein S10		COG0051	RpsJ:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S2		COG0052	RpsB:Ribosome 30S subunit	
Inorganic ion transport and metabolism	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump		COG0053	FieF:	
Coenzyme transport and metabolism	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)		COG0054	RibE:Riboflavin/FAD biosynthesis	
Energy production and conversion	FoF1-type ATP synthase, beta subunit		COG0055	AtpD:FoF1-type ATP synthase	
Energy production and conversion	FoF1-type ATP synthase, alpha subunit		COG0056	AtpA:FoF1-type ATP synthase	
Carbohydrate transport and metabolism	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase		COG0057	GapA:Glycolysis	
Carbohydrate transport and metabolism	Glucan phosphorylase		COG0058	GlgP:	
Amino acid transport and metabolism	Ketol-acid reductoisomerase		COG0059	IlvC:Isoleucine, leucine, valine biosynthesis	
Coenzyme transport and metabolism	Ketol-acid reductoisomerase		COG0059	IlvC:Isoleucine, leucine, valine biosynthesis	
Translation, ribosomal structure and biogenesis	Isoleucyl-tRNA synthetase		COG0060	IleS:Aminoacyl-tRNA synthetases	
Coenzyme transport and metabolism	NAD kinase		COG0061	NadK:	
Nucleotide transport and metabolism	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain		COG0062	Nnr1:	
Nucleotide transport and metabolism	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain		COG0063	Nnr2:	
Translation, ribosomal structure and biogenesis	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit		COG0064	GatB:Aminoacyl-tRNA synthetases	
Amino acid transport and metabolism	Homoaconitase/3-isopropylmalate dehydratase large subunit		COG0065	LeuC:Isoleucine, leucine, valine biosynthesis	
Amino acid transport and metabolism	3-isopropylmalate dehydratase small subunit		COG0066	LeuD:Isoleucine, leucine, valine biosynthesis	
Amino acid transport and metabolism	Glutamate synthase domain 1		COG0067	GltB1:Glutamine biosynthesis	
Posttranslational modification, protein turnover, chaperones	Hydrogenase maturation factor HypF (carbamoyltransferase)		COG0068	HypF:	
Amino acid transport and metabolism	Glutamate synthase domain 2		COG0069	GltB2:Glutamine biosynthesis	
Amino acid transport and metabolism	Glutamate synthase domain 3		COG0070	GltB3:Glutamine biosynthesis	
Posttranslational modification, protein turnover, chaperones	Small heat shock protein IbpA, HSP20 family		COG0071	IbpA:	
Translation, ribosomal structure and biogenesis	Phenylalanyl-tRNA synthetase beta subunit		COG0072	PheT:Aminoacyl-tRNA synthetases	
Translation, ribosomal structure and biogenesis	tRNA-binding EMAP/Myf domain		COG0073	EMAP:	
Energy production and conversion	Succinyl-CoA synthetase, alpha subunit		COG0074	SucD:TCA cycle	
Amino acid transport and metabolism	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG		COG0075	PucG:Serine biosynthesis	
Nucleotide transport and metabolism	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG		COG0075	PucG:Serine biosynthesis	
Amino acid transport and metabolism	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein		COG0076	GadA:Pantothenate/CoA biosynthesis	
Amino acid transport and metabolism	Prephenate dehydratase		COG0077	PheA2:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	Ornithine carbamoyltransferase		COG0078	ArgF:Arginine biosynthesis	
Amino acid transport and metabolism	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase		COG0079	HisC:Cobalamine/B12 biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein L11		COG0080	RplK:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L1		COG0081	RplA:Ribosome 50S subunit	
Amino acid transport and metabolism	Chorismate synthase		COG0082	AroC:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	Homoserine kinase		COG0083	ThrB:Threonine biosynthesis	
Cell motility	3'->5' ssDNA/RNA exonuclease TatD		COG0084	TatD:	
Transcription	DNA-directed RNA polymerase, beta subunit/140 kD subunit		COG0085	RpoB:RNA polymerase	
Transcription	DNA-directed RNA polymerase, beta' subunit/160 kD subunit		COG0086	RpoC:RNA polymerase	
Translation, ribosomal structure and biogenesis	Ribosomal protein L3		COG0087	RplC:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L4		COG0088	RplD:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L23		COG0089	RplW:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L2		COG0090	RplB:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L22		COG0091	RplV:Ribosome 50S subunit	
