	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_023745_NC_023745_1	NC_023745	NC_023745	1	800	1231	1	E															0
NC_023745_NC_023745_2	NC_023745	NC_023745	2	1323	1637	1	E															0
NC_023745_NC_023745_3	NC_023745	NC_023745	3	1642	2718	1	D										Collagen triple helix repeat (20 copies) [PF01391.21]					0
NC_023745_NC_023745_4	NC_023745	NC_023745	4	2722	3387	1	E															0
NC_023745_NC_023745_5	NC_023745	NC_023745	5	3366	3758	1	E															0
NC_023745_NC_023745_6	NC_023745	NC_023745	6	3791	3928	1	E															0
NC_023745_NC_023745_7	NC_023745	NC_023745	7	3928	5409	1	D										Chitinase class I [PF00182.22]	GH19	GH19 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); [reducing end] chitinase (EC 3.2.1.201)	3.2.1.14,3.2.1.17	GH19.hmm	0
NC_023745_NC_023745_8	NC_023745	NC_023745	8	5406	5858	1	D										Mycobacterial 2 TMS Phage Holin (M2 Hol) Family [PF16081.8]					0
NC_023745_NC_023745_9	NC_023745	NC_023745	9	5858	6838	1	E															0
NC_023745_NC_023745_10	NC_023745	NC_023745	10	6861	8558	1	D										Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					0
NC_023745_NC_023745_11	NC_023745	NC_023745	11	8555	10006	1	D										Phage portal protein, SPP1 Gp6-like [PF05133.17]					0
NC_023745_NC_023745_12	NC_023745	NC_023745	12	10003	10863	1	E															0
NC_023745_NC_023745_13	NC_023745	NC_023745	13	10917	11429	1	E															0
NC_023745_NC_023745_14	NC_023745	NC_023745	14	11457	12389	1	D										Phage capsid family [PF05065.16]					0
NC_023745_NC_023745_15	NC_023745	NC_023745	15	12456	12668	1	E															0
NC_023745_NC_023745_16	NC_023745	NC_023745	16	12668	12982	1	E															0
NC_023745_NC_023745_17	NC_023745	NC_023745	17	13000	13356	1	D										Phage protein Gp19/Gp15/Gp42 [PF09355.13]					0
NC_023745_NC_023745_18	NC_023745	NC_023745	18	13517	13879	1	E															0
NC_023745_NC_023745_19	NC_023745	NC_023745	19	13881	14273	1	D										Family of unknown function (DUF5403) [PF17395.5]					0
NC_023745_NC_023745_20	NC_023745	NC_023745	20	14273	14710	1	E															0
NC_023745_NC_023745_21	NC_023745	NC_023745	21	14700	15290	1	E															0
NC_023745_NC_023745_22	NC_023745	NC_023745	22	15409	15780	1	D										Mycobacteriophage tail assembly protein [PF17388.5]					0
NC_023745_NC_023745_23	NC_023745	NC_023745	23	16196	18796	1	E															0
NC_023745_NC_023745_24	NC_023745	NC_023745	24	18801	20141	1	E															0
NC_023745_NC_023745_25	NC_023745	NC_023745	25	20138	21919	1	E															0
NC_023745_NC_023745_26	NC_023745	NC_023745	26	21941	22387	1	D										Protein of unknown function (DUF2744) [PF10910.11]					0
NC_023745_NC_023745_27	NC_023745	NC_023745	27	22396	22842	1	E															0
NC_023745_NC_023745_28	NC_023745	NC_023745	28	22832	23260	1	E															0
NC_023745_NC_023745_29	NC_023745	NC_023745	29	23274	25130	1	E															0
NC_023745_NC_023745_30	NC_023745	NC_023745	30	25195	25416	-1	E															0
NC_023745_NC_023745_31	NC_023745	NC_023745	31	25466	26587	-1	D										Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF14659.9]					0
NC_023745_NC_023745_32	NC_023745	NC_023745	32	26967	27413	1	D										Protein of unknown function (DUF2637) [PF10935.11]					0
NC_023745_NC_023745_33	NC_023745	NC_023745	33	27486	27659	-1	D										Helix-turn-helix domain [PF12728.10]					0
NC_023745_NC_023745_34	NC_023745	NC_023745	34	27660	28100	-1	C	K01493	dCMP deaminase [EC:3.5.4.12]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; MafB19-like deaminase [PF14437.9]					0
NC_023745_NC_023745_35	NC_023745	NC_023745	35	28255	28413	-1	E															0
NC_023745_NC_023745_36	NC_023745	NC_023745	36	28410	28676	-1	E															0
NC_023745_NC_023745_37	NC_023745	NC_023745	37	28673	28930	-1	E															0
NC_023745_NC_023745_38	NC_023745	NC_023745	38	28927	29283	-1	E															0
NC_023745_NC_023745_39	NC_023745	NC_023745	39	29270	29545	-1	E															0
NC_023745_NC_023745_40	NC_023745	NC_023745	40	29542	29748	-1	E															0
NC_023745_NC_023745_41	NC_023745	NC_023745	41	29748	29978	-1	E															0
NC_023745_NC_023745_42	NC_023745	NC_023745	42	29975	30145	-1	E															0
NC_023745_NC_023745_43	NC_023745	NC_023745	43	30166	31992	-1	D										DNA polymerase family A [PF00476.23]					0
NC_023745_NC_023745_44	NC_023745	NC_023745	44	32000	32302	-1	D										Helix-turn-helix domain of resolvase [PF02796.18]					0
NC_023745_NC_023745_45	NC_023745	NC_023745	45	32302	32475	-1	E															0
NC_023745_NC_023745_46	NC_023745	NC_023745	46	32484	33203	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]								Thymidylate synthase complementing protein [PF02511.18]					0
NC_023745_NC_023745_47	NC_023745	NC_023745	47	33271	33807	-1	E															0
NC_023745_NC_023745_48	NC_023745	NC_023745	48	33833	35884	-1	D										Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase alpha domain [PF17975.4]					0
