	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
NC_035464.1_1	NC_035464.1	NC_035464.1	1	170	346	1	E											0	False	F
NC_035464.1_2	NC_035464.1	NC_035464.1	2	411	767	1	E	YP_009408147.1	YP_009408147.1 hypothetical protein c118 [Metallosphaera turreted icosahedral virus]	False	0.943	236.0	2.313e-71					0	False	F
NC_035464.1_3	NC_035464.1	NC_035464.1	3	736	1083	1	E	YP_009408148.1	YP_009408148.1 hypothetical protein a115 [Metallosphaera turreted icosahedral virus]	False	1.0	246.0	5.412e-75					0	False	F
NC_035464.1_4	NC_035464.1	NC_035464.1	4	1056	1460	1	E	YP_009408149.1	YP_009408149.1 hypothetical protein c134 [Metallosphaera turreted icosahedral virus]	False	0.996	284.0	6.744999999999999e-88					0	False	F
NC_035464.1_5	NC_035464.1	NC_035464.1	5	1462	2010	1	E	YP_009408150.1	YP_009408150.1 hypothetical protein a188 [Metallosphaera turreted icosahedral virus]	True	1.0	387.0	1.5560000000000002e-122					0	False	F
NC_035464.1_6	NC_035464.1	NC_035464.1	6	2007	2336	1	E	YP_009408151.1	YP_009408151.1 hypothetical protein c109 [Metallosphaera turreted icosahedral virus]	False	1.0	240.0	6.328e-73					0	False	F
NC_035464.1_7	NC_035464.1	NC_035464.1	7	2493	2747	1	E	YP_009408152.1	YP_009408152.1 hypothetical protein c125 [Metallosphaera turreted icosahedral virus]	False	0.966	173.0	2.948e-50					0	False	F
NC_035464.1_8	NC_035464.1	NC_035464.1	8	2748	3209	1	E	YP_009408153.1	YP_009408153.1 hypothetical protein c153 [Metallosphaera turreted icosahedral virus]	False	0.873	280.0	7.414e-86					0	False	F
NC_035464.1_9	NC_035464.1	NC_035464.1	9	3244	3366	1	E	YP_009408154.1	YP_009408154.1 hypothetical protein a40 [Metallosphaera turreted icosahedral virus]	False	1.0	89.0	8.76e-22					0	False	F
NC_035464.1_10	NC_035464.1	NC_035464.1	10	3357	3674	1	E	YP_009408155.1	YP_009408155.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	1.0	224.0	1.1699999999999997e-67					0	False	F
NC_035464.1_11	NC_035464.1	NC_035464.1	11	3713	3979	1	E	YP_009408156.1	YP_009408156.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.921	172.0	9.281e-50					0	False	F
NC_035464.1_12	NC_035464.1	NC_035464.1	12	3985	4314	1	E	YP_009408157.1	YP_009408157.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.962	223.0	5.039e-67					0	False	F
NC_035464.1_13	NC_035464.1	NC_035464.1	13	4323	4724	1	E	YP_009408158.1	YP_009408158.1 structural protein c137 [Metallosphaera turreted icosahedral virus]	False	0.914	256.0	3.5100000000000003e-78					0	False	F
NC_035464.1_14	NC_035464.1	NC_035464.1	14	4773	5450	1	E	YP_009408159.1	YP_009408159.1 hypothetical protein c225 [Metallosphaera turreted icosahedral virus]	True	0.933	442.0	1.091e-140					0	False	F
NC_035464.1_15	NC_035464.1	NC_035464.1	15	5450	5734	1	E	YP_009408160.1	YP_009408160.1 hypothetical protein b94 [Metallosphaera turreted icosahedral virus]	False	0.97	194.0	1.85e-57					0	False	F
NC_035464.1_16	NC_035464.1	NC_035464.1	16	5869	6750	1	E	YP_009408161.1	YP_009408161.1 virion structural protein [Metallosphaera turreted icosahedral virus]	True	0.891	545.0	3.5499999999999997e-175					0	False	F
NC_035464.1_17	NC_035464.1	NC_035464.1	17	6747	6965	1	E	YP_009408162.1	YP_009408162.1 hypothetical protein c72 [Metallosphaera turreted icosahedral virus]	False	0.841	128.0	1.048e-34					0	False	F
NC_035464.1_18	NC_035464.1	NC_035464.1	18	6968	7378	1	E	YP_009408163.1	YP_009408163.1 hypothetical protein b136 [Metallosphaera turreted icosahedral virus]	False	0.981	284.0	1.397e-87					0	False	F
NC_035464.1_19	NC_035464.1	NC_035464.1	19	7548	7799	-1	E											0	False	F
NC_035464.1_20	NC_035464.1	NC_035464.1	20	8217	8423	-1	E											0	False	F
NC_035464.1_21	NC_035464.1	NC_035464.1	21	8606	8836	1	E	YP_009408165.1	YP_009408165.1 hypothetical protein b76 [Metallosphaera turreted icosahedral virus]	False	0.884	142.0	1.041e-39					0	False	F
NC_035464.1_22	NC_035464.1	NC_035464.1	22	8885	9124	1	E	YP_009408166.1	YP_009408166.1 hol-like chemotaxis [Metallosphaera turreted icosahedral virus]	False	0.889	149.0	7.629000000000001e-42					0	False	F
NC_035464.1_23	NC_035464.1	NC_035464.1	23	9121	9342	1	E	YP_009408167.1	YP_009408167.1 hypothetical protein a63 [Metallosphaera turreted icosahedral virus]	False	0.988	154.0	4.9e-44					0	False	F
NC_035464.1_24	NC_035464.1	NC_035464.1	24	9323	9430	-1	E											0	False	F
