	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_044941.1_NC_044941.1_1	NC_044941.1	NC_044941.1	1	171	398	1	E											0
NC_044941.1_NC_044941.1_2	NC_044941.1	NC_044941.1	2	598	1680	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_3	NC_044941.1	NC_044941.1	3	1764	2852	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_4	NC_044941.1	NC_044941.1	4	3002	3535	1	E											0
NC_044941.1_NC_044941.1_5	NC_044941.1	NC_044941.1	5	3673	3924	-1	E											0
NC_044941.1_NC_044941.1_6	NC_044941.1	NC_044941.1	6	4019	4222	-1	E											0
NC_044941.1_NC_044941.1_7	NC_044941.1	NC_044941.1	7	4407	5477	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_8	NC_044941.1	NC_044941.1	8	5704	6516	-1	D										Viral family 110 [PF01639.20]	0
NC_044941.1_NC_044941.1_9	NC_044941.1	NC_044941.1	9	6519	6686	-1	E											0
NC_044941.1_NC_044941.1_10	NC_044941.1	NC_044941.1	10	6679	6819	-1	D										Viral family 110 [PF01639.20]	0
NC_044941.1_NC_044941.1_11	NC_044941.1	NC_044941.1	11	7139	7297	-1	D										Viral family 110 [PF01639.20]	0
NC_044941.1_NC_044941.1_12	NC_044941.1	NC_044941.1	12	8070	8546	-1	D										Viral family 110 [PF01639.20]	0
NC_044941.1_NC_044941.1_13	NC_044941.1	NC_044941.1	13	8513	8917	-1	D										Viral family 110 [PF01639.20]	0
NC_044941.1_NC_044941.1_14	NC_044941.1	NC_044941.1	14	9052	10212	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_15	NC_044941.1	NC_044941.1	15	10282	10392	1	E											0
NC_044941.1_NC_044941.1_16	NC_044941.1	NC_044941.1	16	11041	12204	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_17	NC_044941.1	NC_044941.1	17	13067	13276	1	E											0
NC_044941.1_NC_044941.1_18	NC_044941.1	NC_044941.1	18	13463	14269	-1	E											0
NC_044941.1_NC_044941.1_19	NC_044941.1	NC_044941.1	19	15222	15416	1	E											0
NC_044941.1_NC_044941.1_20	NC_044941.1	NC_044941.1	20	15643	15759	1	E											0
NC_044941.1_NC_044941.1_21	NC_044941.1	NC_044941.1	21	15997	16479	1	E											0
NC_044941.1_NC_044941.1_22	NC_044941.1	NC_044941.1	22	16570	17334	-1	E											0
NC_044941.1_NC_044941.1_23	NC_044941.1	NC_044941.1	23	17674	18633	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_24	NC_044941.1	NC_044941.1	24	18795	19847	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_25	NC_044941.1	NC_044941.1	25	19956	21026	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_26	NC_044941.1	NC_044941.1	26	21052	22113	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_27	NC_044941.1	NC_044941.1	27	22149	22256	-1	E											0
NC_044941.1_NC_044941.1_28	NC_044941.1	NC_044941.1	28	22320	23915	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_29	NC_044941.1	NC_044941.1	29	23965	25017	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_30	NC_044941.1	NC_044941.1	30	25189	26250	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_31	NC_044941.1	NC_044941.1	31	26422	27495	-1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_32	NC_044941.1	NC_044941.1	32	27701	29281	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_33	NC_044941.1	NC_044941.1	33	29368	30210	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_34	NC_044941.1	NC_044941.1	34	30375	31892	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_35	NC_044941.1	NC_044941.1	35	31885	33417	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_36	NC_044941.1	NC_044941.1	36	33615	35201	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_37	NC_044941.1	NC_044941.1	37	35322	36908	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_38	NC_044941.1	NC_044941.1	38	37216	38736	1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_39	NC_044941.1	NC_044941.1	39	39060	40688	1	D										Multigene family 530 protein [PF03158.16]	0
