	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
MK002701_MK002701.1_1	MK002701	MK002701.1	1	115	717	1	E				0
MK002701_MK002701.1_2	MK002701	MK002701.1	2	710	2371	1	E				0
MK002701_MK002701.1_3	MK002701	MK002701.1	3	2377	2505	1	E				0
MK002701_MK002701.1_4	MK002701	MK002701.1	4	2498	2689	1	E				0
MK002701_MK002701.1_5	MK002701	MK002701.1	5	2686	4242	1	D			Phage portal protein [PF04860.15]	0
MK002701_MK002701.1_6	MK002701	MK002701.1	6	4246	5187	1	D			Phage Mu protein F like protein [PF04233.17]	0
MK002701_MK002701.1_7	MK002701	MK002701.1	7	5261	5587	1	E				0
MK002701_MK002701.1_8	MK002701	MK002701.1	8	5667	7466	1	D			Putative phage serine protease XkdF [PF14550.9]	0
MK002701_MK002701.1_9	MK002701	MK002701.1	9	7506	8468	1	E				0
MK002701_MK002701.1_10	MK002701	MK002701.1	10	8481	8933	1	E				0
MK002701_MK002701.1_11	MK002701	MK002701.1	11	8940	9542	1	E				0
MK002701_MK002701.1_12	MK002701	MK002701.1	12	9539	9919	1	E				0
MK002701_MK002701.1_13	MK002701	MK002701.1	13	9921	10202	1	E				0
MK002701_MK002701.1_14	MK002701	MK002701.1	14	10202	10636	1	D			Phage virion morphogenesis family [PF05069.16]	0
MK002701_MK002701.1_15	MK002701	MK002701.1	15	10643	11239	1	E				0
MK002701_MK002701.1_16	MK002701	MK002701.1	16	11259	12557	1	D			Protein of unknown function (DUF3383) [PF11863.11]	0
MK002701_MK002701.1_17	MK002701	MK002701.1	17	12607	13002	1	E				0
MK002701_MK002701.1_18	MK002701	MK002701.1	18	13006	13407	1	E				0
MK002701_MK002701.1_19	MK002701	MK002701.1	19	13572	13745	-1	D			Domain of unknown function (DUF4177) [PF13783.9]	0
MK002701_MK002701.1_20	MK002701	MK002701.1	20	13792	16581	1	D			Phage-related minor tail protein [PF10145.12]	0
MK002701_MK002701.1_21	MK002701	MK002701.1	21	16610	17104	1	E				0
MK002701_MK002701.1_22	MK002701	MK002701.1	22	17108	17446	1	E				0
MK002701_MK002701.1_23	MK002701	MK002701.1	23	17450	18298	1	E				0
MK002701_MK002701.1_24	MK002701	MK002701.1	24	18306	18446	1	E				0
MK002701_MK002701.1_25	MK002701	MK002701.1	25	18443	18988	1	D			Phage protein Gp138 N-terminal domain [PF18352.4]	0
MK002701_MK002701.1_26	MK002701	MK002701.1	26	18988	19146	1	E				0
MK002701_MK002701.1_27	MK002701	MK002701.1	27	19143	19508	1	E				0
MK002701_MK002701.1_28	MK002701	MK002701.1	28	19505	19867	1	D			Protein of unknown function (DUF2634) [PF10934.11]	0
MK002701_MK002701.1_29	MK002701	MK002701.1	29	19874	21148	1	D			Baseplate J-like protein [PF04865.17]	0
MK002701_MK002701.1_30	MK002701	MK002701.1	30	21135	22277	1	E				0
MK002701_MK002701.1_31	MK002701	MK002701.1	31	22295	22678	1	E				0
MK002701_MK002701.1_32	MK002701	MK002701.1	32	22683	23249	1	E				0
MK002701_MK002701.1_33	MK002701	MK002701.1	33	23252	25504	1	E				0
MK002701_MK002701.1_34	MK002701	MK002701.1	34	25506	25787	1	E				0
MK002701_MK002701.1_35	MK002701	MK002701.1	35	25825	26499	1	D			Phage integrase family [PF00589.25]	0
MK002701_MK002701.1_36	MK002701	MK002701.1	36	26490	26792	-1	E				0
MK002701_MK002701.1_37	MK002701	MK002701.1	37	26798	27709	-1	E				0
MK002701_MK002701.1_38	MK002701	MK002701.1	38	27803	28150	1	E				0
MK002701_MK002701.1_39	MK002701	MK002701.1	39	28153	28386	1	E				0
MK002701_MK002701.1_40	MK002701	MK002701.1	40	28379	28675	1	E				0
MK002701_MK002701.1_41	MK002701	MK002701.1	41	28788	29357	1	E				0
MK002701_MK002701.1_42	MK002701	MK002701.1	42	29394	29642	-1	E				0
MK002701_MK002701.1_43	MK002701	MK002701.1	43	29651	29941	-1	E				0
MK002701_MK002701.1_44	MK002701	MK002701.1	44	30101	30244	1	E				0
MK002701_MK002701.1_45	MK002701	MK002701.1	45	30250	30414	1	E				0
MK002701_MK002701.1_46	MK002701	MK002701.1	46	30411	30806	1	C	K07064	uncharacterized protein	PIN domain [PF01850.24]; PIN domain [PF10130.12]	0
MK002701_MK002701.1_47	MK002701	MK002701.1	47	30803	31465	-1	D			Phage integrase family [PF00589.25]	0
MK002701_MK002701.1_48	MK002701	MK002701.1	48	31680	31934	1	E				0
MK002701_MK002701.1_49	MK002701	MK002701.1	49	31939	32271	1	D			Family of unknown function (DUF6788) [PF20586.1]	0
MK002701_MK002701.1_50	MK002701	MK002701.1	50	32420	32857	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]		1
MK002701_MK002701.1_51	MK002701	MK002701.1	51	32854	33255	-1	E				0
MK002701_MK002701.1_52	MK002701	MK002701.1	52	33248	34024	-1	C	K03496	chromosome partitioning protein	AAA domain [PF13614.9]; ATPase MipZ [PF09140.14]; VirC1 protein [PF07015.14]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; Cellulose biosynthesis protein BcsQ [PF06564.15]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]	0
MK002701_MK002701.1_53	MK002701	MK002701.1	53	34161	34409	-1	E				0
MK002701_MK002701.1_54	MK002701	MK002701.1	54	35381	38167	1	E				0
MK002701_MK002701.1_55	MK002701	MK002701.1	55	38262	38489	-1	E				0
MK002701_MK002701.1_56	MK002701	MK002701.1	56	38733	39263	1	E				0
MK002701_MK002701.1_57	MK002701	MK002701.1	57	39382	39978	1	E				0
MK002701_MK002701.1_58	MK002701	MK002701.1	58	39975	40133	1	E				0
MK002701_MK002701.1_59	MK002701	MK002701.1	59	40153	40902	1	C	K04802	proliferating cell nuclear antigen	Proliferating cell nuclear antigen, C-terminal domain [PF02747.18]; Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]	0
MK002701_MK002701.1_60	MK002701	MK002701.1	60	40908	41339	1	E				0
MK002701_MK002701.1_61	MK002701	MK002701.1	61	41339	41554	1	E				0
MK002701_MK002701.1_62	MK002701	MK002701.1	62	41547	42041	1	E				0
MK002701_MK002701.1_63	MK002701	MK002701.1	63	42098	42490	1	C	K07491	REP-associated tyrosine transposase	Transposase IS200 like [PF01797.19]	0
MK002701_MK002701.1_64	MK002701	MK002701.1	64	42492	43748	1	C	K07496	putative transposase	Putative transposase DNA-binding domain [PF07282.14]	0
MK002701_MK002701.1_65	MK002701	MK002701.1	65	43760	44014	1	E				0
MK002701_MK002701.1_66	MK002701	MK002701.1	66	44007	44234	1	E				0
