KO Id	Name	Level	Count
	lvl1: 01_Fermentation	1	218
	lvl2: Acetylene degradation	2	5
	lvl3: nan	3	1061
	lvl4: nan	4	1503
K00001	K00001: E1.1.1.1, adh; alcohol dehydrogenase	Function	10
	lvl2: Heterolactic fermentation	2	9
	lvl2: Lysine fermentation to acetate and butyrate	2	6
	lvl2: Pyruvate Fermentation	2	117
	lvl3: Pyruvate fermentation to butanoate	3	9
	lvl3: Pyruvate fermentation to ethanol I	3	3
	lvl3: Pyruvate fermentation to ethanol II	3	3
	lvl3: Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	3	23
	lvl3: Superpathway of clostridium acetobutylicum acidogenic fermentation	3	20
	lvl3: Superpathway of clostridium acetobutylicum solventogenic fermentation	3	11
	lvl1: 21_Cellular response to stress	1	221
	lvl2: Response to osmotic stress	2	83
	lvl1: 06_Amino acid utilization biosynthesis metabolism	1	426
	lvl2: Alanine, aspartate and glutamate metabolism (contain asparagin as well)	2	25
K00003	K00003: hom; homoserine dehydrogenase	Function	6
	lvl2: Phenylalanine metabolism	2	20
	lvl2: D-arginine and D-ornithine metabolism	2	2
	lvl2: Valine, leucine and isoleucine biosynthesis	2	11
	lvl2: Amino acid biosynthesis precursor pyruvate and oxaloacetate	2	147
	lvl3: Oxaloacetate to lysine	3	33
	lvl3: Cysteine and methionine	3	33
	lvl2: Acetyl-coA fermentation to butyrate II (clostridium)	2	4
K00004	K00004: BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	Function	7
	lvl2: Acetoin biosynthesis	2	20
	lvl3: Acetoin biosynthesis III	3	2
	lvl3: (s,s)-butanediol biosynthesis	3	2
	lvl3: Meso-butanediol biosynthesis I	3	2
	lvl3: Superpathway of (R,R)-butanediol biosynthesis	3	4
	lvl3: Superpathway of 2,3-butanediol biosynthesis	3	4
	lvl1: 20_Hydrolysis of polymers	1	92
	lvl2: Starch	2	25
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	2
	lvl2: Xylose	2	25
	lvl2: Lysine biosynthesis	2	15
K00013	K00013: hisD; histidinol dehydrogenase	Function	2
	lvl3: Histidine	3	43
	lvl2: Tryptophan metabolism	2	16
K00014	K00014: aroE; shikimate dehydrogenase	Function	2
	lvl3: PEP	3	26
	lvl2: Histidine degradation	2	3
K00020	K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	Function	1
