	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
SAMN04313778_MFHJ01000001.1_1	SAMN04313778	MFHJ01000001.1	1	79	789	1	D										Concanavalin A-like lectin/glucanases superfamily [PF13385.9]					0
SAMN04313778_MFHJ01000001.1_2	SAMN04313778	MFHJ01000001.1	2	906	1142	1	C	K18843	antitoxin HicB								HicB_like antitoxin of bacterial toxin-antitoxin system [PF15919.8]					0
SAMN04313778_MFHJ01000001.1_3	SAMN04313778	MFHJ01000001.1	3	1542	1763	1	E															0
SAMN04313778_MFHJ01000001.1_4	SAMN04313778	MFHJ01000001.1	4	2234	2869	1	C	K07491	REP-associated tyrosine transposase								Transposase IS200 like [PF01797.19]					0
SAMN04313778_MFHJ01000001.1_5	SAMN04313778	MFHJ01000001.1	5	2930	3718	-1	D										Formyl transferase [PF00551.22]; Formyl transferase, C-terminal domain [PF02911.21]					0
SAMN04313778_MFHJ01000001.1_6	SAMN04313778	MFHJ01000001.1	6	3715	4278	-1	C	K01462	peptide deformylase [EC:3.5.1.88]								Polypeptide deformylase [PF01327.24]					0
SAMN04313778_MFHJ01000001.1_7	SAMN04313778	MFHJ01000001.1	7	4286	6151	-1	C	K04066	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]													0
SAMN04313778_MFHJ01000001.1_8	SAMN04313778	MFHJ01000001.1	8	6165	7415	1	D										Mur ligase middle domain [PF08245.15]; Mur ligase family, catalytic domain [PF01225.28]; Mur ligase family, glutamate ligase domain [PF02875.24]; Putative NAD(P)-binding [PF13241.9]					0
SAMN04313778_MFHJ01000001.1_9	SAMN04313778	MFHJ01000001.1	9	7401	8438	-1	D										PEGA domain [PF08308.14]					0
SAMN04313778_MFHJ01000001.1_10	SAMN04313778	MFHJ01000001.1	10	8474	9736	1	C	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]								EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase) [PF00275.23]					0
SAMN04313778_MFHJ01000002.1_1	SAMN04313778	MFHJ01000002.1	1	1	633	1	C	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]								Serine hydroxymethyltransferase [PF00464.22]					0
SAMN04313778_MFHJ01000002.1_2	SAMN04313778	MFHJ01000002.1	2	630	1445	1	D										Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain [PF02882.22]; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain [PF00763.26]					0
SAMN04313778_MFHJ01000002.1_3	SAMN04313778	MFHJ01000002.1	3	1442	1924	1	C	K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]								PAP2 superfamily [PF01569.24]					0
SAMN04313778_MFHJ01000002.1_4	SAMN04313778	MFHJ01000002.1	4	2141	3727	1	D										Squalene-hopene cyclase C-terminal domain [PF13243.9]; Domain of unknown function (DUF4430) [PF14478.9]; Eukaryotic cobalamin-binding protein [PF01122.22]; Squalene-hopene cyclase N-terminal domain [PF13249.9]					0
SAMN04313778_MFHJ01000002.1_5	SAMN04313778	MFHJ01000002.1	5	3727	4251	1	E															0
SAMN04313778_MFHJ01000002.1_6	SAMN04313778	MFHJ01000002.1	6	4217	4651	1	D										Domain of unknown function (DUF4430) [PF14478.9]					0
SAMN04313778_MFHJ01000002.1_7	SAMN04313778	MFHJ01000002.1	7	4828	5631	1	E															0
SAMN04313778_MFHJ01000002.1_8	SAMN04313778	MFHJ01000002.1	8	5726	6415	1	D										Endonuclease/Exonuclease/phosphatase family [PF03372.26]; Endonuclease/Exonuclease/phosphatase family [PF19580.2]; Endonuclease-reverse transcriptase [PF14529.9]					0
SAMN04313778_MFHJ01000002.1_9	SAMN04313778	MFHJ01000002.1	9	6431	7378	1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein								ParB/Sulfiredoxin domain [PF02195.21]; HTH domain found in ParB protein [PF17762.4]; KorB domain [PF08535.13]					0
SAMN04313778_MFHJ01000002.1_10	SAMN04313778	MFHJ01000002.1	10	7371	9098	-1	D										HD domain [PF13328.9]; Region found in RelA / SpoT proteins [PF04607.20]; TGS domain [PF02824.24]; ACT domain [PF13291.9]					0
SAMN04313778_MFHJ01000002.1_11	SAMN04313778	MFHJ01000002.1	11	9095	11188	-1	C	K03168	DNA topoisomerase I [EC:5.6.2.1]								DNA topoisomerase [PF01131.23]; Toprim domain [PF01751.25]; Topoisomerase DNA binding C4 zinc finger [PF01396.22]					0
SAMN04313778_MFHJ01000002.1_12	SAMN04313778	MFHJ01000002.1	12	11190	12272	-1	C	K04096	DNA processing protein								DNA recombination-mediator protein A [PF02481.18]					0
SAMN04313778_MFHJ01000002.1_13	SAMN04313778	MFHJ01000002.1	13	12318	12947	1	E															0
SAMN04313778_MFHJ01000003.1_1	SAMN04313778	MFHJ01000003.1	1	1	231	-1	D										Helix-hairpin-helix domain [PF14716.9]					0
SAMN04313778_MFHJ01000003.1_2	SAMN04313778	MFHJ01000003.1	2	558	1334	-1	E															0
SAMN04313778_MFHJ01000003.1_3	SAMN04313778	MFHJ01000003.1	3	1362	2771	-1	D										ubiE/COQ5 methyltransferase family [PF01209.21]					0
SAMN04313778_MFHJ01000003.1_4	SAMN04313778	MFHJ01000003.1	4	2852	3472	-1	C	K21929	uracil-DNA glycosylase [EC:3.2.2.27]								Uracil DNA glycosylase superfamily [PF03167.22]					0
SAMN04313778_MFHJ01000003.1_5	SAMN04313778	MFHJ01000003.1	5	3479	4597	-1	D										Tryptophan/tyrosine permease family [PF03222.16]; Transmembrane amino acid transporter protein [PF01490.21]					0
SAMN04313778_MFHJ01000003.1_6	SAMN04313778	MFHJ01000003.1	6	4594	5169	-1	D										SLOG cluster4 family [PF18306.4]					0
SAMN04313778_MFHJ01000003.1_7	SAMN04313778	MFHJ01000003.1	7	5192	6538	-1	C	K07576	metallo-beta-lactamase family protein								Metallo-beta-lactamase superfamily domain [PF16661.8]; Beta-Casp domain [PF10996.11]; Metallo-beta-lactamase superfamily [PF00753.30]; Beta-lactamase superfamily domain [PF12706.10]; Zn-dependent metallo-hydrolase RNA specificity domain [PF07521.15]					0
SAMN04313778_MFHJ01000003.1_8	SAMN04313778	MFHJ01000003.1	8	6538	6837	-1	E															0
SAMN04313778_MFHJ01000004.1_1	SAMN04313778	MFHJ01000004.1	1	2	238	1	D										GDP-mannose 4,6 dehydratase [PF16363.8]					0
SAMN04313778_MFHJ01000004.1_2	SAMN04313778	MFHJ01000004.1	2	258	1076	1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
SAMN04313778_MFHJ01000004.1_3	SAMN04313778	MFHJ01000004.1	3	1063	1959	1	D										GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]					0
SAMN04313778_MFHJ01000004.1_4	SAMN04313778	MFHJ01000004.1	4	1964	3517	1	D										NeuB family [PF03102.17]; Mannose-6-phosphate isomerase [PF01050.21]; D-lyxose isomerase [PF07385.15]; Cupin [PF00190.25]; Mif2/CENP-C like [PF11699.11]; Ethanolamine utilisation protein EutQ [PF06249.15]					0
SAMN04313778_MFHJ01000004.1_5	SAMN04313778	MFHJ01000004.1	5	3519	4241	1	C	K18431	CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]								Cytidylyltransferase [PF02348.22]					0
SAMN04313778_MFHJ01000004.1_6	SAMN04313778	MFHJ01000004.1	6	4238	4879	1	D										Haloacid dehalogenase-like hydrolase [PF13419.9]; haloacid dehalogenase-like hydrolase [PF00702.29]					0
SAMN04313778_MFHJ01000004.1_7	SAMN04313778	MFHJ01000004.1	7	4934	5983	1	E															0
SAMN04313778_MFHJ01000004.1_8	SAMN04313778	MFHJ01000004.1	8	5985	6929	1	D										CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase [PF04464.17]					0
SAMN04313778_MFHJ01000005.1_1	SAMN04313778	MFHJ01000005.1	1	2	1177	-1	E															0
SAMN04313778_MFHJ01000005.1_2	SAMN04313778	MFHJ01000005.1	2	1338	2654	-1	D										von Willebrand factor type A domain [PF00092.31]					0
SAMN04313778_MFHJ01000005.1_3	SAMN04313778	MFHJ01000005.1	3	2810	3421	-1	D										Nucleotidyl transferase AbiEii toxin, Type IV TA system [PF08843.14]					0
SAMN04313778_MFHJ01000005.1_4	SAMN04313778	MFHJ01000005.1	4	3424	3699	-1	E															0
SAMN04313778_MFHJ01000005.1_5	SAMN04313778	MFHJ01000005.1	5	3742	6138	-1	D										Domain of unknown function DUF11 [PF01345.21]					0
SAMN04313778_MFHJ01000005.1_6	SAMN04313778	MFHJ01000005.1	6	6164	6583	-1	E															0
SAMN04313778_MFHJ01000006.1_1	SAMN04313778	MFHJ01000006.1	1	3	563	1	E															0
SAMN04313778_MFHJ01000006.1_2	SAMN04313778	MFHJ01000006.1	2	767	919	1	E															0
SAMN04313778_MFHJ01000006.1_3	SAMN04313778	MFHJ01000006.1	3	924	1451	1	D										NYN domain [PF01936.21]					0
SAMN04313778_MFHJ01000006.1_4	SAMN04313778	MFHJ01000006.1	4	1781	2830	1	E															0
SAMN04313778_MFHJ01000006.1_5	SAMN04313778	MFHJ01000006.1	5	2831	4408	-1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	MER0414324	S24	MER0414324 - family S24 unassigned peptidases () [S24.UPW]#S24#{peptidase unit: 107-199}~source EKE06710~	False	0.77	136.0	1.629e-31	C-5 cytosine-specific DNA methylase [PF00145.20]; Peptidase S24-like [PF00717.26]; LexA DNA binding domain [PF01726.19]					0
SAMN04313778_MFHJ01000006.1_6	SAMN04313778	MFHJ01000006.1	6	4540	4911	1	C	K07458	DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]								DNA mismatch endonuclease Vsr [PF03852.18]; REase_MTES_1575 [PF18741.4]; Protein of unknown function (DUF559) [PF04480.15]					0
SAMN04313778_MFHJ01000006.1_7	SAMN04313778	MFHJ01000006.1	7	4944	6233	1	E															0
SAMN04313778_MFHJ01000007.1_1	SAMN04313778	MFHJ01000007.1	1	285	791	-1	E															0
SAMN04313778_MFHJ01000007.1_2	SAMN04313778	MFHJ01000007.1	2	1016	1384	-1	E															0
SAMN04313778_MFHJ01000007.1_3	SAMN04313778	MFHJ01000007.1	3	1432	1773	-1	E															0
SAMN04313778_MFHJ01000007.1_4	SAMN04313778	MFHJ01000007.1	4	1916	2836	-1	D										Protein export membrane protein [PF02355.19]; SecD/SecF GG Motif [PF07549.17]					0
SAMN04313778_MFHJ01000007.1_5	SAMN04313778	MFHJ01000007.1	5	2823	4112	-1	D										Protein export membrane protein [PF02355.19]					0
SAMN04313778_MFHJ01000007.1_6	SAMN04313778	MFHJ01000007.1	6	4209	4748	1	C	K00287	dihydrofolate reductase [EC:1.5.1.3]								Dihydrofolate reductase [PF00186.22]					0
SAMN04313778_MFHJ01000007.1_7	SAMN04313778	MFHJ01000007.1	7	4805	6448	-1	D										Thymidylate synthase complementing protein [PF02511.18]					0
SAMN04313778_MFHJ01000007.1_8	SAMN04313778	MFHJ01000007.1	8	6445	6828	-1	D										Thymidylate kinase [PF02223.20]					0
SAMN04313778_MFHJ01000008.1_1	SAMN04313778	MFHJ01000008.1	1	2	166	-1	E															0
SAMN04313778_MFHJ01000008.1_2	SAMN04313778	MFHJ01000008.1	2	144	1301	-1	C	K19002	1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]								Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]; Glycosyltransferase Family 4 [PF13439.9]; Glycosyl transferase 4-like domain [PF13579.9]; Glycosyl transferase 4-like [PF13477.9]	GT4; GT5	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); GT5 UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132; 2.4.1.11,2.4.1.183,2.4.1.21,2.4.1.-,2.4.1.242	GT4.hmm	0
SAMN04313778_MFHJ01000008.1_3	SAMN04313778	MFHJ01000008.1	3	1298	2113	-1	D			MER0029649	S33	MER0029649 - family S33 unassigned peptidases (Archaeoglobus fulgidus) [S33.UPW]#S33#{peptidase unit: 9-250}~source O29396~	False	0.267	90.0	2.341e-18	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.15]; Dienelactone hydrolase family [PF01738.21]; Phospholipase/Carboxylesterase [PF02230.19]					0
SAMN04313778_MFHJ01000008.1_4	SAMN04313778	MFHJ01000008.1	4	2106	2702	-1	C	K03975	membrane-associated protein													0
SAMN04313778_MFHJ01000008.1_5	SAMN04313778	MFHJ01000008.1	5	2750	2851	-1	E															0
SAMN04313778_MFHJ01000008.1_6	SAMN04313778	MFHJ01000008.1	6	2952	3140	-1	E															0
SAMN04313778_MFHJ01000008.1_7	SAMN04313778	MFHJ01000008.1	7	3213	3911	-1	D										Protein of unknown function (DUF1194) [PF06707.14]					0
SAMN04313778_MFHJ01000008.1_8	SAMN04313778	MFHJ01000008.1	8	4040	4558	1	E															0
SAMN04313778_MFHJ01000008.1_9	SAMN04313778	MFHJ01000008.1	9	4720	4983	-1	E															0
SAMN04313778_MFHJ01000008.1_10	SAMN04313778	MFHJ01000008.1	10	5388	5924	-1	E															0
SAMN04313778_MFHJ01000008.1_11	SAMN04313778	MFHJ01000008.1	11	6028	6801	1	D										Trypsin-like peptidase domain [PF13365.9]					0
SAMN04313778_MFHJ01000008.1_12	SAMN04313778	MFHJ01000008.1	12	7320	7712	-1	C	K07341	death on curing protein								Fic/DOC family [PF02661.21]					0
SAMN04313778_MFHJ01000008.1_13	SAMN04313778	MFHJ01000008.1	13	7712	7951	-1	D										Antidote-toxin recognition MazE, bacterial antitoxin [PF04014.21]					0
SAMN04313778_MFHJ01000008.1_14	SAMN04313778	MFHJ01000008.1	14	8080	8385	-1	E															0
SAMN04313778_MFHJ01000008.1_15	SAMN04313778	MFHJ01000008.1	15	8476	8985	-1	E															0
SAMN04313778_MFHJ01000008.1_16	SAMN04313778	MFHJ01000008.1	16	9041	9442	-1	E															0
SAMN04313778_MFHJ01000008.1_17	SAMN04313778	MFHJ01000008.1	17	9485	9766	-1	D										Domain of unknown function (DUF4870) [PF09685.13]					0
SAMN04313778_MFHJ01000008.1_18	SAMN04313778	MFHJ01000008.1	18	10087	10647	-1	E															0
SAMN04313778_MFHJ01000008.1_19	SAMN04313778	MFHJ01000008.1	19	10798	11304	1	E															0
SAMN04313778_MFHJ01000008.1_20	SAMN04313778	MFHJ01000008.1	20	11355	11759	-1	D										Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13524.9]; Glycosyl transferases group 1 [PF13692.9]					0
SAMN04313778_MFHJ01000009.1_1	SAMN04313778	MFHJ01000009.1	1	1	651	1	D										ATP synthase alpha/beta chain, C terminal domain [PF00306.30]; ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.28]					0
SAMN04313778_MFHJ01000009.1_2	SAMN04313778	MFHJ01000009.1	2	629	1552	1	C	K02115	F-type H+-transporting ATPase subunit gamma								ATP synthase [PF00231.22]					0
SAMN04313778_MFHJ01000009.1_3	SAMN04313778	MFHJ01000009.1	3	1557	2939	1	C	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]								ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.28]; ATP synthase alpha/beta family, beta-barrel domain [PF02874.26]; T3SS EscN ATPase C-terminal domain [PF18269.4]					0
SAMN04313778_MFHJ01000009.1_4	SAMN04313778	MFHJ01000009.1	4	2949	3188	1	D										ATP synthase, Delta/Epsilon chain, beta-sandwich domain [PF02823.19]					0
SAMN04313778_MFHJ01000009.1_5	SAMN04313778	MFHJ01000009.1	5	3456	4187	1	D										CDP-alcohol phosphatidyltransferase [PF01066.24]					0
SAMN04313778_MFHJ01000009.1_6	SAMN04313778	MFHJ01000009.1	6	4371	4868	-1	C	K01095	phosphatidylglycerophosphatase A [EC:3.1.3.27]								Phosphatidylglycerophosphatase A [PF04608.16]					0
SAMN04313778_MFHJ01000009.1_7	SAMN04313778	MFHJ01000009.1	7	5008	5547	1	C	K01529	inosine/xanthosine triphosphatase [EC:3.6.1.73]								Protein of unknown function DUF84 [PF01931.21]					0
SAMN04313778_MFHJ01000009.1_8	SAMN04313778	MFHJ01000009.1	8	5616	6356	1	C	K07082	UPF0755 protein								YceG-like family [PF02618.19]					0
SAMN04313778_MFHJ01000010.1_1	SAMN04313778	MFHJ01000010.1	1	2	748	-1	C	K03424	TatD DNase family protein [EC:3.1.21.-]								TatD related DNase [PF01026.24]					0
SAMN04313778_MFHJ01000010.1_2	SAMN04313778	MFHJ01000010.1	2	745	2277	-1	C	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]								tRNA synthetases class I (M) [PF09334.14]; tRNA synthetases class I (I, L, M and V) [PF00133.25]; Anticodon binding domain of methionyl tRNA ligase [PF19303.2]; tRNA synthetases class I (C) catalytic domain [PF01406.22]; Anticodon-binding domain of tRNA ligase [PF08264.16]					0
SAMN04313778_MFHJ01000010.1_3	SAMN04313778	MFHJ01000010.1	3	2278	3312	-1	D										AI-2E family transporter [PF01594.19]					0
