	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM419438_AM419438.1_1	AM419438	AM419438.1	1	130	990	1	D			Glycosyl transferase family 8 [PF01501.23]	GT8	GT8 lipopolysaccharide alpha-1,3-galactosyltransferase (EC 2.4.1.44); UDP-Glc: (glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.-); lipopolysaccharide glucosyltransferase 1 (EC 2.4.1.58); glycogenin glucosyltransferase (EC 2.4.1.186); inositol 1-alpha-galactosyltransferase (galactinol synthase) (EC 2.4.1.123); homogalacturonan alpha-1,4-galacturonosyltransferase (EC 2.4.1.43); UDP-GlcA: xylan alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Gal:glucoside alpha-1,3-galactosyltransferase (EC 2.4.1.-)	2.4.1.123,2.4.1.186,2.4.1.44,2.4.1.58,2.4.1.-,2.4.2.-	GT8.hmm	0
AM419438_AM419438.1_2	AM419438	AM419438.1	2	1146	1805	1	E								0
AM419438_AM419438.1_3	AM419438	AM419438.1	3	1873	2097	1	E								0
AM419438_AM419438.1_4	AM419438	AM419438.1	4	2207	2425	1	E								0
AM419438_AM419438.1_5	AM419438	AM419438.1	5	2541	3191	-1	E								0
AM419438_AM419438.1_6	AM419438	AM419438.1	6	3178	3393	-1	E								0
AM419438_AM419438.1_7	AM419438	AM419438.1	7	3598	3993	1	E								0
AM419438_AM419438.1_8	AM419438	AM419438.1	8	3993	4463	1	E								0
AM419438_AM419438.1_9	AM419438	AM419438.1	9	4456	4851	1	E								0
AM419438_AM419438.1_10	AM419438	AM419438.1	10	4844	5218	1	E								0
AM419438_AM419438.1_11	AM419438	AM419438.1	11	5208	5357	1	E								0
AM419438_AM419438.1_12	AM419438	AM419438.1	12	5350	5574	1	E								0
AM419438_AM419438.1_13	AM419438	AM419438.1	13	5571	5744	1	E								0
AM419438_AM419438.1_14	AM419438	AM419438.1	14	5741	5986	1	E								0
AM419438_AM419438.1_15	AM419438	AM419438.1	15	5998	6417	-1	E								0
AM419438_AM419438.1_16	AM419438	AM419438.1	16	6637	7713	1	D			AAA ATPase domain [PF13191.9]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; AAA domain [PF13401.9]					0
AM419438_AM419438.1_17	AM419438	AM419438.1	17	7919	8284	-1	E								0
AM419438_AM419438.1_18	AM419438	AM419438.1	18	8689	8949	1	E								0
AM419438_AM419438.1_19	AM419438	AM419438.1	19	8950	9153	1	E								0
AM419438_AM419438.1_20	AM419438	AM419438.1	20	9159	9446	-1	E								0
AM419438_AM419438.1_21	AM419438	AM419438.1	21	9660	10022	1	D			Transcriptional regulator PadR-like family [PF03551.17]					0
AM419438_AM419438.1_22	AM419438	AM419438.1	22	10022	10153	1	E								0
AM419438_AM419438.1_23	AM419438	AM419438.1	23	10153	10890	1	E								0
AM419438_AM419438.1_24	AM419438	AM419438.1	24	10865	11806	1	E								0
AM419438_AM419438.1_25	AM419438	AM419438.1	25	11803	11946	1	E								0
AM419438_AM419438.1_26	AM419438	AM419438.1	26	11946	12671	1	E								0
AM419438_AM419438.1_27	AM419438	AM419438.1	27	12757	13092	1	E								0
AM419438_AM419438.1_28	AM419438	AM419438.1	28	13092	13262	1	E								0
AM419438_AM419438.1_29	AM419438	AM419438.1	29	13270	14487	-1	D			Phage integrase family [PF00589.25]					0
AM419438_AM419438.1_30	AM419438	AM419438.1	30	14819	15307	1	E								0
AM419438_AM419438.1_31	AM419438	AM419438.1	31	15489	17603	1	C	K10726	replicative DNA helicase Mcm [EC:5.6.2.3]	MCM P-loop domain [PF00493.26]; MCM OB domain [PF17207.6]; MCM AAA-lid domain [PF17855.4]; Magnesium chelatase, subunit ChlI [PF01078.24]; AAA domain (dynein-related subfamily) [PF07728.17]					0
AM419438_AM419438.1_32	AM419438	AM419438.1	32	17606	18058	1	E								0
