	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_048182_NC_048182_1	NC_048182	NC_048182	1	28	1119	-1	E															0
NC_048182_NC_048182_2	NC_048182	NC_048182	2	1374	3284	1	E															0
NC_048182_NC_048182_3	NC_048182	NC_048182	3	3380	4969	1	D										RNA polymerase Rpb1, domain 2 [PF00623.23]					0
NC_048182_NC_048182_4	NC_048182	NC_048182	4	4969	5637	1	E															0
NC_048182_NC_048182_5	NC_048182	NC_048182	5	5734	6195	1	E															0
NC_048182_NC_048182_6	NC_048182	NC_048182	6	6299	6454	1	E															0
NC_048182_NC_048182_7	NC_048182	NC_048182	7	6531	6941	1	E															0
NC_048182_NC_048182_8	NC_048182	NC_048182	8	6941	7750	1	E															0
NC_048182_NC_048182_9	NC_048182	NC_048182	9	7775	8911	1	E															0
NC_048182_NC_048182_10	NC_048182	NC_048182	10	8901	9692	1	E															0
NC_048182_NC_048182_11	NC_048182	NC_048182	11	9702	10502	1	E															0
NC_048182_NC_048182_12	NC_048182	NC_048182	12	10630	12255	1	E															0
NC_048182_NC_048182_13	NC_048182	NC_048182	13	12259	13800	1	E															0
NC_048182_NC_048182_14	NC_048182	NC_048182	14	13821	15350	1	E															0
NC_048182_NC_048182_15	NC_048182	NC_048182	15	15421	15762	-1	E															0
NC_048182_NC_048182_16	NC_048182	NC_048182	16	15846	17942	1	D										RNA polymerase Rpb2, domain 6 [PF00562.31]					0
NC_048182_NC_048182_17	NC_048182	NC_048182	17	17920	19938	1	E															0
NC_048182_NC_048182_18	NC_048182	NC_048182	18	20057	20362	1	E															0
NC_048182_NC_048182_19	NC_048182	NC_048182	19	20362	20841	1	E															0
NC_048182_NC_048182_20	NC_048182	NC_048182	20	20879	21112	1	E															0
NC_048182_NC_048182_21	NC_048182	NC_048182	21	21167	21808	1	E															0
NC_048182_NC_048182_22	NC_048182	NC_048182	22	21944	23488	1	E															0
NC_048182_NC_048182_23	NC_048182	NC_048182	23	23544	23942	1	E															0
NC_048182_NC_048182_24	NC_048182	NC_048182	24	23917	24276	1	E															0
NC_048182_NC_048182_25	NC_048182	NC_048182	25	24341	24871	1	E															0
NC_048182_NC_048182_26	NC_048182	NC_048182	26	24983	25774	1	E															0
