	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MZ334526.1_1	MZ334526	MZ334526.1	1	1	171	1	E			YP_010358375.1	YP_010358375.1 hypothetical protein M1M40_gp01 [Halorubrum tailed virus 29]	False	0.908	109	1.8899999999999999e-28									0	False	F
MZ334526.1_2	MZ334526	MZ334526.1	2	168	446	1	E			YP_010358376.1	YP_010358376.1 hypothetical protein M1M40_gp02 [Halorubrum tailed virus 29]	False	0.996	196	4.731e-58									0	False	F
MZ334526.1_3	MZ334526	MZ334526.1	3	443	562	1	E			YP_010358377.1	YP_010358377.1 hypothetical protein M1M40_gp03 [Halorubrum tailed virus 29]	False	0.942	79	1.24e-18						VOG14640	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_4	MZ334526	MZ334526.1	4	646	873	1	E			YP_010358378.1	YP_010358378.1 hypothetical protein M1M40_gp04 [Halorubrum tailed virus 29]	False	0.89	141	1.866e-39						VOG14638	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_5	MZ334526	MZ334526.1	5	876	1511	1	E			YP_010358379.1	YP_010358379.1 hypothetical protein M1M40_gp05 [Halorubrum tailed virus 29]	True	0.949	423	2.112e-134						VOG14464	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_6	MZ334526	MZ334526.1	6	1508	1834	1	E			YP_010358380.1	YP_010358380.1 hypothetical protein M1M40_gp06 [Halorubrum tailed virus 29]	False	0.923	211	6.29e-63						VOG26465	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_7	MZ334526	MZ334526.1	7	1876	2061	1	E			YP_010358381.1	YP_010358381.1 hypothetical protein M1M40_gp07 [Halorubrum tailed virus 29]	False	0.889	115	1.112e-30									0	False	F
MZ334526.1_8	MZ334526	MZ334526.1	8	2334	2459	1	D			YP_010358383.1	YP_010358383.1 hypothetical protein M1M40_gp09 [Halorubrum tailed virus 29]	False	0.933	83	1.085e-19	Putative antitoxin [PF02697.17]					VOG05954	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_9	MZ334526	MZ334526.1	9	2452	2613	1	E			YP_010358384.1	YP_010358384.1 hypothetical protein M1M40_gp10 [Halorubrum tailed virus 29]	False	1.0	116	3.913e-31						VOG35570	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_10	MZ334526	MZ334526.1	10	2610	2834	1	E			YP_010358385.1	YP_010358385.1 hypothetical protein M1M40_gp11 [Halorubrum tailed virus 29]	False	0.989	157	7.711999999999999e-45									0	False	F
MZ334526.1_11	MZ334526	MZ334526.1	11	2831	3232	1	E			YP_010358386.1	YP_010358386.1 GIY-YIG endonuclease [Halorubrum tailed virus 29]	False	0.954	269	1.434e-82						VOG14466	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_12	MZ334526	MZ334526.1	12	3232	3531	1	E			YP_010358387.1	YP_010358387.1 hypothetical protein M1M40_gp13 [Halorubrum tailed virus 29]	False	1.0	216	4.847e-65						VOG05812	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_13	MZ334526	MZ334526.1	13	3810	4205	1	E			YP_010358389.1	YP_010358389.1 hypothetical protein M1M40_gp15 [Halorubrum tailed virus 29]	False	0.888	244	4.152e-74						VOG26250	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_14	MZ334526	MZ334526.1	14	4268	6364	1	D			YP_010358390.1	YP_010358390.1 DNA helicase [Halorubrum tailed virus 29]	True	0.952	1397	0.0	MCM P-loop domain [PF00493.26]; MCM OB domain [PF17207.6]; MCM AAA-lid domain [PF17855.4]; AAA domain (dynein-related subfamily) [PF07728.17]					VOG14467	sp|Q9UXG1|MCM_SACS2 Minichromosome maintenance protein MCM; XhXr	Xr;Xh	0	False	VF
MZ334526.1_15	MZ334526	MZ334526.1	15	6367	6627	1	E			YP_010358391.1	YP_010358391.1 hypothetical protein M1M40_gp17 [Halorubrum tailed virus 29]	False	0.983	181	7.987e-53									0	False	
MZ334526.1_16	MZ334526	MZ334526.1	16	6620	7336	1	E			YP_010358392.1	YP_010358392.1 hypothetical protein M1M40_gp18 [Halorubrum tailed virus 29]	True	1.0	506	1.3150000000000002e-162						VOG26466	REFSEQ DNA binding protein; Xu	Xu	0	False	
MZ334526.1_17	MZ334526	MZ334526.1	17	7329	7556	1	E			YP_010358393.1	YP_010358393.1 hypothetical protein M1M40_gp19 [Halorubrum tailed virus 29]	False	0.995	160	6.446e-46						VOG26467	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_18	MZ334526	MZ334526.1	18	7549	7692	1	E			YP_010358394.1	YP_010358394.1 hypothetical protein M1M40_gp20 [Halorubrum tailed virus 29]	False	1.0	111	2.425e-29						VOG26468	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_19	MZ334526	MZ334526.1	19	7689	8507	1	D			YP_010358395.1	YP_010358395.1 phosphoadenosine phosphosulfate reductase [Halorubrum tailed virus 29]	True	1.0	587	2.9769999999999997e-190	Phosphoadenosine phosphosulfate reductase family [PF01507.22]					VOG22642	REFSEQ phosphoadenosine phosphosulfate reductase; Xu	Xu	0	False	
MZ334526.1_20	MZ334526	MZ334526.1	20	8552	9046	1	E			YP_010358396.1	YP_010358396.1 terminase small subunit [Halorubrum tailed virus 29]	False	0.998	348	1.768e-109						VOG00189	REFSEQ terminase small subunit; Xu	Xu	0	False	
MZ334526.1_21	MZ334526	MZ334526.1	21	9021	10367	1	C	K06909	phage terminase large subunit	YP_010358397.1	YP_010358397.1 terminase large subunit [Halorubrum tailed virus 29]	True	0.971	918	3.2500000000000004e-301	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
MZ334526.1_22	MZ334526	MZ334526.1	22	10373	10642	1	E			YP_010358398.1	YP_010358398.1 Zn finger [Halorubrum tailed virus 29]	False	1.0	199	4.457e-59						VOG01083	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_23	MZ334526	MZ334526.1	23	10696	10839	1	E			YP_010358399.1	YP_010358399.1 hypothetical protein M1M40_gp25 [Halorubrum tailed virus 29]	False	1.0	106	1.498e-27									0	False	
MZ334526.1_24	MZ334526	MZ334526.1	24	10836	11123	1	E			YP_010358400.1	YP_010358400.1 hypothetical protein M1M40_gp26 [Halorubrum tailed virus 29]	False	0.905	182	4.82e-53									0	False	
MZ334526.1_25	MZ334526	MZ334526.1	25	11120	11284	1	E			YP_010358401.1	YP_010358401.1 hypothetical protein M1M40_gp27 [Halorubrum tailed virus 29]	False	0.988	115	1.067e-30									0	False	
MZ334526.1_26	MZ334526	MZ334526.1	26	11281	11397	1	E			YP_010358402.1	YP_010358402.1 hypothetical protein M1M40_gp28 [Halorubrum tailed virus 29]	False	0.888	73	2.618e-16									0	False	
MZ334526.1_27	MZ334526	MZ334526.1	27	11394	11582	1	E			YP_010358403.1	YP_010358403.1 hypothetical protein M1M40_gp29 [Halorubrum tailed virus 29]	False	1.0	135	2.111e-37									0	False	
MZ334526.1_28	MZ334526	MZ334526.1	28	11623	14082	1	E			YP_010358404.1	YP_010358404.1 portal protein [Halorubrum tailed virus 29]	True	0.967	1669	0.0						VOG14639	REFSEQ portal protein; Xu	Xu	0	False	
MZ334526.1_29	MZ334526	MZ334526.1	29	14124	14258	1	E			YP_010358405.1	YP_010358405.1 hypothetical protein M1M40_gp31 [Halorubrum tailed virus 29]	False	0.934	89	1.084e-21						VOG26469	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_30	MZ334526	MZ334526.1	30	14251	14652	1	E			YP_010358406.1	YP_010358406.1 peroxide stress protein YaaA [Halorubrum tailed virus 29]	False	0.98	277	1.89e-85						VOG05009	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_31	MZ334526	MZ334526.1	31	14744	15376	1	E			YP_010358407.1	YP_010358407.1 DpdA [Halorubrum tailed virus 29]	True	0.981	437	3.235e-139									0	False	
MZ334526.1_32	MZ334526	MZ334526.1	32	15379	15627	1	E			YP_010358408.1	YP_010358408.1 hypothetical protein M1M40_gp34 [Halorubrum tailed virus 29]	False	1.0	181	6.545e-53						VOG01083	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_33	MZ334526	MZ334526.1	33	15669	15860	1	E			YP_010358409.1	YP_010358409.1 hypothetical protein M1M40_gp35 [Halorubrum tailed virus 29]	False	0.894	120	3.767e-32						VOG14641	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_34	MZ334526	MZ334526.1	34	15860	17416	1	E			YP_010358410.1	YP_010358410.1 hypothetical protein M1M40_gp36 [Halorubrum tailed virus 29]	True	0.937	1019	0.0						VOG14642	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_35	MZ334526	MZ334526.1	35	17521	17784	1	E			YP_010358411.1	YP_010358411.1 hypothetical protein M1M40_gp37 [Halorubrum tailed virus 29]	False	1.0	194	2.4620000000000002e-57									0	False	
MZ334526.1_36	MZ334526	MZ334526.1	36	17784	17909	1	E			YP_010358412.1	YP_010358412.1 hypothetical protein M1M40_gp38 [Halorubrum tailed virus 29]	False	0.942	83	5.748000000000001e-20									0	False	
MZ334526.1_37	MZ334526	MZ334526.1	37	17906	18091	1	E			YP_010358413.1	YP_010358413.1 hypothetical protein M1M40_gp39 [Halorubrum tailed virus 29]	False	0.939	123	3.701e-33									0	False	
MZ334526.1_38	MZ334526	MZ334526.1	38	18150	18563	1	E			YP_010358414.1	YP_010358414.1 capsid stabilizing protein [Halorubrum tailed virus 29]	False	0.897	258	8.768e-79						VOG00395	REFSEQ head scaffolding protein; Xu	Xu	0	False	
MZ334526.1_39	MZ334526	MZ334526.1	39	18566	19825	1	E			YP_010358415.1	YP_010358415.1 major capsid protein [Halorubrum tailed virus 29]	True	0.952	840	7.549000000000001e-275						VOG14637	REFSEQ major capsid protein; Xu	Xu	0	False	
MZ334526.1_40	MZ334526	MZ334526.1	40	19872	20210	1	E			YP_010358416.1	YP_010358416.1 hypothetical protein M1M40_gp42 [Halorubrum tailed virus 29]	False	0.909	215	3.2400000000000005e-64									0	False	
MZ334526.1_41	MZ334526	MZ334526.1	41	20210	20437	1	E			YP_010358417.1	YP_010358417.1 hypothetical protein M1M40_gp43 [Halorubrum tailed virus 29]	False	0.937	150	2.4180000000000006e-42						VOG35562	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_42	MZ334526	MZ334526.1	42	20437	20997	1	E			YP_010358418.1	YP_010358418.1 hypothetical protein M1M40_gp44 [Halorubrum tailed virus 29]	True	0.934	366	2.512e-115						VOG26470	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_43	MZ334526	MZ334526.1	43	21039	21287	1	E			YP_010358419.1	YP_010358419.1 hypothetical protein M1M40_gp45 [Halorubrum tailed virus 29]	False	0.964	169	8.664e-49						VOG14643	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_44	MZ334526	MZ334526.1	44	21287	21502	1	E			YP_010358420.1	YP_010358420.1 hypothetical protein M1M40_gp46 [Halorubrum tailed virus 29]	False	0.963	146	3.418e-41						VOG14646	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_45	MZ334526	MZ334526.1	45	21499	21738	1	E			YP_010358421.1	YP_010358421.1 hypothetical protein M1M40_gp47 [Halorubrum tailed virus 29]	False	0.929	156	1.865e-44						VOG14644	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_46	MZ334526	MZ334526.1	46	21728	22636	1	C	K00590	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	YP_010358422.1	YP_010358422.1 DNA methyltransferase [Halorubrum tailed virus 29]	True	0.992	634	6.279e-206	DNA methylase [PF01555.21]					VOG00306	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I; XhXp	Xp;Xh	0	False	
MZ334526.1_47	MZ334526	MZ334526.1	47	22679	24154	1	D			YP_010358423.1	YP_010358423.1 exonuclease [Halorubrum tailed virus 29]	True	0.965	999	0.0	Bacterial regulatory protein, arsR family [PF01022.23]					VOG02246	sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ; Xu	Xu	0	False	
MZ334526.1_48	MZ334526	MZ334526.1	48	24199	24585	1	D			YP_010358424.1	YP_010358424.1 hypothetical protein M1M40_gp50 [Halorubrum tailed virus 29]	False	0.981	267	5.461e-82	Domain of unknown function (DUF6378) [PF19905.2]								0	False	
