	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000103.1_1	QGNH01000103.1	QGNH01000103.1	1	50	2206	-1	E																								0	False	F
QGNH01000103.1_2	QGNH01000103.1	QGNH01000103.1	2	2247	5759	-1	E																								0	False	F
QGNH01000103.1_3	QGNH01000103.1	QGNH01000103.1	3	5898	6245	1	D																Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF13560.9]; Cro/C1-type HTH DNA-binding domain [PF13443.9]								0	False	
QGNH01000103.1_4	QGNH01000103.1	QGNH01000103.1	4	6278	7255	-1	D																Aldo/keto reductase family [PF00248.24]								0	False	MK
QGNH01000103.1_5	QGNH01000103.1	QGNH01000103.1	5	7350	8183	-1	C	K19225	rhomboid protease GluP [EC:3.4.21.105]							MER0174849	S54	MER0174849 - family S54 unassigned peptidases (Acidobacterium capsulatum) [S54.UPW]#S54#{peptidase unit: 57-250}~source ACO32441~	False	206.0	7.696000000000001e-58	0.552	Rhomboid family [PF01694.25]								0	False	P
QGNH01000103.1_6	QGNH01000103.1	QGNH01000103.1	6	8621	9883	-1	E																								0	False	
QGNH01000103.1_7	QGNH01000103.1	QGNH01000103.1	7	9925	10278	-1	E																								0	False	
QGNH01000103.1_8	QGNH01000103.1	QGNH01000103.1	8	10288	13968	-1	D																Malectin domain [PF11721.11]; Malectin-like domain [PF12819.10]	CBM57	CBM57 Created from reading Schallus et al (2008) Mol Biol Cell. 19:3404-3414 [PMID: 18524852] and finding related domains attached to various glycosidases.		CBM57.hmm				0	False	
QGNH01000103.1_9	QGNH01000103.1	QGNH01000103.1	9	13969	15198	-1	E																								0	False	
QGNH01000103.1_10	QGNH01000103.1	QGNH01000103.1	10	15239	16096	-1	E																								0	False	
QGNH01000103.1_11	QGNH01000103.1	QGNH01000103.1	11	16096	19551	-1	E																								0	False	
QGNH01000103.1_12	QGNH01000103.1	QGNH01000103.1	12	19555	19956	-1	E																								0	False	
QGNH01000103.1_13	QGNH01000103.1	QGNH01000103.1	13	19953	20870	-1	E																								0	False	
QGNH01000103.1_14	QGNH01000103.1	QGNH01000103.1	14	20899	22218	-1	E																								0	False	
QGNH01000103.1_15	QGNH01000103.1	QGNH01000103.1	15	22218	22583	-1	E																								0	False	
QGNH01000103.1_16	QGNH01000103.1	QGNH01000103.1	16	22580	23104	-1	E																								0	False	
QGNH01000103.1_17	QGNH01000103.1	QGNH01000103.1	17	23101	23754	-1	D																Phage virion morphogenesis family [PF05069.16]					VOG00556	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0	False	
QGNH01000103.1_18	QGNH01000103.1	QGNH01000103.1	18	23757	24197	-1	D																Bacteriophage Mu, Gp36 [PF07030.15]					VOG01664	sp|Q9T1V9|GPJ_BPMU Gene product J; Xh	Xh	0	False	
QGNH01000103.1_19	QGNH01000103.1	QGNH01000103.1	19	24235	24390	-1	E																								0	False	
QGNH01000103.1_20	QGNH01000103.1	QGNH01000103.1	20	24477	24617	-1	E																								0	False	
