	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_019724.1_1	NC_019724.1	NC_019724.1	1	1	573	1	E			YP_003344936.1	YP_003344936.1 terminase [Sodalis phage SO1]	True	0.972	391	7.093e-124													VOG01634	sp|P68928|TERS_BPSF6 Terminase small subunit; Xr	Xr	0	False	VF
NC_019724.1_2	NC_019724.1	NC_019724.1	2	573	1958	1	C	K06909	phage terminase large subunit	YP_007112609.1	YP_007112609.1 terminase large subunit [Escherichia phage HK578]	True	0.973	946	8.408e-311								Phage terminase large subunit [PF04466.16]					VOG00230	sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF; Xu	Xu	0	False	F
NC_019724.1_3	NC_019724.1	NC_019724.1	3	1970	3490	1	D			YP_007112610.1	YP_007112610.1 portal protein [Escherichia phage HK578]	True	0.95	1012	0.0								Domain of unknown function (DUF4055) [PF13264.9]					VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xp;Xs;Xr	0	False	VF
NC_019724.1_4	NC_019724.1	NC_019724.1	4	3474	4577	1	E			YP_007112611.1	YP_007112611.1 head morphogenesis [Escherichia phage HK578]	True	0.953	737	4.72e-240													VOG03910	sp|Q38442|GP7_BPSPP Minor head protein GP7; XhXs	Xh;Xs	0	False	VF
NC_019724.1_5	NC_019724.1	NC_019724.1	5	4570	4899	1	E			YP_007112612.1	YP_007112612.1 Rz-like spanin [Escherichia phage HK578]	False	0.9	207	1.557e-61													VOG00150	REFSEQ Rz-like spanin; Xu	Xu	0	False	F
NC_019724.1_6	NC_019724.1	NC_019724.1	6	5078	5485	-1	E			YP_007112613.1	YP_007112613.1 hypothetical protein F843_gp06 [Escherichia phage HK578]	False	0.979	281	1.214e-86																0	False	
NC_019724.1_7	NC_019724.1	NC_019724.1	7	5640	6344	1	E			YP_007112614.1	YP_007112614.1 head scaffolding protein [Escherichia phage HK578]	True	0.921	453	2.439e-144																0	False	
NC_019724.1_8	NC_019724.1	NC_019724.1	8	6442	7542	1	D			YP_007112615.1	YP_007112615.1 major head protein [Escherichia phage HK578]	True	0.917	704	1.406e-228								Major capsid protein 13-like [PF20036.2]					VOG08005	sp|A0A0H5AXT3|CAPSD_BPK21 Major capsid protein; Xs	Xs	0	False	V
NC_019724.1_9	NC_019724.1	NC_019724.1	9	7601	8101	1	D			YP_007112616.1	YP_007112616.1 head-tail adaptor Ad1 [Escherichia phage HK578]	True	0.996	351	1.5589999999999998e-110								Putative DnaT-like ssDNA binding protein [PF20557.1]					VOG01527	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	
NC_019724.1_10	NC_019724.1	NC_019724.1	10	8206	8559	1	E			YP_007112618.1	YP_007112618.1 head closure Hc1 [Escherichia phage HK578]	False	0.974	243	1.025e-73													VOG00159	REFSEQ head closure Hc1; Xu	Xu	0	False	
NC_019724.1_11	NC_019724.1	NC_019724.1	11	8561	9154	1	E			YP_010741941.1	YP_010741941.1 putative tail protein [Escherichia phage vB_EcoD_Over9000]	True	0.974	406	6.158e-129													VOG00996	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
NC_019724.1_12	NC_019724.1	NC_019724.1	12	9154	9576	1	D			YP_007112620.1	YP_007112620.1 tail terminator [Escherichia phage HK578]	False	0.957	284	1.236e-87								Bacteriophage related domain of unknown function [PF13554.9]					VOG00387	REFSEQ tail terminator; Xu	Xu	0	False	
NC_019724.1_13	NC_019724.1	NC_019724.1	13	9638	10363	1	D			YP_007112621.1	YP_007112621.1 major tail protein [Escherichia phage HK578]	True	0.938	476	2.825e-152								Phage tail tube protein, TTP [PF08813.14]					VOG02207	REFSEQ major tail protein; Xu	Xu	0	False	
NC_019724.1_14	NC_019724.1	NC_019724.1	14	10433	10795	1	D			YP_007112622.1	YP_007112622.1 tail length tape measure protein [Escherichia phage HK578]	False	1.0	256	2.567e-78								Phage tail assembly chaperone [PF08748.14]					VOG01245	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
NC_019724.1_15	NC_019724.1	NC_019724.1	15	11504	14146	1	D			YP_007112624.1	YP_007112624.1 tail length tape measure protein [Escherichia phage HK578]	True	0.882	1615	0.0								Prophage tail length tape measure protein [PF06791.16]; Lambda phage tail tape-measure protein (Tape_meas_lam_C) [PF09718.13]								0	False	
NC_019724.1_16	NC_019724.1	NC_019724.1	16	14181	14780	1	D			YP_007112625.1	YP_007112625.1 minor tail protein [Escherichia phage HK578]	True	0.988	417	9.883e-133								Phage minor tail protein [PF05939.16]					VOG02471	sp|P03737|TIPM_LAMBD Tail tip protein M; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	V
NC_019724.1_17	NC_019724.1	NC_019724.1	17	14777	15565	1	D			YP_007112626.1	YP_007112626.1 minor tail protein [Escherichia phage HK578]	True	1.0	565	1.182e-182								Phage minor tail protein L [PF05100.15]					VOG00504	sp|O64332|TIPL_BPN15 Tail tip protein L; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	V
NC_019724.1_18	NC_019724.1	NC_019724.1	18	15568	16308	1	D			YP_007112627.1	YP_007112627.1 minor tail protein [Escherichia phage HK578]	True	1.0	540	2.341e-174	MER0163594	C40	MER0163594 - family C40 unassigned peptidases (Cronobacter sakazakii) [C40.UPW]#C40#{peptidase unit: 116-204}~source YP_001437147~	False	137.0	1.392e-34	0.746	NlpC/P60 family [PF00877.22]; Prokaryotic homologs of the JAB domain [PF14464.9]								0	False	P
NC_019724.1_19	NC_019724.1	NC_019724.1	19	16299	16916	1	D			YP_003344956.1	YP_003344956.1 tail protein [Sodalis phage SO1]	True	0.941	407	6.567e-129								Bacteriophage lambda tail assembly protein I [PF06805.15]					VOG02683	sp|O64334|TIPI_BPN15 Tail tip assembly protein I; XhXs	Xh;Xs	0	False	V
NC_019724.1_20	NC_019724.1	NC_019724.1	20	16913	20365	1	D			YP_007112629.1	YP_007112629.1 tail protein [Escherichia phage HK578]	True	0.967	2340	0.0								Domain of unknown function (DUF1983) [PF09327.14]					VOG00575	sp|Q6QGE9|BPPB3_BPT5 Baseplate hub protein pb3; XhXs	Xh;Xs	0	False	V
NC_019724.1_21	NC_019724.1	NC_019724.1	21	20388	21320	-1	D			YP_007112630.1	YP_007112630.1 membrane protein [Escherichia phage HK578]	True	0.978	641	5.906e-208								Family of unknown function (DUF6453) [PF20051.2]					VOG08851	REFSEQ membrane protein; Xu	Xu	0	False	
NC_019724.1_22	NC_019724.1	NC_019724.1	22	21320	21550	-1	E			YP_007112631.1	YP_007112631.1 hypothetical protein F843_gp24 [Escherichia phage HK578]	False	0.981	160	9.301000000000001e-46													VOG03701	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_23	NC_019724.1	NC_019724.1	23	21631	23472	1	E			YP_007112632.1	YP_007112632.1 tail fiber protein [Escherichia phage HK578]	True	0.94	1210	0.0													VOG00546	REFSEQ tail fiber protein; Xu	Xu	0	False	
NC_019724.1_24	NC_019724.1	NC_019724.1	24	23498	24073	-1	E			YP_007112633.1	YP_007112633.1 hypothetical protein F843_gp26 [Escherichia phage HK578]	True	0.983	398	2.543e-126													VOG10509	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_25	NC_019724.1	NC_019724.1	25	24116	24658	-1	D			YP_007112634.1	YP_007112634.1 hypothetical protein F843_gp27 [Escherichia phage HK578]	True	0.943	358	1.424e-112								Domain of unknown function (DUF6378) [PF19905.2]					VOG01669	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_26	NC_019724.1	NC_019724.1	26	24723	25193	-1	E			YP_007112635.1	YP_007112635.1 hypothetical protein F843_gp28 [Escherichia phage HK578]	False	1.0	335	4.015e-105																0	False	
NC_019724.1_27	NC_019724.1	NC_019724.1	27	25190	25414	-1	E			YP_007112636.1	YP_007112636.1 hypothetical protein F843_gp29 [Escherichia phage HK578]	False	0.973	154	7.071e-44													VOG10511	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_28	NC_019724.1	NC_019724.1	28	25395	25880	-1	D			YP_007112637.1	YP_007112637.1 DNA methyltransferase [Escherichia phage HK578]	True	1.0	351	1.226e-110								DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]								0	False	
NC_019724.1_29	NC_019724.1	NC_019724.1	29	25961	26284	-1	E			YP_007112638.1	YP_007112638.1 hypothetical protein F843_gp31 [Escherichia phage HK578]	False	0.992	226	2.659e-68																0	False	
NC_019724.1_30	NC_019724.1	NC_019724.1	30	26281	26976	-1	E			YP_007112639.1	YP_007112639.1 DNA methyltransferase [Escherichia phage HK578]	True	1.0	496	1.8250000000000002e-159													VOG02611	sp|Q67472|DNMT_FRG3G Probable DNA (cytosine-5)-methyltransferase; Xh	Xh	0	False	
NC_019724.1_31	NC_019724.1	NC_019724.1	31	26973	28397	-1	D			YP_007112640.1	YP_007112640.1 DNA helicase [Escherichia phage HK578]	True	0.98	981	1.04e-322								SNF2-related domain [PF00176.26]					VOG02058	sp|Q753M0|PCKA_ASHGO Phosphoenolpyruvate carboxykinase (ATP); Xh	Xh	0	False	
NC_019724.1_32	NC_019724.1	NC_019724.1	32	28402	28620	-1	E			YP_010741784.1	YP_010741784.1 hypothetical protein P9623_gp30 [Escherichia phage jat]	False	1.0	166	6.6e-48													VOG10513	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_33	NC_019724.1	NC_019724.1	33	28664	28837	-1	E			YP_007112642.1	YP_007112642.1 Lar-like restriction alleviation protein [Escherichia phage HK578]	False	0.98	120	2.02e-32																0	False	
NC_019724.1_34	NC_019724.1	NC_019724.1	34	28878	29156	-1	D			YP_007112643.1	YP_007112643.1 endonuclease [Escherichia phage HK578]	False	0.976	192	1.533e-56								VRR-NUC domain [PF08774.14]					VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	
NC_019724.1_35	NC_019724.1	NC_019724.1	35	29153	29485	-1	E			YP_007112644.1	YP_007112644.1 hypothetical protein F843_gp37 [Escherichia phage HK578]	False	1.0	238	2.352e-72													VOG00451	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_36	NC_019724.1	NC_019724.1	36	29490	31781	-1	C	K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]	YP_007112645.1	YP_007112645.1 DNA polymerase [Escherichia phage HK578]	True	0.991	1598	0.0								DNA polymerase family A [PF00476.23]					VOG00693	sp|P06225|DPOL_BPSP2 DNA polymerase; XhXr	Xh;Xr	0	False	V
NC_019724.1_37	NC_019724.1	NC_019724.1	37	31778	31948	-1	E			YP_007112646.1	YP_007112646.1 hypothetical protein F843_gp39 [Escherichia phage HK578]	False	0.948	114	3.062e-30													VOG10514	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_38	NC_019724.1	NC_019724.1	38	32007	32729	-1	D			YP_007112647.1	YP_007112647.1 Gp2.5-like ssDNA binding protein and ssDNA annealing protein [Escherichia phage HK578]	True	0.914	460	8.089999999999999e-147								Protein of unknown function (DUF2815) [PF10991.11]					VOG00262	sp|P20313|SSB_BPT3 Single-stranded DNA-binding protein; Xr	Xr	0	False	V
NC_019724.1_39	NC_019724.1	NC_019724.1	39	32834	34261	-1	D			YP_007112648.1	YP_007112648.1 exonuclease [Escherichia phage HK578]	True	0.951	951	3.684e-312								Protein of unknown function (DUF2800) [PF10926.11]					VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	
NC_019724.1_40	NC_019724.1	NC_019724.1	40	34261	34440	-1	E			YP_007112649.1	YP_007112649.1 hypothetical protein F843_gp42 [Escherichia phage HK578]	False	0.996	126	1.405e-34													VOG10516	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_41	NC_019724.1	NC_019724.1	41	34440	34691	-1	E			YP_007112650.1	YP_007112650.1 hypothetical protein F843_gp43 [Escherichia phage HK578]	False	1.0	179	3.346e-52													VOG01393	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_42	NC_019724.1	NC_019724.1	42	34740	35171	-1	E			YP_007112651.1	YP_007112651.1 hypothetical protein F843_gp44 [Escherichia phage HK578]	False	0.891	268	5.976e-82													VOG10517	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019724.1_43	NC_019724.1	NC_019724.1	43	35575	36003	1	E			YP_007112652.1	YP_007112652.1 transposase [Escherichia phage HK578]	False	0.946	284	9.922e-88													VOG01431	sp|Q05257|VG46_BPML5 Gene 46 protein; Xu	Xu	0	False	
NC_019724.1_44	NC_019724.1	NC_019724.1	44	36014	38275	1	D			YP_007112653.1	YP_007112653.1 replicative helicase-primase [Escherichia phage HK578]	True	0.965	1530	0.0								AAA domain [PF13481.9]					VOG00431	REFSEQ DNA polymerase/primase; Xu	Xu	0	False	
NC_019724.1_45	NC_019724.1	NC_019724.1	45	38755	38934	1	E			YP_007112655.1	YP_007112655.1 hypothetical protein F843_gp48 [Escherichia phage HK578]	False	0.99	126	2.648e-34													VOG11042	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_019724.1_46	NC_019724.1	NC_019724.1	46	38931	39236	1	E			YP_007112656.1	YP_007112656.1 hypothetical protein F843_gp49 [Escherichia phage HK578]	False	0.907	194	4.907e-57													VOG10523	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_019724.1_47	NC_019724.1	NC_019724.1	47	39336	39515	1	E			YP_007112657.1	YP_007112657.1 hypothetical protein F843_gp50 [Escherichia phage HK578]	False	0.99	126	2.648e-34													VOG10518	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_019724.1_48	NC_019724.1	NC_019724.1	48	39642	40166	1	E			YP_007112659.1	YP_007112659.1 hypothetical protein F843_gp52 [Escherichia phage HK578]	True	0.969	357	2.011e-112													VOG03503	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_019724.1_49	NC_019724.1	NC_019724.1	49	40163	40303	1	E			YP_007112660.1	YP_007112660.1 hypothetical protein F843_gp53 [Escherichia phage HK578]	False	1.0	104	6.946e-27													VOG11897	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_019724.1_50	NC_019724.1	NC_019724.1	50	40249	40575	1	E			YP_010742173.1	YP_010742173.1 hypothetical protein P9629_gp56 [Shigella phage vB_SboD_StarDew]	False	1.0	235	3.664e-71													VOG09991	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_019724.1_51	NC_019724.1	NC_019724.1	51	40628	40918	1	E			YP_007112662.1	YP_007112662.1 holin [Escherichia phage HK578]	False	1.0	208	4.38e-62													VOG02581	REFSEQ holin; Xu	Xu	0	False	F
NC_019724.1_52	NC_019724.1	NC_019724.1	52	40915	41160	1	E			YP_007112663.1	YP_007112663.1 holin [Escherichia phage HK578]	False	0.908	156	2.06e-44													VOG10519	REFSEQ holin; Xu	Xu	0	False	F
NC_019724.1_53	NC_019724.1	NC_019724.1	53	41204	41638	1	C	K01185	lysozyme [EC:3.2.1.17]	YP_007112664.1	YP_007112664.1 endolysin [Escherichia phage HK578]	False	0.993	304	1.5229999999999998e-94								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm				0	False	F
NC_019724.1_54	NC_019724.1	NC_019724.1	54	41655	42056	1	D			YP_007112665.1	YP_007112665.1 structural protein with Ig domain [Escherichia phage HK578]	False	0.878	245	3.332e-74								Bacterial Ig-like domain (group 2) [PF02368.21]								0	False	F
NC_019724.1_55	NC_019724.1	NC_019724.1	55	42294	43436	1	E			YP_007112666.1	YP_007112666.1 DNA repair exonuclease [Escherichia phage HK578]	True	0.958	767	2.517e-250													VOG02246	sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ; Xu	Xu	0	False	F
NC_019724.1_56	NC_019724.1	NC_019724.1	56	43433	43645	1	E			YP_010740802.1	YP_010740802.1 hypothetical protein P9605_gp13 [Escherichia phage vB_EcoS_WF5505]	False	0.879	130	1.032e-35													VOG10520	REFSEQ hypothetical protein; Xu	Xu	0	False	F
