	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
MG550112_MG550112.1_1	MG550112	MG550112.1	1	1	531	1	E				0
MG550112_MG550112.1_2	MG550112	MG550112.1	2	553	1887	1	E				0
MG550112_MG550112.1_3	MG550112	MG550112.1	3	2053	2322	1	E				0
MG550112_MG550112.1_4	MG550112	MG550112.1	4	2420	2599	1	E				0
MG550112_MG550112.1_5	MG550112	MG550112.1	5	2697	2843	1	E				0
MG550112_MG550112.1_6	MG550112	MG550112.1	6	2843	3073	1	E				0
MG550112_MG550112.1_7	MG550112	MG550112.1	7	3070	3171	1	E				0
MG550112_MG550112.1_8	MG550112	MG550112.1	8	3159	3317	1	E				0
MG550112_MG550112.1_9	MG550112	MG550112.1	9	3310	3543	1	E				0
MG550112_MG550112.1_10	MG550112	MG550112.1	10	3540	3668	1	D			Nudix N-terminal [PF14803.9]	0
MG550112_MG550112.1_11	MG550112	MG550112.1	11	3665	3793	1	E				0
MG550112_MG550112.1_12	MG550112	MG550112.1	12	3798	3971	1	E				0
MG550112_MG550112.1_13	MG550112	MG550112.1	13	4009	4128	1	E				0
MG550112_MG550112.1_14	MG550112	MG550112.1	14	4128	6155	1	E				0
MG550112_MG550112.1_15	MG550112	MG550112.1	15	6192	6380	1	E				0
MG550112_MG550112.1_16	MG550112	MG550112.1	16	6816	7106	1	E				0
MG550112_MG550112.1_17	MG550112	MG550112.1	17	7106	8548	1	E				0
MG550112_MG550112.1_18	MG550112	MG550112.1	18	8617	9030	1	E				0
MG550112_MG550112.1_19	MG550112	MG550112.1	19	9030	10286	1	E				0
MG550112_MG550112.1_20	MG550112	MG550112.1	20	10332	11588	1	E				0
MG550112_MG550112.1_21	MG550112	MG550112.1	21	11660	11884	1	E				0
MG550112_MG550112.1_22	MG550112	MG550112.1	22	11881	12069	1	E				0
MG550112_MG550112.1_23	MG550112	MG550112.1	23	12066	12281	1	E				0
MG550112_MG550112.1_24	MG550112	MG550112.1	24	12278	12472	1	E				0
MG550112_MG550112.1_25	MG550112	MG550112.1	25	12689	12931	1	E				0
MG550112_MG550112.1_26	MG550112	MG550112.1	26	12968	13393	1	E				0
MG550112_MG550112.1_27	MG550112	MG550112.1	27	13453	13869	1	E				0
MG550112_MG550112.1_28	MG550112	MG550112.1	28	13866	14159	1	E				0
MG550112_MG550112.1_29	MG550112	MG550112.1	29	14196	14669	1	E				0
MG550112_MG550112.1_30	MG550112	MG550112.1	30	14712	15059	1	E				0
MG550112_MG550112.1_31	MG550112	MG550112.1	31	15056	16297	1	D			Polysaccharide deacetylase [PF01522.24]	0
MG550112_MG550112.1_32	MG550112	MG550112.1	32	16702	17034	1	E				0
MG550112_MG550112.1_33	MG550112	MG550112.1	33	17018	17176	1	E				0
MG550112_MG550112.1_34	MG550112	MG550112.1	34	17214	17690	1	E				0
MG550112_MG550112.1_35	MG550112	MG550112.1	35	17693	18187	1	E				0
MG550112_MG550112.1_36	MG550112	MG550112.1	36	18156	18308	1	E				0
MG550112_MG550112.1_37	MG550112	MG550112.1	37	18344	18562	1	E				0
MG550112_MG550112.1_38	MG550112	MG550112.1	38	18559	19437	-1	E				1
MG550112_MG550112.1_39	MG550112	MG550112.1	39	19536	20561	1	E				0
MG550112_MG550112.1_40	MG550112	MG550112.1	40	20562	21419	1	E				0
MG550112_MG550112.1_41	MG550112	MG550112.1	41	21461	22792	1	E				0
MG550112_MG550112.1_42	MG550112	MG550112.1	42	22792	23022	1	E				0
MG550112_MG550112.1_43	MG550112	MG550112.1	43	23025	25889	1	E				0
MG550112_MG550112.1_44	MG550112	MG550112.1	44	25886	26188	-1	C	K06218	mRNA interferase RelE/StbE		0
MG550112_MG550112.1_45	MG550112	MG550112.1	45	26306	26539	1	E				0
MG550112_MG550112.1_46	MG550112	MG550112.1	46	26778	26996	1	E				0
MG550112_MG550112.1_47	MG550112	MG550112.1	47	26989	27210	1	E				0
MG550112_MG550112.1_48	MG550112	MG550112.1	48	27207	27371	1	E				0
MG550112_MG550112.1_49	MG550112	MG550112.1	49	27368	27727	1	E				0
MG550112_MG550112.1_50	MG550112	MG550112.1	50	27724	28374	1	E				0
MG550112_MG550112.1_51	MG550112	MG550112.1	51	28371	28490	1	E				0
MG550112_MG550112.1_52	MG550112	MG550112.1	52	28487	28687	1	E				0
MG550112_MG550112.1_53	MG550112	MG550112.1	53	28684	29004	1	E				0
MG550112_MG550112.1_54	MG550112	MG550112.1	54	29001	29168	1	E				0
MG550112_MG550112.1_55	MG550112	MG550112.1	55	29382	29729	1	E				0
MG550112_MG550112.1_56	MG550112	MG550112.1	56	29865	30035	1	E				0
MG550112_MG550112.1_57	MG550112	MG550112.1	57	30032	30559	1	E				0
MG550112_MG550112.1_58	MG550112	MG550112.1	58	30621	32690	1	D			MCM P-loop domain [PF00493.26]; MCM OB domain [PF17207.6]; MCM AAA-lid domain [PF17855.4]; AAA domain (dynein-related subfamily) [PF07728.17]; Magnesium chelatase, subunit ChlI [PF01078.24]	0
MG550112_MG550112.1_59	MG550112	MG550112.1	59	32690	32887	1	E				0
MG550112_MG550112.1_60	MG550112	MG550112.1	60	32884	33687	1	D			Phosphoadenosine phosphosulfate reductase family [PF01507.22]	0
MG550112_MG550112.1_61	MG550112	MG550112.1	61	33818	34474	1	D			C-5 cytosine-specific DNA methylase [PF00145.20]	0
MG550112_MG550112.1_62	MG550112	MG550112.1	62	34570	34719	1	E				0
MG550112_MG550112.1_63	MG550112	MG550112.1	63	34766	35056	1	E				0
MG550112_MG550112.1_64	MG550112	MG550112.1	64	35111	35902	1	C	K04802	proliferating cell nuclear antigen	Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]	0
MG550112_MG550112.1_65	MG550112	MG550112.1	65	35942	36139	1	E				0
MG550112_MG550112.1_66	MG550112	MG550112.1	66	36129	36368	1	E				0
MG550112_MG550112.1_67	MG550112	MG550112.1	67	36365	36631	1	E				0
MG550112_MG550112.1_68	MG550112	MG550112.1	68	36804	37031	1	E				0
MG550112_MG550112.1_69	MG550112	MG550112.1	69	37131	37529	1	E				0
MG550112_MG550112.1_70	MG550112	MG550112.1	70	37571	38032	1	E				0
