	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_048136.1_1	NC_048136.1	NC_048136.1	1	933	1433	1	D			YP_009818253.1	YP_009818253.1 ocr-like anti-restriction [Escherichia phage Ro45lw]	False	0.966	340	2.016e-106	DNA mimic ocr [PF08684.13]	VOG00807	sp|P00513|PK_BPT7 Protein kinase 0.7; XhXp	Xp;Xh	0	False	F
NC_048136.1_2	NC_048136.1	NC_048136.1	2	1433	1588	1	E			YP_009818254.1	YP_009818254.1 hypothetical protein HOU92_gp02 [Escherichia phage Ro45lw]	False	0.978	108	3.7799999999999998e-28		VOG00722	sp|P03776|GP04_BPT7 Gene 0.4 protein; Xh	Xh	0	False	F
NC_048136.1_3	NC_048136.1	NC_048136.1	3	1590	1715	1	E			YP_009818255.1	YP_009818255.1 hypothetical protein HOU92_gp03 [Escherichia phage Ro45lw]	False	1.0	93	2.809e-23		VOG19610	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048136.1_4	NC_048136.1	NC_048136.1	4	1874	2068	1	E			YP_009818256.1	YP_009818256.1 hypothetical protein HOU92_gp04 [Escherichia phage Ro45lw]	False	0.957	131	4.0460000000000005e-36		VOG03819	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048136.1_5	NC_048136.1	NC_048136.1	5	2068	2394	1	E			YP_009818257.1	YP_009818257.1 hypothetical protein HOU92_gp05 [Escherichia phage Ro45lw]	False	0.982	226	3.83e-68		VOG03312	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048136.1_6	NC_048136.1	NC_048136.1	6	2498	5179	1	C	K21313	Escherichia phage RNA polymerase [EC:2.7.7.6]	YP_009818258.1	YP_009818258.1 N4-like RNA polymerase [Escherichia phage Ro45lw]	True	0.958	1799	0.0	DNA-dependent RNA polymerase [PF00940.22]; DNA-directed RNA polymerase N-terminal [PF14700.9]	VOG00796	sp|P00573|RPOL_BPT7 T7 RNA polymerase; XhXr	Xh;Xr	0	False	VF
NC_048136.1_7	NC_048136.1	NC_048136.1	7	5192	5407	1	E			YP_009818259.1	YP_009818259.1 hypothetical protein HOU92_gp07 [Escherichia phage Ro45lw]	False	0.946	143	3.136e-40		VOG16701	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048136.1_8	NC_048136.1	NC_048136.1	8	5579	5758	1	E			YP_009818260.1	YP_009818260.1 hypothetical protein HOU92_gp08 [Escherichia phage Ro45lw]	False	0.956	121	1.187e-32		VOG00598	sp|P20833|V11_BPT3 Gene 1.1 protein; Xh	Xh	0	False	
NC_048136.1_9	NC_048136.1	NC_048136.1	9	5763	6026	1	D			YP_009818261.1	YP_009818261.1 dGTPase inhibitor; target for F exclusion [Escherichia phage Ro45lw]	False	0.986	183	9.169999999999999e-54	Bacteriophage T7-like, gene 1.2 [PF10922.11]	VOG02102	sp|P03780|GP12_BPT7 Inhibitor of dGTPase; XhXr	Xh;Xr	0	False	V
NC_048136.1_10	NC_048136.1	NC_048136.1	10	6026	7093	1	D			YP_009818262.1	YP_009818262.1 DNA ligase [Escherichia phage Ro45lw]	True	0.996	749	1.123e-244	DNA ligase C-terminal domain [PF17879.4]; ATP dependent DNA ligase domain [PF01068.24]	VOG00242	sp|P00970|DNLI_BPT4 DNA ligase; XhXr	Xh;Xr	0	False	V
