	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MK002701.1_1	MK002701	MK002701.1	1	115	717	1	E			YP_009981808.1	YP_009981808.1 hypothetical protein JR051_gp02 [Halobacterium phage phiH]	True	0.962	407	5.181e-129		VOG06040	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK002701.1_2	MK002701	MK002701.1	2	710	2371	1	E			YP_009981809.1	YP_009981809.1 terminase large subunit [Halobacterium phage phiH]	True	0.994	1163	0.0		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VTF
MK002701.1_3	MK002701	MK002701.1	3	2377	2505	1	E			YP_009981810.1	YP_009981810.1 hypothetical protein JR051_gp04 [Halobacterium phage phiH]	False	0.905	82	2.162e-19		VOG25502	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK002701.1_4	MK002701	MK002701.1	4	2498	2689	1	E			YP_009981811.1	YP_009981811.1 hypothetical protein JR051_gp05 [Halobacterium phage phiH]	False	0.984	133	7.889e-37		VOG25480	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK002701.1_5	MK002701	MK002701.1	5	2686	4242	1	D			YP_009981812.1	YP_009981812.1 portal protein [Halobacterium phage phiH]	True	0.963	1051	0.0	Phage portal protein [PF04860.15]	VOG25223	REFSEQ portal protein; Xu	Xu	0	False	TF
MK002701.1_6	MK002701	MK002701.1	6	4246	5187	1	D			YP_009981813.1	YP_009981813.1 head morphogenesis [Halobacterium phage phiH]	True	0.951	627	4.2e-203	Phage Mu protein F like protein [PF04233.17]	VOG00318	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB; Xu	Xu	0	False	TF
MK002701.1_7	MK002701	MK002701.1	7	5261	5587	1	E			YP_009981814.1	YP_009981814.1 capsid protein [Halobacterium phage phiH]	False	0.945	216	7.535e-65		VOG14649	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK002701.1_8	MK002701	MK002701.1	8	5667	7466	1	D			YP_009981815.1	YP_009981815.1 XkdF-like putative serine protease domain-containing protein [Halobacterium phage phiH]	True	0.917	1150	0.0	Putative phage serine protease XkdF [PF14550.9]	VOG06381	REFSEQ XkdF-like putative serine protease domain-containing protein; Xu	Xu	0	False	T
MK002701.1_9	MK002701	MK002701.1	9	7506	8468	1	E			YP_009981816.1	YP_009981816.1 virion structural protein [Halobacterium phage phiH]	True	0.959	647	6.099e-210		VOG01409	sp|P25477|CAPSD_BPP2 Capsid proteins; XhXs	Xh;Xs	0	False	VT
MK002701.1_10	MK002701	MK002701.1	10	8481	8933	1	E			YP_009981817.1	YP_009981817.1 hypothetical protein JR051_gp11 [Halobacterium phage phiH]	False	0.895	282	9.673e-87		VOG06394	REFSEQ hypothetical protein; Xu	Xu	0	False	T
