	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_061433.1_NC_061433.1_1	NC_061433.1	NC_061433.1	1	3	140	1	E											0
NC_061433.1_NC_061433.1_2	NC_061433.1	NC_061433.1	2	510	1223	-1	D			MER0505549	S24	MER0505549 - family S24 unassigned peptidases (Pseudomonas aeruginosa) [S24.UPW]#S24#{peptidase unit: 106-236}~source YP_008941643~	False	267.0	2.038e-79	0.959	Peptidase S24-like [PF00717.26]; Helix-turn-helix [PF01381.25]	0
NC_061433.1_NC_061433.1_3	NC_061433.1	NC_061433.1	3	1393	1749	1	C	K07724	Ner family transcriptional regulator								Winged helix-turn-helix DNA-binding [PF13693.9]	0
NC_061433.1_NC_061433.1_4	NC_061433.1	NC_061433.1	4	1752	2186	1	E											0
NC_061433.1_NC_061433.1_5	NC_061433.1	NC_061433.1	5	2186	2383	1	E											0
NC_061433.1_NC_061433.1_6	NC_061433.1	NC_061433.1	6	2451	4445	1	C	K07497	putative transposase								Bacteriophage Mu transposase [PF02914.18]; Mu transposase, C-terminal [PF09299.14]; Integrase core domain [PF00665.29]; Mu DNA-binding domain [PF02316.19]	0
NC_061433.1_NC_061433.1_7	NC_061433.1	NC_061433.1	7	4460	5209	1	D										AAA domain [PF13401.9]; Bacterial TniB protein [PF05621.14]	0
NC_061433.1_NC_061433.1_8	NC_061433.1	NC_061433.1	8	5206	5853	1	E											0
NC_061433.1_NC_061433.1_9	NC_061433.1	NC_061433.1	9	5838	5954	1	E											0
NC_061433.1_NC_061433.1_10	NC_061433.1	NC_061433.1	10	5954	6367	1	E											0
NC_061433.1_NC_061433.1_11	NC_061433.1	NC_061433.1	11	6330	6641	1	E											0
NC_061433.1_NC_061433.1_12	NC_061433.1	NC_061433.1	12	6658	7176	1	D										Bacteriophage Mu Gam like protein [PF07352.15]	0
