	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_048672.1_1	NC_048672.1	NC_048672.1	1	911	1138	1	E			YP_009834243.1	YP_009834243.1 hypothetical protein HWB27_gp01 [Lentibacter phage vB_LenP_ICBM1]	False	0.944	151	9.354e-43					0	False	F
NC_048672.1_2	NC_048672.1	NC_048672.1	2	1213	1467	1	E			YP_009834244.1	YP_009834244.1 hypothetical protein HWB27_gp02 [Lentibacter phage vB_LenP_ICBM1]	False	0.993	179	3.516e-52					0	False	F
NC_048672.1_3	NC_048672.1	NC_048672.1	3	1535	1918	1	E			YP_009834245.1	YP_009834245.1 hypothetical protein HWB27_gp03 [Lentibacter phage vB_LenP_ICBM1]	False	1.0	272	8.573e-84		VOG00244	sp|P07693|ADOM_BPT3 S-Adenosylmethionine lyase; Xh	Xh	0	False	F
NC_048672.1_4	NC_048672.1	NC_048672.1	4	2101	2691	1	E			YP_009834247.1	YP_009834247.1 hypothetical protein HWB27_gp05 [Lentibacter phage vB_LenP_ICBM1]	True	0.974	404	2.843e-128		VOG08042	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048672.1_5	NC_048672.1	NC_048672.1	5	2658	2927	1	E			YP_009834248.1	YP_009834248.1 hypothetical protein HWB27_gp06 [Lentibacter phage vB_LenP_ICBM1]	False	0.979	186	1.1059999999999999e-54		VOG35486	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048672.1_6	NC_048672.1	NC_048672.1	6	2947	3159	1	D			YP_009834249.1	YP_009834249.1 HTH DNA-binding protein [Lentibacter phage vB_LenP_ICBM1]	False	0.956	143	4.093e-40	Helix-turn-helix domain [PF14090.9]				0	False	F
NC_048672.1_7	NC_048672.1	NC_048672.1	7	3156	3368	1	E			YP_009834250.1	YP_009834250.1 hypothetical protein HWB27_gp08 [Lentibacter phage vB_LenP_ICBM1]	False	0.949	138	2.512e-38		VOG25735	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048672.1_8	NC_048672.1	NC_048672.1	8	3361	3588	1	E			YP_009834251.1	YP_009834251.1 hypothetical protein HWB27_gp09 [Lentibacter phage vB_LenP_ICBM1]	False	1.0	165	1.4449999999999998e-47		VOG00897	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048672.1_9	NC_048672.1	NC_048672.1	9	3670	3819	1	E			YP_009834252.1	YP_009834252.1 hypothetical protein HWB27_gp10 [Lentibacter phage vB_LenP_ICBM1]	False	0.955	101	7.494e-26		VOG25738	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048672.1_10	NC_048672.1	NC_048672.1	10	3819	4490	1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	YP_009834253.1	YP_009834253.1 thymidylate synthase [Lentibacter phage vB_LenP_ICBM1]	True	0.983	465	1.13e-148	Thymidylate synthase complementing protein [PF02511.18]	VOG03899	sp|Q05259|THYX_BPML5 Probable flavin-dependent thymidylate synthase; XhXr	Xr;Xh	0	False	VF
NC_048672.1_11	NC_048672.1	NC_048672.1	11	4487	4639	1	E			YP_009834254.1	YP_009834254.1 hypothetical protein HWB27_gp12 [Lentibacter phage vB_LenP_ICBM1]	False	0.918	98	5.301000000000001e-25					0	False	F
