L1	L2	ID	Function	Gene
AMINOGLYCOSIDE	KASUGAMYCIN	NF000100.2	kasugamycin N-acetyltransferase AAC(2')-IIa	aac(2')-IIa
AMINOGLYCOSIDE	KASUGAMYCIN	NF033472.1	kasugamycin N-acetyltransferase AAC(2')-IIb	aac(2')-IIb
AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	NF000108.1	aminoglycoside N-acetyltransferase AAC(2')-Ia	aac(2')-Ia
AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	NF000010.1	aminoglycoside N-acetyltransferase AAC(2')-Ib	aac(2')-Ib
AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	NF000034.1	aminoglycoside N-acetyltransferase AAC(2')-Ic	aac(2')-Ic
AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	NF000042.1	aminoglycoside N-acetyltransferase AAC(2')-Id	aac(2')-Id
AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	NF000054.1	aminoglycoside N-acetyltransferase AAC(2')-Ie	aac(2')-Ie
AMINOGLYCOSIDE	GENTAMICIN	NF033082.0	aminoglycoside 3-N-acetyltransferase	aac(3)
AMINOGLYCOSIDE	GENTAMICIN	NF033083.0	AAC(3)-I family aminoglycoside N-acetyltransferase	aac(3)-I
AMINOGLYCOSIDE	GENTAMICIN	NF033080.0	AAC(3)-II family aminoglycoside N-acetyltransferase	aac(3)-II
AMINOGLYCOSIDE	GENTAMICIN	NF033081.0	AAC(3)-IV family aminoglycoside N-acetyltransferase	aac(3)-IV
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033180.1	aminoglycoside N-acetyltransferase AAC(3)-VIII	aac(3)-VIII
AMINOGLYCOSIDE	GENTAMICIN	NF033612.0	aminoglycoside N-acetyltransferase AAC(3)-VIa	aac(3)-VIa
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000482.1	aminoglycoside N-acetyltransferase AAC(3)-XI	aac(3)-XI
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF012165.0	aminoglycoside 6'-N-acetyltransferase	aac(6')
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF043067.1	aminoglycoside 6'-N-acetyltransferase	aac(6')
