	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KP703175.1_1	GCA_003004805.1	KP703175.1	1	1	1176	1	E													0	False	F
KP703175.1_2	GCA_003004805.1	KP703175.1	2	1224	1448	1	E													0	False	F
KP703175.1_3	GCA_003004805.1	KP703175.1	3	1661	1885	1	E													0	False	F
KP703175.1_4	GCA_003004805.1	KP703175.1	4	1913	3193	1	D									Protein of unknown function (DUF1073) [PF06381.14]	VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
KP703175.1_5	GCA_003004805.1	KP703175.1	5	3200	5800	1	D									ATP dependent DNA ligase domain [PF01068.24]	VOG00242	sp|P00970|DNLI_BPT4 DNA ligase; XhXr	Xr;Xh	0	False	VF
KP703175.1_6	GCA_003004805.1	KP703175.1	6	5868	9368	1	E			YP_003084228.1	YP_003084228.1 hypothetical protein PSS2_gp084 [Cyanophage PSS2]	False	0.173	186.0	5.239e-46					0	False	
KP703175.1_7	GCA_003004805.1	KP703175.1	7	9356	9640	-1	E													0	False	
KP703175.1_8	GCA_003004805.1	KP703175.1	8	9835	9984	1	E													0	False	
KP703175.1_9	GCA_003004805.1	KP703175.1	9	9953	10162	1	C	K18843	antitoxin HicB							HicB_like antitoxin of bacterial toxin-antitoxin system [PF15919.8]; Domain of unknown function (DUF1902) [PF08972.14]				0	False	
KP703175.1_10	GCA_003004805.1	KP703175.1	10	10185	11606	-1	D			YP_009210523.1	YP_009210523.1 terminase large subunit [Paenibacillus phage Tripp]	False	0.19	90.0	1.696e-17	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	V
KP703175.1_11	GCA_003004805.1	KP703175.1	11	11596	12057	-1	E													0	False	
KP703175.1_12	GCA_003004805.1	KP703175.1	12	12057	12650	-1	D									Transcription factor TFIID (or TATA-binding protein, TBP) [PF00352.24]				0	False	
KP703175.1_13	GCA_003004805.1	KP703175.1	13	12973	13200	1	E													0	False	
KP703175.1_14	GCA_003004805.1	KP703175.1	14	14497	14922	-1	E													0	False	
KP703175.1_15	GCA_003004805.1	KP703175.1	15	15044	15256	-1	E													0	False	
KP703175.1_16	GCA_003004805.1	KP703175.1	16	15305	15511	-1	E													0	False	
KP703175.1_17	GCA_003004805.1	KP703175.1	17	15517	15939	-1	E													0	False	
KP703175.1_18	GCA_003004805.1	KP703175.1	18	15936	16106	-1	E													0	False	
KP703175.1_19	GCA_003004805.1	KP703175.1	19	16371	16799	-1	E													0	False	
KP703175.1_20	GCA_003004805.1	KP703175.1	20	16780	16959	-1	E													0	False	
KP703175.1_21	GCA_003004805.1	KP703175.1	21	16956	17498	-1	E													0	False	
KP703175.1_22	GCA_003004805.1	KP703175.1	22	17488	17661	-1	E													0	False	
KP703175.1_23	GCA_003004805.1	KP703175.1	23	17702	17872	-1	E													0	False	
KP703175.1_24	GCA_003004805.1	KP703175.1	24	18042	18437	-1	E													0	False	
KP703175.1_25	GCA_003004805.1	KP703175.1	25	19055	19354	1	E													0	False	
KP703175.1_26	GCA_003004805.1	KP703175.1	26	19351	19590	1	E													0	False	
KP703175.1_27	GCA_003004805.1	KP703175.1	27	19557	19754	-1	E													0	False	
KP703175.1_28	GCA_003004805.1	KP703175.1	28	19903	20322	1	E													0	False	
