NC_048100_orf126	a8010cbecb92cd80232a2df5ec4c2074	715	Pfam	PF10145	Phage-related minor tail protein	104	288	1.4E-10	T	24-06-2023	IPR010090	Phage tail tape measure protein
NC_048100_orf22	9a38378eb8335e040b02b571f8838b3b	563	MobiDBLite	mobidb-lite	consensus disorder prediction	15	37	-	T	24-06-2023	-	-
NC_048100_orf22	9a38378eb8335e040b02b571f8838b3b	563	Gene3D	G3DSA:3.40.50.300	-	59	250	5.0E-31	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NC_048100_orf22	9a38378eb8335e040b02b571f8838b3b	563	Coils	Coil	Coil	148	168	-	T	24-06-2023	-	-
NC_048100_orf22	9a38378eb8335e040b02b571f8838b3b	563	PANTHER	PTHR41287	-	75	245	3.0E-11	T	24-06-2023	IPR005021	Terminase large subunit-like
NC_048100_orf22	9a38378eb8335e040b02b571f8838b3b	563	Coils	Coil	Coil	267	287	-	T	24-06-2023	-	-
NC_048100_orf777	7042fc9d9244fdfc8efd0e2543746a09	554	MobiDBLite	mobidb-lite	consensus disorder prediction	82	113	-	T	24-06-2023	-	-
NC_048100_orf777	7042fc9d9244fdfc8efd0e2543746a09	554	MobiDBLite	mobidb-lite	consensus disorder prediction	1	50	-	T	24-06-2023	-	-
NC_048100_orf777	7042fc9d9244fdfc8efd0e2543746a09	554	MobiDBLite	mobidb-lite	consensus disorder prediction	19	42	-	T	24-06-2023	-	-
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	65	229	1.1E-21	T	24-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	321	515	2.8E-21	T	24-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	84	98	7.1E-20	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	466	484	7.1E-20	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
