L1	L2	L3	L4	ID	Function	EC
Coenzyme transport and metabolism	Heme biosynthesis	HemL	2CFB	COG0001	Glutamate-1-semialdehyde aminotransferase	
Amino acid transport and metabolism	Arginine biosynthesis	ArgC	3DR3	COG0002	N-acetyl-gamma-glutamylphosphate reductase	
Inorganic ion transport and metabolism		ArsA	1F48	COG0003	Anion-transporting ATPase, ArsA/GET3 family	
Inorganic ion transport and metabolism		AmtB	1U77	COG0004	Ammonia channel protein AmtB	
Nucleotide transport and metabolism	Purine salvage	XapA	1YQQ	COG0005	Purine nucleoside phosphorylase	
Amino acid transport and metabolism		PepP	1A16	COG0006	Xaa-Pro aminopeptidase	
Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis	CysG	1PJQ	COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	
Translation, ribosomal structure and biogenesis	Heme biosynthesis	GlnS	1EUQ	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	
Translation, ribosomal structure and biogenesis	tRNA modification	TsaC	1HRU	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	
Amino acid transport and metabolism	Urea cycle	SpeB	1CEV	COG0010	Arginase/agmatinase family enzyme	
Coenzyme transport and metabolism		YqgV	1LXJ	COG0011	Thiamin-binding stress-response protein YqgV, UPF0045 family	
Translation, ribosomal structure and biogenesis		GTP1	2DWQ	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AlaS	2ZZE	COG0013	Alanyl-tRNA synthetase	
Amino acid transport and metabolism	Proline biosynthesis	ProA	4GHK	COG0014	Gamma-glutamyl phosphate reductase	
Nucleotide transport and metabolism	Purine biosynthesis	PurB	2HVG	COG0015	Adenylosuccinate lyase	
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	PheS	3L4G	COG0016	Phenylalanyl-tRNA synthetase alpha subunit	
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AsnS	3KFU	COG0017	Aspartyl/asparaginyl-tRNA synthetase	
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	ArgS	1BS2	COG0018	Arginyl-tRNA synthetase	
Amino acid transport and metabolism	Lysine biosynthesis	LysA	1D7K	COG0019	Diaminopimelate decarboxylase	
Lipid transport and metabolism		UppS	1X07	COG0020	Undecaprenyl pyrophosphate synthase	
Carbohydrate transport and metabolism	Pentose phosphate pathway	TktA	1AY0	COG0021	Transketolase	
Energy production and conversion	Pyruvate oxidation	AcoB	2OZL	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	
Translation, ribosomal structure and biogenesis	Translation factors	SUI1	1D1R	COG0023	Translation initiation factor 1 (eIF-1/SUI1)	
