L1	KO	Function	EC	Count
integration and excision	phrog_1	integrase		1
DNA, RNA and nucleotide metabolism	phrog_100	SbcD-like subunit of palindrome specific endonuclease		1
other	phrog_10255	kinase		1
DNA, RNA and nucleotide metabolism	phrog_10276	DNA repair protein		1
other	phrog_1040	peptidase HslV family		1
DNA, RNA and nucleotide metabolism	phrog_107	exonuclease		1
DNA, RNA and nucleotide metabolism	phrog_1075	tRNA splicing ligase		1
transcription regulation	phrog_1077	transcriptional regulator		1
other	phrog_10912	kinase		1
DNA, RNA and nucleotide metabolism	phrog_11023	homing endonuclease with LAGLIDADG motif		1
moron, auxiliary metabolic gene and host takeover	phrog_1112	phosphoribosylaminoimidazole-succinocarboxamide synthase		1
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		1
other	phrog_11189	NAD synthetase		1
integration and excision	phrog_1157	transposase		1
other	phrog_11787	DNA methyltransferase		1
other	phrog_1185	nudix hydrolase		1
other	phrog_1198	MutT/NUDIX hydrolase		1
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		1
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		1
DNA, RNA and nucleotide metabolism	phrog_1218	exonuclease		1
other	phrog_12316	ATPase		1
other	phrog_12432	phosphatidylglycerophosphatase A		1
other	phrog_1249	acetyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		1
DNA, RNA and nucleotide metabolism	phrog_1268	DNA polymerase		1
moron, auxiliary metabolic gene and host takeover	phrog_1282	5-phosphoribosylformylglycinamide amidotransferase		1
other	phrog_1319	dehydrogenase		1
transcription regulation	phrog_13512	transcriptional regulator		1
moron, auxiliary metabolic gene and host takeover	phrog_1358	FtsK/SpoIIIE-like protein		1
head and packaging	phrog_1383	virion structural protein		1
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		1
moron, auxiliary metabolic gene and host takeover	phrog_1395	quaternary ammonium compound-resistance protein QacE		1
transcription regulation	phrog_14147	transcriptional regulator		1
DNA, RNA and nucleotide metabolism	phrog_1460	tRNA amidotransferase		1
lysis	phrog_14642	endolysin		1
other	phrog_14690	cAMP-dependent Kef-type K+ transporter		1
lysis	phrog_1493	endolysin		1
other	phrog_14988	peptidase		1
integration and excision	phrog_151	transposase		1
moron, auxiliary metabolic gene and host takeover	phrog_1550	QueC-like queuosine biosynthesis		1
other	phrog_15516	methyltransferase		1
integration and excision	phrog_157	transposase		1
DNA, RNA and nucleotide metabolism	phrog_16	DNA helicase		1
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		1
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		1
other	phrog_16448	ATPase		1
other	phrog_1649	metallo-phosphoesterase		1
tail	phrog_16641	tail fiber protein		1
DNA, RNA and nucleotide metabolism	phrog_168	clamp loader of DNA polymerase		1
tail	phrog_16823	tail length tape measure protein		1
moron, auxiliary metabolic gene and host takeover	phrog_16914	sporulation protein		1
DNA, RNA and nucleotide metabolism	phrog_17	DNA polymerase		1
other	phrog_170	PhoH-like phosphate starvation-inducible		1
DNA, RNA and nucleotide metabolism	phrog_173	nucleoside triphosphate pyrophosphohydrolase		1
DNA, RNA and nucleotide metabolism	phrog_174	dCMP deaminase		1
transcription regulation	phrog_1740	RNA polymerase sigma factor		1
moron, auxiliary metabolic gene and host takeover	phrog_1741	QueC-like queuosine biosynthesis		1
lysis	phrog_1794	amidase		1
other	phrog_1802	radical SAM domain-containing protein		1
other	phrog_18103	esterase/lipase		1
other	phrog_18111	ATPase		1
other	phrog_1815	guanylate kinase		1
DNA, RNA and nucleotide metabolism	phrog_18535	primase		1
DNA, RNA and nucleotide metabolism	phrog_186	DnaD-like helicase loader		1
other	phrog_18609	kinase		1
other	phrog_18935	nitroreductase		1
DNA, RNA and nucleotide metabolism	phrog_19	DnaB-like replicative helicase		1
DNA, RNA and nucleotide metabolism	phrog_192	DNA polymerase exonuclease subunit		1
moron, auxiliary metabolic gene and host takeover	phrog_1936	MazF-like growth inhibitor		1
DNA, RNA and nucleotide metabolism	phrog_1967	DNA helicase		1
DNA, RNA and nucleotide metabolism	phrog_20214	clamp loader of DNA polymerase		1
other	phrog_2071	ATPase		1
moron, auxiliary metabolic gene and host takeover	phrog_2076	QueE-like  radical SAM domain		1
DNA, RNA and nucleotide metabolism	phrog_20876	nuclease		1
DNA, RNA and nucleotide metabolism	phrog_2118	HNH endonuclease		1
