	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
JQ010983.1_1	GCA_000896815.1	JQ010983.1	1	304	990	1	E	YP_005271223.1	YP_005271223.1 N-terminal part of the MCM2-like helicase [Thermococcus prieurii virus 1]	True	0.947	400.0	5.641e-126					0	False	F
JQ010983.1_2	GCA_000896815.1	JQ010983.1	2	1184	2917	1	D	YP_005271224.1	YP_005271224.1 DNA helicase [Thermococcus prieurii virus 1]	True	0.948	1105.0	0.0	MCM P-loop domain [PF00493.26]; MCM OB domain [PF17207.6]; MCM AAA-lid domain [PF17855.4]; AAA domain (dynein-related subfamily) [PF07728.17]	VOG14467	sp|Q9UXG1|MCM_SACS2 Minichromosome maintenance protein MCM; XhXr	Xh;Xr	0	False	VF
JQ010983.1_3	GCA_000896815.1	JQ010983.1	3	2928	3173	1	E											0	False	F
JQ010983.1_4	GCA_000896815.1	JQ010983.1	4	3170	3436	1	E	YP_005271225.1	YP_005271225.1 MutL-transducer domain protein [Thermococcus prieurii virus 1]	False	1.0	195.0	7.303000000000001e-58					0	False	F
JQ010983.1_5	GCA_000896815.1	JQ010983.1	5	3468	3716	1	E	YP_005271226.1	YP_005271226.1 hypothetical protein TPV1_gp04 [Thermococcus prieurii virus 1]	False	0.995	175.0	7.528e-51					0	False	F
JQ010983.1_6	GCA_000896815.1	JQ010983.1	6	3713	4111	1	E	YP_005271227.1	YP_005271227.1 hypothetical protein TPV1_gp05 [Thermococcus prieurii virus 1]	False	0.919	256.0	4.588e-78					0	False	F
JQ010983.1_7	GCA_000896815.1	JQ010983.1	7	4111	4635	1	E	YP_005271228.1	YP_005271228.1 Holliday junction resolvase [Thermococcus prieurii virus 1]	True	0.998	369.0	1.557e-116					0	False	F
JQ010983.1_8	GCA_000896815.1	JQ010983.1	8	4642	5205	1	E	YP_005271229.1	YP_005271229.1 hypothetical protein TPV1_gp07 [Thermococcus prieurii virus 1]	True	1.0	406.0	5.237e-129					0	False	F
JQ010983.1_9	GCA_000896815.1	JQ010983.1	9	5420	5773	1	E	YP_005271230.1	YP_005271230.1 transcriptional regulator [Thermococcus prieurii virus 1]	False	0.96	239.0	2.413e-72					0	False	
JQ010983.1_10	GCA_000896815.1	JQ010983.1	10	5780	5989	1	E	YP_005271231.1	YP_005271231.1 putative integral membrane protein [Thermococcus prieurii virus 1]	False	0.91	134.0	7.785e-37					0	False	
JQ010983.1_11	GCA_000896815.1	JQ010983.1	11	5995	6159	1	E											0	False	
JQ010983.1_12	GCA_000896815.1	JQ010983.1	12	6156	7112	1	D	YP_005271232.1	YP_005271232.1 integrase [Thermococcus prieurii virus 1]	True	0.971	653.0	6.733e-212	Archaeal phage integrase [PF16795.8]	VOG36908	sp|P20214|VINT_SSV1 Integrase; Xr	Xr	0	False	V
JQ010983.1_13	GCA_000896815.1	JQ010983.1	13	7291	7707	1	E	YP_005271235.1	YP_005271235.1 putative integral membrane protein [Thermococcus prieurii virus 1]	False	0.94	271.0	5.159e-83					0	False	
JQ010983.1_14	GCA_000896815.1	JQ010983.1	14	7704	7991	1	E											0	False	
