	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000150.1_1	QGNH01000150.1	QGNH01000150.1	1	3	284	1	E																								0	False	F
QGNH01000150.1_2	QGNH01000150.1	QGNH01000150.1	2	281	478	1	E																								0	False	F
QGNH01000150.1_3	QGNH01000150.1	QGNH01000150.1	3	487	678	1	E																								0	False	F
QGNH01000150.1_4	QGNH01000150.1	QGNH01000150.1	4	680	838	1	E																								0	False	F
QGNH01000150.1_5	QGNH01000150.1	QGNH01000150.1	5	971	1393	1	E																								0	False	F
QGNH01000150.1_6	QGNH01000150.1	QGNH01000150.1	6	1741	2193	1	E																								0	False	F
QGNH01000150.1_7	QGNH01000150.1	QGNH01000150.1	7	2186	3598	1	D			YP_010772345.1	YP_010772345.1 terminase large subunit [Methanoculleus virus L4768]	True	0.537	442.0	4.707e-136								Terminase RNaseH-like domain [PF17289.5]; Phage terminase large subunit [PF04466.16]					VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
QGNH01000150.1_8	QGNH01000150.1	QGNH01000150.1	8	3609	5789	1	C	K09961	uncharacterized protein	YP_007007124.1	YP_007007124.1 portal protein [Bdellovibrio phage phi1422]	True	0.562	430.0	7.473e-128								Protein of unknown function (DUF1073) [PF06381.14]					VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
QGNH01000150.1_9	QGNH01000150.1	QGNH01000150.1	9	5786	6217	1	D																Bacterial regulatory protein, Fis family [PF02954.22]								0	False	
QGNH01000150.1_10	QGNH01000150.1	QGNH01000150.1	10	6258	7205	1	D			YP_007007126.1	YP_007007126.1 head morphogenesis [Bdellovibrio phage phi1422]	False	0.475	261.0	2.216e-76								Phage Mu protein F like protein [PF04233.17]								0	False	
QGNH01000150.1_11	QGNH01000150.1	QGNH01000150.1	11	7202	7366	1	E																								0	False	
QGNH01000150.1_12	QGNH01000150.1	QGNH01000150.1	12	7438	8622	1	E			YP_007007127.1	YP_007007127.1 hypothetical protein F395_gp48 [Bdellovibrio phage phi1422]	False	0.323	195.0	1.803e-52																0	False	
QGNH01000150.1_13	QGNH01000150.1	QGNH01000150.1	13	8673	9470	1	E			YP_007007128.1	YP_007007128.1 hypothetical protein F395_gp49 [Bdellovibrio phage phi1422]	False	0.289	61.0	4.499e-09																0	False	
QGNH01000150.1_14	QGNH01000150.1	QGNH01000150.1	14	9543	10682	1	D			YP_007007129.1	YP_007007129.1 major head protein [Bdellovibrio phage phi1422]	False	0.468	301.0	6.597e-89								Uncharacterized protein conserved in bacteria (DUF2184) [PF09950.12]					VOG02112	sp|A0A0U5AF03|CAPSD_BPK22 Major capsid protein; Xs	Xs	0	False	V
QGNH01000150.1_15	QGNH01000150.1	QGNH01000150.1	15	10749	11183	1	E			YP_007007130.1	YP_007007130.1 virion structural protein [Bdellovibrio phage phi1422]	False	0.438	113.0	2.469e-28																0	False	
QGNH01000150.1_16	QGNH01000150.1	QGNH01000150.1	16	11183	11656	1	E			YP_007007131.1	YP_007007131.1 hypothetical protein F395_gp52 [Bdellovibrio phage phi1422]	False	0.4	106.0	1.201e-25													VOG02678	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
QGNH01000150.1_17	QGNH01000150.1	QGNH01000150.1	17	11653	12039	1	E			YP_007007132.1	YP_007007132.1 head protein [Bdellovibrio phage phi1422]	False	0.57	137.0	7.424e-37																0	False	
QGNH01000150.1_18	QGNH01000150.1	QGNH01000150.1	18	12036	12779	1	E			YP_007007133.1	YP_007007133.1 hypothetical protein F395_gp54 [Bdellovibrio phage phi1422]	False	0.327	100.0	2.507e-22																0	False	
QGNH01000150.1_19	QGNH01000150.1	QGNH01000150.1	19	12792	14276	1	D			YP_007007134.1	YP_007007134.1 hypothetical protein F395_gp55 [Bdellovibrio phage phi1422]	False	0.357	289.0	2.358e-83								Protein of unknown function (DUF3383) [PF11863.11]					VOG03778	REFSEQ tail sheath; Xu	Xu	0	False	
QGNH01000150.1_20	QGNH01000150.1	QGNH01000150.1	20	14288	14752	1	E			YP_007007135.1	YP_007007135.1 hypothetical protein F395_gp56 [Bdellovibrio phage phi1422]	False	0.467	129.0	1.254e-33																0	False	
QGNH01000150.1_21	QGNH01000150.1	QGNH01000150.1	21	14766	15188	1	E			YP_007007136.1	YP_007007136.1 hypothetical protein F395_gp57 [Bdellovibrio phage phi1422]	False	0.357	72.0	3.418e-14																0	False	
QGNH01000150.1_22	QGNH01000150.1	QGNH01000150.1	22	15367	16494	1	E																								0	False	
QGNH01000150.1_23	QGNH01000150.1	QGNH01000150.1	23	16495	17271	1	E			YP_007007139.1	YP_007007139.1 hypothetical protein F395_gp60 [Bdellovibrio phage phi1422]	False	0.355	132.0	6.353999999999999e-33																0	False	
QGNH01000150.1_24	QGNH01000150.1	QGNH01000150.1	24	17271	17654	1	E			YP_007007140.1	YP_007007140.1 hypothetical protein F395_gp61 [Bdellovibrio phage phi1422]	False	0.387	78.0	3.544e-16																0	False	
QGNH01000150.1_25	QGNH01000150.1	QGNH01000150.1	25	17912	18514	1	E																					VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	
QGNH01000150.1_26	QGNH01000150.1	QGNH01000150.1	26	18511	19179	1	D			YP_007007142.1	YP_007007142.1 baseplate spike [Bdellovibrio phage phi1422]	False	0.373	132.0	1.388e-33								Phage protein Gp138 N-terminal domain [PF18352.4]					VOG00324	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xh;Xp;Xs	0	False	V
QGNH01000150.1_27	QGNH01000150.1	QGNH01000150.1	27	19176	19532	1	E			YP_007007143.1	YP_007007143.1 baseplate wedge subunit [Bdellovibrio phage phi1422]	False	0.47	94.0	5.919999999999999e-22																0	False	
QGNH01000150.1_28	QGNH01000150.1	QGNH01000150.1	28	19541	20944	1	D			YP_007007144.1	YP_007007144.1 baseplate wedge subunit [Bdellovibrio phage phi1422]	False	0.391	317.0	2.461e-93								Baseplate J-like protein [PF04865.17]					VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0	False	V
QGNH01000150.1_29	QGNH01000150.1	QGNH01000150.1	29	20941	21579	1	D			YP_007007145.1	YP_007007145.1 structural protein [Bdellovibrio phage phi1422]	False	0.458	150.0	1.005e-39								Protein of unknown function (DUF2612) [PF11041.11]								0	False	
QGNH01000150.1_30	QGNH01000150.1	QGNH01000150.1	30	21591	22985	1	E			YP_007007152.1	YP_007007152.1 tail fiber protein [Bdellovibrio phage phi1422]	False	0.368	79.0	4.447e-14																0	False	
QGNH01000150.1_31	QGNH01000150.1	QGNH01000150.1	31	23514	23774	-1	E																								0	False	
QGNH01000150.1_32	QGNH01000150.1	QGNH01000150.1	32	23827	24117	1	E																								0	False	
QGNH01000150.1_33	QGNH01000150.1	QGNH01000150.1	33	24129	26855	1	E																								0	False	
QGNH01000150.1_34	QGNH01000150.1	QGNH01000150.1	34	26852	28927	1	D																Sortilin, neurotensin receptor 3, [PF15902.8]; Photosynthesis system II assembly factor YCF48 [PF14870.9]; BNR repeat-like domain [PF13088.9]	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	3.2.1.150,3.2.1.151,3.2.1.4	GH74.hmm				0	False	
QGNH01000150.1_35	QGNH01000150.1	QGNH01000150.1	35	29004	29186	1	E																								0	False	
QGNH01000150.1_36	QGNH01000150.1	QGNH01000150.1	36	29190	29621	1	C	K17733	peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	YP_009819586.1	YP_009819586.1 endolysin [Vibrio phage VspSw_1]	False	0.433	109.0	1.04e-26	MER0121827	M15X	MER0121827 - family M15 unassigned peptidases (Chloroherpeton thalassium) [M15.UPW]#M15X#{peptidase unit: 3-128}~source ACF12746~	False	0.494	129.0	1.999e-33	D-alanyl-D-alanine carboxypeptidase [PF13539.9]								0	False	
QGNH01000150.1_37	QGNH01000150.1	QGNH01000150.1	37	29828	30616	1	E																								0	False	
QGNH01000150.1_38	QGNH01000150.1	QGNH01000150.1	38	30617	31360	1	D			YP_007354306.1	YP_007354306.1 peptidase [Acanthamoeba polyphaga moumouvirus]	False	0.381	174.0	1.8939999999999999e-47	MER0428172	C01A	MER0428172 - xylellain (Aureococcus anophagefferens) [C01.128]#C01A#{peptidase unit: 53-296}~source EGB06181~	False	0.483	217.0	4.989e-62	Papain family cysteine protease [PF00112.26]					VOG04780	REFSEQ hypothetical protein; Xu	Xu	0	False	P
QGNH01000150.1_39	QGNH01000150.1	QGNH01000150.1	39	31425	31718	1	E																								0	False	F
QGNH01000150.1_40	QGNH01000150.1	QGNH01000150.1	40	32298	32519	1	E																								0	False	F
QGNH01000150.1_41	QGNH01000150.1	QGNH01000150.1	41	32624	32866	1	E																								0	False	F
QGNH01000150.1_42	QGNH01000150.1	QGNH01000150.1	42	33283	33438	1	E																								0	False	F
QGNH01000150.1_43	QGNH01000150.1	QGNH01000150.1	43	33466	33639	1	E																					VOG05961	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000150.1_44	QGNH01000150.1	QGNH01000150.1	44	33665	33847	1	E																								0	False	F
QGNH01000150.1_45	QGNH01000150.1	QGNH01000150.1	45	33831	34010	1	E																								0	False	F
QGNH01000150.1_46	QGNH01000150.1	QGNH01000150.1	46	34094	34264	1	E																								0	False	F
QGNH01000150.1_47	QGNH01000150.1	QGNH01000150.1	47	34261	34455	1	E																								0	False	F
QGNH01000150.1_48	QGNH01000150.1	QGNH01000150.1	48	34733	35737	1	E																								0	False	F
