	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_054652_NC_054652_1	NC_054652	NC_054652	1	421	1176	1	D										Immunoglobulin domain [PF13895.9]					0
NC_054652_NC_054652_2	NC_054652	NC_054652	2	1198	1392	-1	E															0
NC_054652_NC_054652_3	NC_054652	NC_054652	3	1395	1547	-1	E															0
NC_054652_NC_054652_4	NC_054652	NC_054652	4	1566	1883	-1	E															0
NC_054652_NC_054652_5	NC_054652	NC_054652	5	1883	2035	-1	E															0
NC_054652_NC_054652_6	NC_054652	NC_054652	6	2038	2166	-1	E															0
NC_054652_NC_054652_7	NC_054652	NC_054652	7	2263	2970	1	D										Family of unknown function (DUF6246) [PF19759.2]					0
NC_054652_NC_054652_8	NC_054652	NC_054652	8	2970	6251	1	D										Tail length tape measure protein [PF06120.14]; Tape measure protein [PF20155.2]					0
NC_054652_NC_054652_9	NC_054652	NC_054652	9	6251	6721	1	E															0
NC_054652_NC_054652_10	NC_054652	NC_054652	10	6721	7191	1	E															0
NC_054652_NC_054652_11	NC_054652	NC_054652	11	7154	7612	1	D										NlpC/P60 family [PF00877.22]					0
NC_054652_NC_054652_12	NC_054652	NC_054652	12	7560	10040	1	E															0
NC_054652_NC_054652_13	NC_054652	NC_054652	13	10079	12532	1	D										GDSL-like Lipase/Acylhydrolase family [PF13472.9]					0
NC_054652_NC_054652_14	NC_054652	NC_054652	14	12678	13133	-1	E															0
NC_054652_NC_054652_15	NC_054652	NC_054652	15	13130	16036	-1	C	K19789	DNA repair protein RadD	MER0277042	N09	MER0277042 - family N9 unassigned peptide lyases (Pedosphaera parvula) [N09.UPW]#N09#{peptidase unit: 492-830}~source EEF63349~	False	267.0	4.52e-71	0.431	Hom_end-associated Hint [PF05203.19]; Homing endonuclease [PF05204.17]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]; DEAD/DEAH box helicase [PF00270.32]					0
NC_054652_NC_054652_16	NC_054652	NC_054652	16	16091	16612	-1	D										Protein of unknown function (DUF669) [PF05037.16]					0
NC_054652_NC_054652_17	NC_054652	NC_054652	17	16629	17108	-1	D										Siphovirus Gp157 [PF05565.14]					0
NC_054652_NC_054652_18	NC_054652	NC_054652	18	17077	17919	-1	D										AAA domain [PF13479.9]					0
NC_054652_NC_054652_19	NC_054652	NC_054652	19	18054	18296	1	C	K22302	transcriptional repressor of cell division inhibition gene dicB								Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT [PF15943.8]; DNA-binding transcriptional regulator Cro [PF14549.9]; Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]					0
NC_054652_NC_054652_20	NC_054652	NC_054652	20	18343	18738	-1	E															0
NC_054652_NC_054652_21	NC_054652	NC_054652	21	18735	21068	-1	D										Bifunctional DNA primase/polymerase, N-terminal [PF09250.14]; Primase C terminal 2 (PriCT-2) [PF08707.14]; Protein of unknown function (DUF3987) [PF13148.9]					0
NC_054652_NC_054652_22	NC_054652	NC_054652	22	21065	21466	-1	E															0
NC_054652_NC_054652_23	NC_054652	NC_054652	23	21478	21696	-1	E															0
NC_054652_NC_054652_24	NC_054652	NC_054652	24	22378	22524	1	E															0
NC_054652_NC_054652_25	NC_054652	NC_054652	25	22705	22890	1	E															0
NC_054652_NC_054652_26	NC_054652	NC_054652	26	22906	23184	1	E															0
NC_054652_NC_054652_27	NC_054652	NC_054652	27	23191	23592	1	E															0
NC_054652_NC_054652_28	NC_054652	NC_054652	28	23944	24105	1	E															0
NC_054652_NC_054652_29	NC_054652	NC_054652	29	24206	24622	1	E															0
NC_054652_NC_054652_30	NC_054652	NC_054652	30	24726	25238	1	D										HNH endonuclease [PF13392.9]					0
NC_054652_NC_054652_31	NC_054652	NC_054652	31	25231	26655	1	C	K06909	phage terminase large subunit								Phage terminase large subunit [PF04466.16]; Terminase RNAseH like domain [PF17288.5]					0
NC_054652_NC_054652_32	NC_054652	NC_054652	32	26676	26966	-1	E															0
NC_054652_NC_054652_33	NC_054652	NC_054652	33	27056	27295	1	E															0
NC_054652_NC_054652_34	NC_054652	NC_054652	34	27327	27815	1	E															0
NC_054652_NC_054652_35	NC_054652	NC_054652	35	27812	27925	1	E															0
NC_054652_NC_054652_36	NC_054652	NC_054652	36	27948	28130	1	E															0
NC_054652_NC_054652_37	NC_054652	NC_054652	37	28130	28327	1	E															0
NC_054652_NC_054652_38	NC_054652	NC_054652	38	28387	29781	1	C	K09961	uncharacterized protein								Protein of unknown function (DUF1073) [PF06381.14]					0
NC_054652_NC_054652_39	NC_054652	NC_054652	39	29759	30052	1	E															0
NC_054652_NC_054652_40	NC_054652	NC_054652	40	30185	30781	1	D										T5orf172 domain [PF10544.12]; Protein of unknown function (DUF723) [PF05265.16]; Meiotically up-regulated gene 113 [PF13455.9]					1
NC_054652_NC_054652_41	NC_054652	NC_054652	41	30778	31725	1	D										Phage Mu protein F like protein [PF04233.17]					0
NC_054652_NC_054652_42	NC_054652	NC_054652	42	31739	31933	-1	E															0
NC_054652_NC_054652_43	NC_054652	NC_054652	43	31935	32729	-1	E															0
NC_054652_NC_054652_44	NC_054652	NC_054652	44	32726	32857	-1	E															0
NC_054652_NC_054652_45	NC_054652	NC_054652	45	32857	33147	-1	E															0
NC_054652_NC_054652_46	NC_054652	NC_054652	46	33247	33681	1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_054652_NC_054652_47	NC_054652	NC_054652	47	33898	34392	1	D										Protein of unknown function (DUF2514) [PF10721.12]					0
NC_054652_NC_054652_48	NC_054652	NC_054652	48	34416	34631	-1	E															0
NC_054652_NC_054652_49	NC_054652	NC_054652	49	34628	34849	-1	E															0
NC_054652_NC_054652_50	NC_054652	NC_054652	50	34849	35319	-1	D										Domain of unknown function (DUF6378) [PF19905.2]					0
NC_054652_NC_054652_51	NC_054652	NC_054652	51	35319	35519	-1	E															0
NC_054652_NC_054652_52	NC_054652	NC_054652	52	35614	35829	1	E															0
NC_054652_NC_054652_53	NC_054652	NC_054652	53	35913	36104	1	E															0
NC_054652_NC_054652_54	NC_054652	NC_054652	54	36101	36328	1	E															0
NC_054652_NC_054652_55	NC_054652	NC_054652	55	36325	36561	1	E															0
NC_054652_NC_054652_56	NC_054652	NC_054652	56	36551	37021	1	E															0
NC_054652_NC_054652_57	NC_054652	NC_054652	57	37009	37284	1	E															0
NC_054652_NC_054652_58	NC_054652	NC_054652	58	37281	37625	1	E															0
NC_054652_NC_054652_59	NC_054652	NC_054652	59	37808	39211	1	D										Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]					0
NC_054652_NC_054652_60	NC_054652	NC_054652	60	39211	39684	1	E															0
NC_054652_NC_054652_61	NC_054652	NC_054652	61	39684	40757	1	D										Family of unknown function (DUF6260) [PF19774.2]					0
NC_054652_NC_054652_62	NC_054652	NC_054652	62	40799	40996	1	E															0
NC_054652_NC_054652_63	NC_054652	NC_054652	63	41083	41619	-1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, central domain [PF02767.19]					0
NC_054652_NC_054652_64	NC_054652	NC_054652	64	41619	41792	-1	E															0
NC_054652_NC_054652_65	NC_054652	NC_054652	65	41803	42261	-1	D										Recombination endonuclease VII [PF02945.18]					0
NC_054652_NC_054652_66	NC_054652	NC_054652	66	42245	43240	-1	D										C-5 cytosine-specific DNA methylase [PF00145.20]					0
NC_054652_NC_054652_67	NC_054652	NC_054652	67	43240	44055	-1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein								KorB domain [PF08535.13]; ParB/Sulfiredoxin domain [PF02195.21]					0
NC_054652_NC_054652_68	NC_054652	NC_054652	68	44063	44179	-1	E															0
NC_054652_NC_054652_69	NC_054652	NC_054652	69	44176	44466	-1	E															0
NC_054652_NC_054652_70	NC_054652	NC_054652	70	44697	44984	1	E															0
NC_054652_NC_054652_71	NC_054652	NC_054652	71	44962	45354	1	E															0
NC_054652_NC_054652_72	NC_054652	NC_054652	72	45351	45485	1	E															0
NC_054652_NC_054652_73	NC_054652	NC_054652	73	45473	45817	1	E															0
NC_054652_NC_054652_74	NC_054652	NC_054652	74	45821	46237	1	E															0
NC_054652_NC_054652_75	NC_054652	NC_054652	75	46234	46617	1	E															0
NC_054652_NC_054652_76	NC_054652	NC_054652	76	46641	46907	-1	E															0
