	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KF547926.1_1	GCA_021091095.1	KF547926.1	1	3	476	1	E											0	False	F
KF547926.1_2	GCA_021091095.1	KF547926.1	2	463	948	1	E											0	False	F
KF547926.1_3	GCA_021091095.1	KF547926.1	3	945	1217	1	E											0	False	F
KF547926.1_4	GCA_021091095.1	KF547926.1	4	1223	1543	1	E											0	False	F
KF547926.1_5	GCA_021091095.1	KF547926.1	5	1556	2548	1	D	YP_010771878.1	YP_010771878.1 hypothetical protein QIT32_gp38 [Sulfolobales Beppu rod-shaped virus 1]	False	0.388	207.0	2.091e-57	Domain of unknown function (DUF2341) [PF10102.12]	VOG36895	sp|Q8QL25|Y562_SIRV1 Uncharacterized protein 562; Xu	Xu	0	False	F
KF547926.1_6	GCA_021091095.1	KF547926.1	6	2548	2919	1	E											0	False	F
KF547926.1_7	GCA_021091095.1	KF547926.1	7	3045	3479	1	E											0	False	F
KF547926.1_8	GCA_021091095.1	KF547926.1	8	3608	4114	-1	E											0	False	F
KF547926.1_9	GCA_021091095.1	KF547926.1	9	4174	4545	1	E											0	False	F
KF547926.1_10	GCA_021091095.1	KF547926.1	10	4539	5207	1	E											0	False	F
KF547926.1_11	GCA_021091095.1	KF547926.1	11	5124	6857	-1	D	NP_445672.1	NP_445672.1 Holliday junction branch migration helicase [Sulfolobus islandicus filamentous virus]	False	0.341	329.0	1.202e-95	DEAD/DEAH box helicase [PF00270.32]; Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]	VOG02261	sp|Q4JC00|HELS_SULAC ATP-dependent DNA helicase Hel308; Xh	Xh	0	False	
KF547926.1_12	GCA_021091095.1	KF547926.1	12	6953	7561	1	E											0	False	
KF547926.1_13	GCA_021091095.1	KF547926.1	13	7540	8061	-1	E											0	False	
KF547926.1_14	GCA_021091095.1	KF547926.1	14	8067	8480	-1	E											0	False	
KF547926.1_15	GCA_021091095.1	KF547926.1	15	8470	9783	-1	E											0	False	
KF547926.1_16	GCA_021091095.1	KF547926.1	16	9770	10555	-1	E											0	False	
KF547926.1_17	GCA_021091095.1	KF547926.1	17	10865	11209	1	E											0	False	
KF547926.1_18	GCA_021091095.1	KF547926.1	18	11202	11849	1	E	YP_024997.1	YP_024997.1 hypothetical protein A197 [Sulfolobus turreted icosahedral virus 1]	False	0.278	74.0	9.107e-14		VOG34830	REFSEQ hypothetical protein; Xu	Xu	0	False	
KF547926.1_19	GCA_021091095.1	KF547926.1	19	11972	12127	1	E											0	False	
KF547926.1_20	GCA_021091095.1	KF547926.1	20	12114	12584	-1	E											0	False	
KF547926.1_21	GCA_021091095.1	KF547926.1	21	12663	13157	1	E											0	False	
KF547926.1_22	GCA_021091095.1	KF547926.1	22	13135	14124	1	E											0	False	
KF547926.1_23	GCA_021091095.1	KF547926.1	23	14128	14463	1	E											0	False	
KF547926.1_24	GCA_021091095.1	KF547926.1	24	14443	14748	-1	E											0	False	
KF547926.1_25	GCA_021091095.1	KF547926.1	25	14831	15736	1	E											0	False	
KF547926.1_26	GCA_021091095.1	KF547926.1	26	15738	16379	1	E											0	False	F
KF547926.1_27	GCA_021091095.1	KF547926.1	27	16376	16897	1	E											0	False	F
KF547926.1_28	GCA_021091095.1	KF547926.1	28	16930	17859	1	E											0	False	F
KF547926.1_29	GCA_021091095.1	KF547926.1	29	18202	18594	-1	E											0	False	F
KF547926.1_30	GCA_021091095.1	KF547926.1	30	19558	19977	-1	E											0	False	F
KF547926.1_31	GCA_021091095.1	KF547926.1	31	20094	20486	-1	E											0	False	F
KF547926.1_32	GCA_021091095.1	KF547926.1	32	20556	20732	-1	E											0	False	F
KF547926.1_33	GCA_021091095.1	KF547926.1	33	20820	21071	-1	E											0	False	F
