	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292027.1_1	KC292027	KC292027.1	1	653	1138	1	E			YP_008059044.1	YP_008059044.1 hypothetical protein M200_gp002 [Halovirus HCTV-5]	False	1.0	347.0	3.9450000000000003e-109						VOG26221	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_2	KC292027	KC292027.1	2	1148	1315	-1	E			YP_008059045.1	YP_008059045.1 hypothetical protein M200_gp003 [Halovirus HCTV-5]	False	1.0	123.0	1.443e-33									0	False	F
KC292027.1_3	KC292027	KC292027.1	3	1312	1518	-1	E			YP_008059046.1	YP_008059046.1 hypothetical protein M200_gp004 [Halovirus HCTV-5]	False	1.0	151.0	9.026e-43						VOG26454	sp|Q25BG0|Y035_HIS1I Uncharacterized protein ORF35; Xu	Xu	0	False	F
KC292027.1_4	KC292027	KC292027.1	4	1515	1805	-1	E			YP_008059047.1	YP_008059047.1 hypothetical protein M200_gp005 [Halovirus HCTV-5]	False	0.963	197.0	3.062e-58						VOG26223	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_5	KC292027	KC292027.1	5	1895	2467	-1	E			YP_008059048.1	YP_008059048.1 hypothetical protein M200_gp006 [Halovirus HCTV-5]	True	0.97	390.0	1.828e-123						VOG26455	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_6	KC292027	KC292027.1	6	2573	2800	1	E			YP_008059049.1	YP_008059049.1 hypothetical protein M200_gp007 [Halovirus HCTV-5]	False	1.0	176.0	2.052e-51									0	False	F
KC292027.1_7	KC292027	KC292027.1	7	2806	2979	-1	E			YP_008059050.1	YP_008059050.1 hypothetical protein M200_gp008 [Halovirus HCTV-5]	False	1.0	125.0	3.2799999999999998e-34									0	False	F
KC292027.1_8	KC292027	KC292027.1	8	3022	3282	-1	E			YP_008059051.1	YP_008059051.1 hypothetical protein M200_gp009 [Halovirus HCTV-5]	False	0.959	176.0	3.5549999999999995e-51						VOG26438	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_9	KC292027	KC292027.1	9	3279	3431	-1	E			YP_008059052.1	YP_008059052.1 hypothetical protein M200_gp010 [Halovirus HCTV-5]	False	1.0	114.0	1.634e-30						VOG01083	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_10	KC292027	KC292027.1	10	3424	3708	-1	E			YP_008059053.1	YP_008059053.1 hypothetical protein M200_gp011 [Halovirus HCTV-5]	False	0.965	193.0	4.776e-57						VOG26222	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_11	KC292027	KC292027.1	11	3734	3925	-1	E			YP_007378912.1	YP_007378912.1 hypothetical protein HVTV1_6 [Haloarcula vallismortis tailed virus 1]	False	1.0	147.0	1.21e-41						VOG26224	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_12	KC292027	KC292027.1	12	4056	4193	-1	E			YP_008059056.1	YP_008059056.1 hypothetical protein M200_gp014 [Halovirus HCTV-5]	False	1.0	109.0	1.066e-28						VOG14406	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_13	KC292027	KC292027.1	13	4508	4759	-1	E			YP_008059057.1	YP_008059057.1 hypothetical protein M200_gp015 [Halovirus HCTV-5]	False	0.978	173.0	2.044e-50						VOG14407	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_14	KC292027	KC292027.1	14	4756	4857	-1	E			YP_008059058.1	YP_008059058.1 hypothetical protein M200_gp016 [Halovirus HCTV-5]	False	1.0	84.0	1.9750000000000003e-20									0	False	F
KC292027.1_15	KC292027	KC292027.1	15	4854	5339	-1	E			YP_008059059.1	YP_008059059.1 hypothetical protein M200_gp017 [Halovirus HCTV-5]	False	0.984	336.0	1.981e-105						VOG04964	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_16	KC292027	KC292027.1	16	5339	5596	-1	E			YP_008059060.1	YP_008059060.1 hypothetical protein M200_gp018 [Halovirus HCTV-5]	False	0.999	182.0	2.9419999999999997e-53									0	False	
KC292027.1_17	KC292027	KC292027.1	17	5966	6292	1	E			YP_008059062.1	YP_008059062.1 hypothetical protein M200_gp020 [Halovirus HCTV-5]	False	1.0	233.0	1.297e-70						VOG14409	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_18	KC292027	KC292027.1	18	6294	6563	1	E			YP_008059063.1	YP_008059063.1 hypothetical protein M200_gp021 [Halovirus HCTV-5]	False	0.972	184.0	3.9199999999999997e-54						VOG14410	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_19	KC292027	KC292027.1	19	6642	7115	1	D			YP_008059064.1	YP_008059064.1 HNH endonuclease [Halovirus HCTV-5]	False	1.0	334.0	1.086e-104	HNH endonuclease [PF13392.9]					VOG01254	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI; Xh	Xh	0	False	
