index	L1	L2	L3	KO	Function	EC	Count
155	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	10
941	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	10
1755	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	10
17444	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K02031	ddpD; peptide/nickel transport system ATP-binding protein		10
46070	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02031	ddpD; peptide/nickel transport system ATP-binding protein		10
17445	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K02032	ddpF; peptide/nickel transport system ATP-binding protein		9
46071	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02032	ddpF; peptide/nickel transport system ATP-binding protein		9
9798	Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	7.2.2.7	4
45726	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	7.2.2.7	4
36525	Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
45939	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02056	ABC.SS.A; simple sugar transport system ATP-binding protein	7.5.2.-	44
43	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
120	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
858	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
1039	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
1088	Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
3321	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
3502	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
3640	Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
4115	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
49241	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
10097	Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K09817	znuC; zinc transport system ATP-binding protein	7.2.2.20	2
46120	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K09817	znuC; zinc transport system ATP-binding protein	7.2.2.20	2
46105	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein	7.2.2.-	2
10273	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	2.7.3.9	19
46687	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	2.7.3.9	19
2264	Metabolism	Lipid metabolism	Fatty acid biosynthesis [PATH:ko00061]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
2313	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
15440	Cellular Processes	Transport and catabolism	Peroxisome [PATH:ko04146]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
16447	Cellular Processes	Cell growth and death	Ferroptosis [PATH:ko04216]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
17372	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
20015	Organismal Systems	Endocrine system	Adipocytokine signaling pathway [PATH:ko04920]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
20079	Organismal Systems	Endocrine system	PPAR signaling pathway [PATH:ko03320]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
23745	Organismal Systems	Environmental adaptation	Thermogenesis [PATH:ko04714]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
36735	Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins [BR:ko01004]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
49026	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
2065	Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00360	nasB; assimilatory nitrate reductase electron transfer subunit	1.7.99.-	5
53554	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2)	1.3.1.34	1
347	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K01840	manB; phosphomannomutase	5.4.2.8	8
817	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K01840	manB; phosphomannomutase	5.4.2.8	8
4960	Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K01840	manB; phosphomannomutase	5.4.2.8	8
9805	Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K11072	potA; spermidine/putrescine transport system ATP-binding protein	7.6.2.11	5
45733	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K11072	potA; spermidine/putrescine transport system ATP-binding protein	7.6.2.11	5
1095	Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
1192	Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
2306	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
3507	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
4290	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
2307	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K00249	ACADM, acd; acyl-CoA dehydrogenase	1.3.8.7	5
3508	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00249	ACADM, acd; acyl-CoA dehydrogenase	1.3.8.7	5
20093	Organismal Systems	Endocrine system	PPAR signaling pathway [PATH:ko03320]	K00249	ACADM, acd; acyl-CoA dehydrogenase	1.3.8.7	5
3830	Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
4081	Metabolism	Amino acid metabolism	Phenylalanine metabolism [PATH:ko00360]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
4166	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
7536	Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation [PATH:ko00627]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
7846	Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation [PATH:ko00643]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
73	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
565	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
899	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
2344	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
2486	Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3542	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3713	Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3816	Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3923	Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
4134	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
4267	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
5367	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
6077	Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis [PATH:ko00981]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
6108	Metabolism	Metabolism of terpenoids and polyketides	Limonene and pinene degradation [PATH:ko00903]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
7638	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation [PATH:ko00625]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
429	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
10339	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
46710	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
10335	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K11183	fruB, fpr; multiphosphoryl transfer protein	2.7.1.202	9
46692	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K11183	fruB, fpr; multiphosphoryl transfer protein	2.7.1.202	9
34459	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
39282	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery [BR:ko03021]	K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
