NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	SUPERFAMILY	SSF53955	Lysozyme-like	2066	2239	6.47E-26	T	24-06-2023	IPR023346	Lysozyme-like domain superfamily
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	2299	2399	-	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	1352	1389	-	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	Gene3D	G3DSA:1.10.530.10	-	2054	2239	5.7E-30	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	2299	2362	-	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	2242	2274	-	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	1929	1960	-	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	2376	2399	-	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	1147	1169	-	T	24-06-2023	-	-
NC_016571_orf3871	4167b3979d63755e417faa0bd16e33f4	2433	MobiDBLite	mobidb-lite	consensus disorder prediction	1414	1441	-	T	24-06-2023	-	-
NC_016571_orf4699	5e3542af7e39eaa3d2c5e4a34f1490dd	1860	MobiDBLite	mobidb-lite	consensus disorder prediction	1846	1860	-	T	24-06-2023	-	-
NC_016571_orf4699	5e3542af7e39eaa3d2c5e4a34f1490dd	1860	MobiDBLite	mobidb-lite	consensus disorder prediction	768	789	-	T	24-06-2023	-	-
NC_016571_orf4699	5e3542af7e39eaa3d2c5e4a34f1490dd	1860	MobiDBLite	mobidb-lite	consensus disorder prediction	768	783	-	T	24-06-2023	-	-
NC_016571_orf4699	5e3542af7e39eaa3d2c5e4a34f1490dd	1860	MobiDBLite	mobidb-lite	consensus disorder prediction	1840	1860	-	T	24-06-2023	-	-
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	24-06-2023	-	-
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	Pfam	PF03382	Mycoplasma protein of unknown function, DUF285	1514	1632	2.8E-30	T	24-06-2023	IPR005046	Protein of unknown function DUF285
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	Pfam	PF03382	Mycoplasma protein of unknown function, DUF285	1182	1296	1.3E-35	T	24-06-2023	IPR005046	Protein of unknown function DUF285
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	Pfam	PF03382	Mycoplasma protein of unknown function, DUF285	1333	1430	9.2E-20	T	24-06-2023	IPR005046	Protein of unknown function DUF285
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	TIGRFAM	TIGR02167	Liste_lipo_26: bacterial surface protein 26-residue repeat	1678	1691	6.6E-4	T	24-06-2023	IPR011889	Bacterial surface protein 26-residue repeat
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	TIGRFAM	TIGR02167	Liste_lipo_26: bacterial surface protein 26-residue repeat	1363	1385	4.6E-4	T	24-06-2023	IPR011889	Bacterial surface protein 26-residue repeat
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	TIGRFAM	TIGR02167	Liste_lipo_26: bacterial surface protein 26-residue repeat	1693	1714	5.2E-4	T	24-06-2023	IPR011889	Bacterial surface protein 26-residue repeat
NC_016571_orf1673	6c39da55e2a0046a31221944da79bbf2	1733	TIGRFAM	TIGR02167	Liste_lipo_26: bacterial surface protein 26-residue repeat	1214	1236	4.6E-4	T	24-06-2023	IPR011889	Bacterial surface protein 26-residue repeat
NC_016571_orf3170	24f8636f393479cc31d21d0a76e50616	1454	MobiDBLite	mobidb-lite	consensus disorder prediction	373	387	-	T	24-06-2023	-	-
NC_016571_orf3170	24f8636f393479cc31d21d0a76e50616	1454	MobiDBLite	mobidb-lite	consensus disorder prediction	325	411	-	T	24-06-2023	-	-
NC_016571_orf3170	24f8636f393479cc31d21d0a76e50616	1454	MobiDBLite	mobidb-lite	consensus disorder prediction	331	348	-	T	24-06-2023	-	-
