	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001300.1_1	QGNH01001300.1	QGNH01001300.1	1	3	266	-1	D																tRNA synthetases class II (A) [PF01411.22]								0	False	F
QGNH01001300.1_2	QGNH01001300.1	QGNH01001300.1	2	508	1296	1	D																PAP2 superfamily [PF14378.9]								0	False	F
QGNH01001300.1_3	QGNH01001300.1	QGNH01001300.1	3	1338	2906	-1	E																								0	False	F
QGNH01001300.1_4	QGNH01001300.1	QGNH01001300.1	4	2919	3272	-1	E																								0	False	F
QGNH01001300.1_5	QGNH01001300.1	QGNH01001300.1	5	3281	6400	-1	E			YP_009594176.1	YP_009594176.1 tail protein [Escherichia phage JMPW2]	False	0.291	64.0	8.55e-09																0	False	F
QGNH01001300.1_6	QGNH01001300.1	QGNH01001300.1	6	6400	7497	-1	E																								0	False	
QGNH01001300.1_7	QGNH01001300.1	QGNH01001300.1	7	7494	8348	-1	E																								0	False	
QGNH01001300.1_8	QGNH01001300.1	QGNH01001300.1	8	8341	11673	-1	E																								0	False	
QGNH01001300.1_9	QGNH01001300.1	QGNH01001300.1	9	11677	12084	-1	E																								0	False	
QGNH01001300.1_10	QGNH01001300.1	QGNH01001300.1	10	12081	12812	-1	E																								0	False	
QGNH01001300.1_11	QGNH01001300.1	QGNH01001300.1	11	12953	13972	-1	E																								0	False	
QGNH01001300.1_12	QGNH01001300.1	QGNH01001300.1	12	13974	14249	-1	E																								0	False	
QGNH01001300.1_13	QGNH01001300.1	QGNH01001300.1	13	14259	14744	-1	E																								0	False	
QGNH01001300.1_14	QGNH01001300.1	QGNH01001300.1	14	14741	15391	-1	D																Phage virion morphogenesis family [PF05069.16]					VOG00556	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0	False	
QGNH01001300.1_15	QGNH01001300.1	QGNH01001300.1	15	15391	15858	-1	D																Bacteriophage Mu, Gp36 [PF07030.15]					VOG01664	sp|Q9T1V9|GPJ_BPMU Gene product J; Xh	Xh	0	False	
QGNH01001300.1_16	QGNH01001300.1	QGNH01001300.1	16	15859	16038	-1	E																								0	False	
QGNH01001300.1_17	QGNH01001300.1	QGNH01001300.1	17	16133	17182	-1	E			YP_008129844.1	YP_008129844.1 major head protein [Rhizobium phage RR1-B]	False	0.265	91.0	3.768e-18													VOG10432	sp|Q6QIB5|CAPSD_BPBMU Major capsid protein; XhXs	Xs;Xh	0	False	V
QGNH01001300.1_18	QGNH01001300.1	QGNH01001300.1	18	17253	17654	-1	E																								0	False	
QGNH01001300.1_19	QGNH01001300.1	QGNH01001300.1	19	17767	19128	-1	D			YP_024705.1	YP_024705.1 head maturation protease [Burkholderia phage BcepMu]	False	0.445	121.0	1.759e-27								Mu-like prophage I protein [PF10123.12]					VOG01958	sp|Q01267|PRO_BPMU Protease I; XhXs	Xs;Xh	0	False	V
QGNH01001300.1_20	QGNH01001300.1	QGNH01001300.1	20	19239	20069	-1	D			YP_009797326.1	YP_009797326.1 minor head protein and DNA pilot [Faecalibacterium phage FP_Mushu]	False	0.385	115.0	6.361e-27								Phage Mu protein F like protein [PF04233.17]					VOG10177	sp|P44226|VPF_HAEIN Mu-like prophage FluMu F protein; Xu	Xu	0	False	
