	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCA_017451685.1_JAFTNV010000001.1_1	GCA_017451685.1	JAFTNV010000001.1	1	1	162	1	E															0
GCA_017451685.1_JAFTNV010000001.1_2	GCA_017451685.1	JAFTNV010000001.1	2	226	669	-1	E															0
GCA_017451685.1_JAFTNV010000001.1_3	GCA_017451685.1	JAFTNV010000001.1	3	872	1822	1	C	K15789	threonine 3-dehydrogenase [EC:1.1.1.103]								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; Polysaccharide biosynthesis protein [PF02719.18]					0
GCA_017451685.1_JAFTNV010000001.1_4	GCA_017451685.1	JAFTNV010000001.1	4	2394	4793	1	D										BspA type Leucine rich repeat region (6 copies) [PF13306.9]					0
GCA_017451685.1_JAFTNV010000001.1_5	GCA_017451685.1	JAFTNV010000001.1	5	5308	5472	1	E															0
GCA_017451685.1_JAFTNV010000001.1_6	GCA_017451685.1	JAFTNV010000001.1	6	5823	6566	-1	C	K00240	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]								2Fe-2S iron-sulfur cluster binding domain [PF13085.9]; 4Fe-4S dicluster domain [PF13183.9]					0
GCA_017451685.1_JAFTNV010000001.1_7	GCA_017451685.1	JAFTNV010000001.1	7	6599	8545	-1	C	K00239	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]								FAD binding domain [PF00890.27]; Fumarate reductase flavoprotein C-term [PF02910.23]					0
GCA_017451685.1_JAFTNV010000001.1_8	GCA_017451685.1	JAFTNV010000001.1	8	8580	9305	-1	C	K00241	succinate dehydrogenase cytochrome b subunit													0
GCA_017451685.1_JAFTNV010000001.1_9	GCA_017451685.1	JAFTNV010000001.1	9	9507	10076	1	C	K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]								5-formyltetrahydrofolate cyclo-ligase family [PF01812.23]					0
GCA_017451685.1_JAFTNV010000001.1_10	GCA_017451685.1	JAFTNV010000001.1	10	10073	11068	-1	C	K03473	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]								D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain [PF00389.33]; S-adenosyl-L-homocysteine hydrolase, NAD binding domain [PF00670.24]					0
