	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
OP880254.1_1	GCA_029887335.1	OP880254.1	1	717	1565	1	E													0	False	F
OP880254.1_2	GCA_029887335.1	OP880254.1	2	1597	1848	1	E													0	False	F
OP880254.1_3	GCA_029887335.1	OP880254.1	3	1878	2528	-1	C	K14060	putative DNA-invertase from lambdoid prophage Rac	YP_010772758.1	YP_010772758.1 MAG: hypothetical protein QIT52_gp01 [unclassified virus PBV082]	False	0.736	320.0	1.074e-98	Resolvase, N terminal domain [PF00239.24]				0	False	F
OP880254.1_4	GCA_029887335.1	OP880254.1	4	2796	3116	-1	E			YP_010772760.1	YP_010772760.1 MAG: hypothetical protein QIT52_gp03 [unclassified virus PBV082]	False	0.869	194.0	6.257000000000002e-57					0	False	F
OP880254.1_5	GCA_029887335.1	OP880254.1	5	3144	3581	-1	E			YP_010772764.1	YP_010772764.1 MAG: hypothetical protein QIT52_gp07 [unclassified virus PBV082]	False	0.838	222.0	5.284e-66					0	False	F
OP880254.1_6	GCA_029887335.1	OP880254.1	6	3544	3714	-1	E			YP_010772765.1	YP_010772765.1 MAG: hypothetical protein QIT52_gp08 [unclassified virus PBV082]	False	0.851	101.0	7.839e-26					0	False	F
OP880254.1_7	GCA_029887335.1	OP880254.1	7	3728	4060	-1	E			YP_010772767.1	YP_010772767.1 MAG: hypothetical protein QIT52_gp10 [unclassified virus PBV082]	False	0.841	194.0	7.591e-57					0	False	F
OP880254.1_8	GCA_029887335.1	OP880254.1	8	4066	4185	-1	E													0	False	F
OP880254.1_9	GCA_029887335.1	OP880254.1	9	4192	4377	-1	E													0	False	F
OP880254.1_10	GCA_029887335.1	OP880254.1	10	4469	4684	-1	E			YP_010772769.1	YP_010772769.1 MAG: hypothetical protein QIT52_gp12 [unclassified virus PBV082]	False	0.783	116.0	9.759e-31					0	False	F
OP880254.1_11	GCA_029887335.1	OP880254.1	11	4651	4893	-1	E													0	False	F
OP880254.1_12	GCA_029887335.1	OP880254.1	12	4890	5126	-1	E			YP_010772770.1	YP_010772770.1 MAG: hypothetical protein QIT52_gp13 [unclassified virus PBV082]	False	0.778	122.0	1.633e-32					0	False	F
OP880254.1_13	GCA_029887335.1	OP880254.1	13	5123	5338	-1	E													0	False	
OP880254.1_14	GCA_029887335.1	OP880254.1	14	5335	5931	-1	E			YP_010772771.1	YP_010772771.1 MAG: hypothetical protein QIT52_gp14 [unclassified virus PBV082]	True	0.862	356.0	2.212e-111					0	False	
OP880254.1_15	GCA_029887335.1	OP880254.1	15	5928	7211	-1	E			YP_010772772.1	YP_010772772.1 MAG: hypothetical protein QIT52_gp15 [unclassified virus PBV082]	False	0.402	295.0	3.079e-86					0	False	
OP880254.1_16	GCA_029887335.1	OP880254.1	16	7216	7863	-1	E			YP_010772773.1	YP_010772773.1 MAG: hypothetical protein QIT52_gp16 [unclassified virus PBV082]	False	0.74	254.0	1.007e-75					0	False	
