	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MH674343.1_1	MH674343	MH674343.1	1	519	893	-1	E			YP_010355844.1	YP_010355844.1 hypothetical protein M1M16_gp01 [Methanobacterium virus Drs3]	False	0.928	243	7.648e-74												0	False	F
MH674343.1_2	MH674343	MH674343.1	2	904	1476	-1	E			YP_010355845.1	YP_010355845.1 hypothetical protein M1M16_gp02 [Methanobacterium virus Drs3]	True	0.992	400	6.864e-127												0	False	F
MH674343.1_3	MH674343	MH674343.1	3	1477	1788	-1	D			YP_010355846.1	YP_010355846.1 putative CRISPR-associated protein [Methanobacterium virus Drs3]	False	0.946	207	1.163e-61								Putative CRISPR-associated protein (Cas_VVA1548) [PF09652.13]				0	False	F
MH674343.1_4	MH674343	MH674343.1	4	2479	2679	-1	E			YP_010355847.1	YP_010355847.1 hypothetical protein M1M16_gp04 [Methanobacterium virus Drs3]	False	0.957	135	1.885e-37												0	False	F
MH674343.1_5	MH674343	MH674343.1	5	2962	3105	1	E			YP_010355848.1	YP_010355848.1 hypothetical protein M1M16_gp05 [Methanobacterium virus Drs3]	False	1.0	110	3.33e-29												0	False	F
MH674343.1_6	MH674343	MH674343.1	6	3107	3277	1	E			YP_010355849.1	YP_010355849.1 hypothetical protein M1M16_gp06 [Methanobacterium virus Drs3]	False	0.896	107	6.7220000000000005e-28												0	False	F
MH674343.1_7	MH674343	MH674343.1	7	3274	3435	1	E			YP_010355850.1	YP_010355850.1 hypothetical protein M1M16_gp07 [Methanobacterium virus Drs3]	False	0.938	107	7.909e-28												0	False	F
MH674343.1_8	MH674343	MH674343.1	8	3582	4244	1	E			YP_010355851.1	YP_010355851.1 hypothetical protein M1M16_gp08 [Methanobacterium virus Drs3]	True	0.926	429	2.85e-136												0	False	F
MH674343.1_9	MH674343	MH674343.1	9	4369	4845	1	E			YP_010355852.1	YP_010355852.1 hypothetical protein M1M16_gp09 [Methanobacterium virus Drs3]	False	0.986	331	1.4229999999999998e-103												0	False	F
MH674343.1_10	MH674343	MH674343.1	10	4847	5524	1	D			YP_010355853.1	YP_010355853.1 Erf-like ssDNA annealing protein [Methanobacterium virus Drs3]	True	0.933	442	7.957e-141								ERF superfamily [PF04404.15]	VOG08218	sp|P04892|ERF_BPP22 Essential recombination function protein; Xh	Xh	0	False	F
MH674343.1_11	MH674343	MH674343.1	11	5670	7715	1	D			YP_010355854.1	YP_010355854.1 hypothetical protein M1M16_gp11 [Methanobacterium virus Drs3]	True	0.967	1388	0.0								Family of unknown function (DUF5906) [PF19263.2]				0	False	
MH674343.1_12	MH674343	MH674343.1	12	7974	9107	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	YP_010355855.1	YP_010355855.1 DNA methyltransferase [Methanobacterium virus Drs3]	True	0.995	794	7.897e-260								C-5 cytosine-specific DNA methylase [PF00145.20]	VOG00281	sp|P34877|MTSA_LACLC Type II methyltransferase M1.ScrFI; XhXp	Xh;Xp	0	False	M
MH674343.1_13	MH674343	MH674343.1	13	9108	9764	1	D			YP_010355856.1	YP_010355856.1 ERCC4 domain protein [Methanobacterium virus Drs3]	True	0.977	451	5.543e-144								ERCC4 domain [PF02732.18]; Helix-hairpin-helix domain [PF14520.9]; Helix-hairpin-helix motif [PF12826.10]	VOG01108	sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R; XhXp	Xh;Xp	0	False	
MH674343.1_14	MH674343	MH674343.1	14	9770	9973	1	E			YP_010355857.1	YP_010355857.1 hypothetical protein M1M16_gp14 [Methanobacterium virus Drs3]	False	1.0	153	1.762e-43												0	False	
MH674343.1_15	MH674343	MH674343.1	15	9970	10950	1	C	K00590	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	YP_010355858.1	YP_010355858.1 DNA methyltransferase [Methanobacterium virus Drs3]	True	0.997	689	2.505e-224								DNA methylase [PF01555.21]	VOG00306	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I; XhXp	Xh;Xp	0	False	
MH674343.1_16	MH674343	MH674343.1	16	11088	11219	1	E			YP_010355859.1	YP_010355859.1 hypothetical protein M1M16_gp16 [Methanobacterium virus Drs3]	False	1.0	94	1.205e-23												0	False	
MH674343.1_17	MH674343	MH674343.1	17	11667	12233	1	E			YP_010355860.1	YP_010355860.1 hypothetical protein M1M16_gp17 [Methanobacterium virus Drs3]	True	0.985	393	1.825e-124												0	False	
MH674343.1_18	MH674343	MH674343.1	18	12415	12879	1	E			YP_010355861.1	YP_010355861.1 hypothetical protein M1M16_gp18 [Methanobacterium virus Drs3]	False	1.0	328	1.467e-102												0	False	
MH674343.1_19	MH674343	MH674343.1	19	13187	13456	1	E			YP_010355862.1	YP_010355862.1 hypothetical protein M1M16_gp19 [Methanobacterium virus Drs3]	False	0.915	173	5.179e-50												0	False	
MH674343.1_20	MH674343	MH674343.1	20	13779	14330	1	E			YP_010355863.1	YP_010355863.1 hypothetical protein M1M16_gp20 [Methanobacterium virus Drs3]	True	0.932	359	6.374e-113												0	False	
MH674343.1_21	MH674343	MH674343.1	21	14415	15875	1	D			YP_010355864.1	YP_010355864.1 terminase large subunit [Methanobacterium virus Drs3]	True	0.968	992	0.0								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	V
MH674343.1_22	MH674343	MH674343.1	22	15872	17485	1	D			YP_010355865.1	YP_010355865.1 portal protein [Methanobacterium virus Drs3]	True	0.982	1114	0.0								Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xr;Xh;Xs;Xp	0	False	V
MH674343.1_23	MH674343	MH674343.1	23	17451	18269	1	D			YP_010355866.1	YP_010355866.1 head morphogenesis [Methanobacterium virus Drs3]	True	0.964	554	1.293e-178								Phage Mu protein F like protein [PF04233.17]	VOG00318	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB; Xu	Xu	0	False	
MH674343.1_24	MH674343	MH674343.1	24	18354	19373	1	D			YP_010355867.1	YP_010355867.1 putative serine protease [Methanobacterium virus Drs3]	True	0.916	651	6.341e-211								Putative phage serine protease XkdF [PF14550.9]	VOG03893	sp|P45920|YQBD_BACSU Uncharacterized protein YqbD; Xu	Xu	0	False	
