	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000575.1_1	QGNH01000575.1	QGNH01000575.1	1	1	1962	-1	D			YP_009199082.1	YP_009199082.1 putative terminase large subunit [Brevibacillus phage Jenst]	False	0.273	210.0	5.184e-55	MER0194189	N10	MER0194189 - family N10 unassigned peptide lyases (Synechocystis sp. PCC6803) [N10.UPW]#N10#{peptidase unit: 437-618, 822-872}~source BAA17720~	False	97.0	4.58e-19	0.499	Intein splicing domain [PF14890.9]					VOG01311	REFSEQ terminase; Xu	Xu	0	False	F
QGNH01000575.1_2	QGNH01000575.1	QGNH01000575.1	2	1955	2677	-1	E			YP_007674388.1	YP_007674388.1 endonuclease [Synechococcus phage S-SKS1]	False	0.334	98.0	1.783e-21													VOG00117	REFSEQ HNH endonuclease; Xu	Xu	0	False	F
QGNH01000575.1_3	QGNH01000575.1	QGNH01000575.1	3	2667	3392	-1	E																								0	False	F
QGNH01000575.1_4	QGNH01000575.1	QGNH01000575.1	4	3402	4280	-1	E																								0	False	F
QGNH01000575.1_5	QGNH01000575.1	QGNH01000575.1	5	4298	5053	-1	E																								0	False	F
QGNH01000575.1_6	QGNH01000575.1	QGNH01000575.1	6	5053	5415	-1	E																								0	False	
QGNH01000575.1_7	QGNH01000575.1	QGNH01000575.1	7	5429	6061	-1	E																								0	False	
QGNH01000575.1_8	QGNH01000575.1	QGNH01000575.1	8	6070	6591	-1	E																								0	False	
QGNH01000575.1_9	QGNH01000575.1	QGNH01000575.1	9	6591	7352	-1	E			YP_009361592.1	YP_009361592.1 endonuclease VII [Pacmanvirus A23]	False	0.316	107.0	2.153e-24													VOG00049	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	
QGNH01000575.1_10	QGNH01000575.1	QGNH01000575.1	10	7354	7494	-1	E																								0	False	
QGNH01000575.1_11	QGNH01000575.1	QGNH01000575.1	11	7503	7724	-1	E																								0	False	
QGNH01000575.1_12	QGNH01000575.1	QGNH01000575.1	12	7708	7893	-1	E																								0	False	
QGNH01000575.1_13	QGNH01000575.1	QGNH01000575.1	13	7893	8537	-1	E			NP_852489.1	NP_852489.1 Chromosome segregation ATPases [Bacillus phage phBC6A51]	False	0.254	66.0	3.908e-11													VOG22577	REFSEQ ATPase; Xu	Xu	0	False	
QGNH01000575.1_14	QGNH01000575.1	QGNH01000575.1	14	8491	8634	-1	E																								0	False	
QGNH01000575.1_15	QGNH01000575.1	QGNH01000575.1	15	8634	8888	-1	E																								0	False	
QGNH01000575.1_16	QGNH01000575.1	QGNH01000575.1	16	8891	9118	-1	E																								0	False	
QGNH01000575.1_17	QGNH01000575.1	QGNH01000575.1	17	9118	9918	-1	D																PD-(D/E)XK nuclease superfamily [PF12705.10]; Domain of unknown function DUF83 [PF01930.20]					VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	
QGNH01000575.1_18	QGNH01000575.1	QGNH01000575.1	18	9918	10028	-1	E																								0	False	
QGNH01000575.1_19	QGNH01000575.1	QGNH01000575.1	19	10025	10981	-1	E			NP_852491.1	NP_852491.1 Exonuclease SbcD [Bacillus phage phBC6A51]	False	0.249	109.0	2.338e-24													VOG00413	sp|P04521|EXO1_BPT4 Exonuclease subunit 1; Xp	Xp	0	False	
QGNH01000575.1_20	QGNH01000575.1	QGNH01000575.1	20	10938	11111	-1	E																								0	False	
