	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001130.1_1	QGNH01001130.1	QGNH01001130.1	1	2	178	1	E																								0	False	F
QGNH01001130.1_2	QGNH01001130.1	QGNH01001130.1	2	333	518	1	E																								0	False	F
QGNH01001130.1_3	QGNH01001130.1	QGNH01001130.1	3	527	655	1	E																								0	False	F
QGNH01001130.1_4	QGNH01001130.1	QGNH01001130.1	4	657	1388	1	E																								0	False	F
QGNH01001130.1_5	QGNH01001130.1	QGNH01001130.1	5	1408	1809	1	E																								0	False	F
QGNH01001130.1_6	QGNH01001130.1	QGNH01001130.1	6	1806	2198	1	D			YP_010112642.1	YP_010112642.1 homing endonuclease [uncultured phage cr6_1]	False	0.438	60.0	4.008e-10								GIY-YIG catalytic domain [PF01541.27]								0	False	F
QGNH01001130.1_7	QGNH01001130.1	QGNH01001130.1	7	2185	2940	1	E																								0	False	F
QGNH01001130.1_8	QGNH01001130.1	QGNH01001130.1	8	3379	3720	1	E																								0	False	F
QGNH01001130.1_9	QGNH01001130.1	QGNH01001130.1	9	3717	4016	1	E																								0	False	F
QGNH01001130.1_10	QGNH01001130.1	QGNH01001130.1	10	4028	5341	1	E																								0	False	F
QGNH01001130.1_11	QGNH01001130.1	QGNH01001130.1	11	5356	5745	1	D																PD-(D/E)XK endonuclease [PF11645.11]					VOG00255	sp|P03798|Y53_BPT7 Protein 5.3; Xu	Xu	0	False	
QGNH01001130.1_12	QGNH01001130.1	QGNH01001130.1	12	5742	5867	1	E																								0	False	
QGNH01001130.1_13	QGNH01001130.1	QGNH01001130.1	13	5946	6467	1	D																NUDIX domain [PF00293.31]								0	False	
QGNH01001130.1_14	QGNH01001130.1	QGNH01001130.1	14	6597	6761	1	E																								0	False	
QGNH01001130.1_15	QGNH01001130.1	QGNH01001130.1	15	6763	7308	1	E																								0	False	
QGNH01001130.1_16	QGNH01001130.1	QGNH01001130.1	16	7327	7545	1	E																								0	False	
QGNH01001130.1_17	QGNH01001130.1	QGNH01001130.1	17	7557	8744	1	D			YP_009811308.1	YP_009811308.1 clamp loader of DNA polymerase [Dickeya phage vB_DsoM_JA29]	False	0.264	98.0	3.528e-20								DNA polymerase III, delta subunit [PF13177.9]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]					VOG00282	sp|O64301|LOADL_BPR69 Sliding-clamp-loader large subunit; XhXr	Xr;Xh	0	False	V
QGNH01001130.1_18	QGNH01001130.1	QGNH01001130.1	18	8783	9643	1	E																								0	False	
QGNH01001130.1_19	QGNH01001130.1	QGNH01001130.1	19	9654	9962	1	E																								0	False	
