	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
NC_008007.1_1	NC_008007.1	NC_008007.1	1	402	623	-1	E											0	False	F
NC_008007.1_2	NC_008007.1	NC_008007.1	2	1041	1319	-1	E											0	False	F
NC_008007.1_3	NC_008007.1	NC_008007.1	3	1488	1595	1	E											0	False	F
NC_008007.1_4	NC_008007.1	NC_008007.1	4	2395	3015	-1	D	YP_001031316.1	YP_001031316.1 repeat element protein-d4.2 [Ichnoviriform fugitivi]	False	0.67	275.0	2.756e-83	Protein of unknown function (DUF3587) [PF12132.11]				0	False	F
NC_008007.1_5	NC_008007.1	NC_008007.1	5	3056	3181	-1	E											0	False	F
NC_008007.1_6	NC_008007.1	NC_008007.1	6	4189	4443	1	E											0	False	F
NC_008007.1_7	NC_008007.1	NC_008007.1	7	4831	5382	1	E	YP_589078.1	YP_589078.1 cysteine-rich protein [Ichnoviriform sonorense]	False	0.966	283.0	2.4190000000000002e-86					0	False	F
NC_008007.1_8	NC_008007.1	NC_008007.1	8	7295	7420	1	E											0	False	
NC_008007.1_9	NC_008007.1	NC_008007.1	9	7417	7803	1	E											0	False	
NC_008007.1_10	NC_008007.1	NC_008007.1	10	8487	8726	1	D	YP_589079.1	YP_589079.1 cysteine-rich protein [Ichnoviriform sonorense]	False	0.719	84.0	2.836e-19	Viral cysteine rich [PF08008.15]				0	False	
NC_008007.1_11	NC_008007.1	NC_008007.1	11	9747	10046	1	E											0	False	
NC_008007.1_12	NC_008007.1	NC_008007.1	12	10072	10467	-1	D	YP_001031315.1	YP_001031315.1 repeat element protein-d4.1 [Ichnoviriform fugitivi]	False	0.569	125.0	1.513e-32	Protein of unknown function (DUF3587) [PF12132.11]				0	False	
NC_008007.1_13	NC_008007.1	NC_008007.1	13	10611	10844	1	E											0	False	F
NC_008007.1_14	NC_008007.1	NC_008007.1	14	12120	12512	1	E	YP_589079.1	YP_589079.1 cysteine-rich protein [Ichnoviriform sonorense]	False	0.99	253.0	3.801e-77					0	False	F
NC_008007.1_15	NC_008007.1	NC_008007.1	15	12925	13122	1	D	YP_589079.1	YP_589079.1 cysteine-rich protein [Ichnoviriform sonorense]	False	0.983	137.0	3.677e-38	Viral cysteine rich [PF08008.15]				0	False	F
NC_008007.1_16	NC_008007.1	NC_008007.1	16	14471	15184	-1	D	YP_001031263.1	YP_001031263.1 repeat element protein-b15.1 [Ichnoviriform fugitivi]	False	0.55	250.0	6.062e-74	Protein of unknown function (DUF3587) [PF12132.11]				0	False	F
