	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_009603.1_NC_009603.1_1	NC_009603.1	NC_009603.1	1	1	771	-1	D										Phage integrase family [PF00589.25]	0
NC_009603.1_NC_009603.1_2	NC_009603.1	NC_009603.1	2	1066	1359	-1	D										Protein of unknown function (DUF739) [PF05339.14]; BetR domain [PF08667.13]	0
NC_009603.1_NC_009603.1_3	NC_009603.1	NC_009603.1	3	1542	1820	1	D										Protein of unknown function (DUF739) [PF05339.14]	0
NC_009603.1_NC_009603.1_4	NC_009603.1	NC_009603.1	4	1937	2098	-1	E											0
NC_009603.1_NC_009603.1_5	NC_009603.1	NC_009603.1	5	2279	2986	1	E											0
NC_009603.1_NC_009603.1_6	NC_009603.1	NC_009603.1	6	2983	3147	1	E											0
NC_009603.1_NC_009603.1_7	NC_009603.1	NC_009603.1	7	3210	3497	-1	E											0
NC_009603.1_NC_009603.1_8	NC_009603.1	NC_009603.1	8	3576	3737	1	E											0
NC_009603.1_NC_009603.1_9	NC_009603.1	NC_009603.1	9	3734	4495	1	C	K07741	anti-repressor protein								BRO family, N-terminal domain [PF02498.20]; Phage antirepressor protein KilAC domain [PF03374.17]	0
NC_009603.1_NC_009603.1_10	NC_009603.1	NC_009603.1	10	4564	4818	1	E											0
NC_009603.1_NC_009603.1_11	NC_009603.1	NC_009603.1	11	4815	5102	1	E											0
NC_009603.1_NC_009603.1_12	NC_009603.1	NC_009603.1	12	5102	5482	1	E											0
NC_009603.1_NC_009603.1_13	NC_009603.1	NC_009603.1	13	5906	6460	1	E											0
NC_009603.1_NC_009603.1_14	NC_009603.1	NC_009603.1	14	6457	7119	1	E											0
NC_009603.1_NC_009603.1_15	NC_009603.1	NC_009603.1	15	7119	7580	1	E											0
NC_009603.1_NC_009603.1_16	NC_009603.1	NC_009603.1	16	7577	8530	1	D										C-5 cytosine-specific DNA methylase [PF00145.20]	0
NC_009603.1_NC_009603.1_17	NC_009603.1	NC_009603.1	17	9178	9393	1	E											0
NC_009603.1_NC_009603.1_18	NC_009603.1	NC_009603.1	18	9390	9608	1	E											0
NC_009603.1_NC_009603.1_19	NC_009603.1	NC_009603.1	19	10003	10623	1	E											0
NC_009603.1_NC_009603.1_20	NC_009603.1	NC_009603.1	20	10747	10965	1	E											0
NC_009603.1_NC_009603.1_21	NC_009603.1	NC_009603.1	21	11006	11470	1	C	K03111	single-strand DNA-binding protein								Single-strand binding protein family [PF00436.28]	0
NC_009603.1_NC_009603.1_22	NC_009603.1	NC_009603.1	22	11572	12522	1	E											0
NC_009603.1_NC_009603.1_23	NC_009603.1	NC_009603.1	23	12874	13305	1	E											0
NC_009603.1_NC_009603.1_24	NC_009603.1	NC_009603.1	24	13877	14011	1	E											0
NC_009603.1_NC_009603.1_25	NC_009603.1	NC_009603.1	25	14008	14451	1	E											0
NC_009603.1_NC_009603.1_26	NC_009603.1	NC_009603.1	26	14448	14741	1	E											0
NC_009603.1_NC_009603.1_27	NC_009603.1	NC_009603.1	27	15198	15587	1	E											0
NC_009603.1_NC_009603.1_28	NC_009603.1	NC_009603.1	28	16047	16238	-1	E											0
NC_009603.1_NC_009603.1_29	NC_009603.1	NC_009603.1	29	16479	16799	1	E											0
NC_009603.1_NC_009603.1_30	NC_009603.1	NC_009603.1	30	16811	17047	1	E											0
NC_009603.1_NC_009603.1_31	NC_009603.1	NC_009603.1	31	17163	17543	1	E											0
NC_009603.1_NC_009603.1_32	NC_009603.1	NC_009603.1	32	17540	19132	1	D										Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, endonuclease domain [PF20441.1]	0
NC_009603.1_NC_009603.1_33	NC_009603.1	NC_009603.1	33	19528	20595	1	D										Protein of unknown function (DUF935) [PF06074.15]	0
NC_009603.1_NC_009603.1_34	NC_009603.1	NC_009603.1	34	20605	21804	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER0169409	S14	MER0169409 - family S14 non-peptidase homologues () [S14.UNW]#S14#{peptidase unit: 30-189}~source YP_001294799~	False	322.0	8.795e-96	0.952	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]	0
NC_009603.1_NC_009603.1_35	NC_009603.1	NC_009603.1	35	21806	22165	1	D										Uncharacterized conserved protein (DUF2190) [PF09956.12]	0
NC_009603.1_NC_009603.1_36	NC_009603.1	NC_009603.1	36	22179	22784	1	E											0
NC_009603.1_NC_009603.1_37	NC_009603.1	NC_009603.1	37	22735	23106	1	E											0
NC_009603.1_NC_009603.1_38	NC_009603.1	NC_009603.1	38	23106	23372	1	E											0
NC_009603.1_NC_009603.1_39	NC_009603.1	NC_009603.1	39	23391	24101	1	E											0
NC_009603.1_NC_009603.1_40	NC_009603.1	NC_009603.1	40	24101	24379	1	E											0
NC_009603.1_NC_009603.1_41	NC_009603.1	NC_009603.1	41	24376	24795	1	E											0
NC_009603.1_NC_009603.1_42	NC_009603.1	NC_009603.1	42	24857	25630	1	E											0
NC_009603.1_NC_009603.1_43	NC_009603.1	NC_009603.1	43	25712	26080	1	E											0
NC_009603.1_NC_009603.1_44	NC_009603.1	NC_009603.1	44	26077	26433	1	E											0
NC_009603.1_NC_009603.1_45	NC_009603.1	NC_009603.1	45	26451	29483	1	D										Tape measure protein [PF20155.2]	0
NC_009603.1_NC_009603.1_46	NC_009603.1	NC_009603.1	46	29802	31673	1	D										Phage tail protein [PF05709.14]	0
NC_009603.1_NC_009603.1_47	NC_009603.1	NC_009603.1	47	31666	32241	1	E											0
NC_009603.1_NC_009603.1_48	NC_009603.1	NC_009603.1	48	32259	33011	1	D										Phage Tail Collar Domain [PF07484.15]	0
NC_009603.1_NC_009603.1_49	NC_009603.1	NC_009603.1	49	32968	33150	1	E											0
NC_009603.1_NC_009603.1_50	NC_009603.1	NC_009603.1	50	33162	33833	1	E											0
NC_009603.1_NC_009603.1_51	NC_009603.1	NC_009603.1	51	34530	35519	1	D										IPT/TIG domain [PF01833.27]	0
NC_009603.1_NC_009603.1_52	NC_009603.1	NC_009603.1	52	35606	35899	1	E											0
NC_009603.1_NC_009603.1_53	NC_009603.1	NC_009603.1	53	35913	36341	1	E											0
NC_009603.1_NC_009603.1_54	NC_009603.1	NC_009603.1	54	36359	36694	1	E											0
NC_009603.1_NC_009603.1_55	NC_009603.1	NC_009603.1	55	36691	37029	1	E											0
