	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000390.1_1	QGNH01000390.1	QGNH01000390.1	1	1284	2381	-1	D																Pyoverdine/dityrosine biosynthesis protein [PF05141.15]								0	False	F
QGNH01000390.1_2	QGNH01000390.1	QGNH01000390.1	2	2735	3304	1	E																								0	False	F
QGNH01000390.1_3	QGNH01000390.1	QGNH01000390.1	3	3476	4042	1	E																								0	False	F
QGNH01000390.1_4	QGNH01000390.1	QGNH01000390.1	4	4844	5161	-1	E																								0	False	F
QGNH01000390.1_5	QGNH01000390.1	QGNH01000390.1	5	5260	5619	-1	E																								0	False	
QGNH01000390.1_6	QGNH01000390.1	QGNH01000390.1	6	5561	6046	-1	D			YP_010651948.1	YP_010651948.1 HNH endonuclease [Streptomyces phage TunaTartare]	False	0.445	109.0	1.135e-26								Stc1 domain [PF12898.10]					VOG00155	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI; Xh	Xh	1	False	
QGNH01000390.1_7	QGNH01000390.1	QGNH01000390.1	7	6091	6678	-1	E																								0	False	
QGNH01000390.1_8	QGNH01000390.1	QGNH01000390.1	8	6694	6957	-1	E																								0	False	
QGNH01000390.1_9	QGNH01000390.1	QGNH01000390.1	9	7162	7452	1	D																HIRAN domain [PF08797.14]								0	False	
QGNH01000390.1_10	QGNH01000390.1	QGNH01000390.1	10	7449	8243	-1	D			YP_007354306.1	YP_007354306.1 peptidase [Acanthamoeba polyphaga moumouvirus]	False	0.447	220.0	4.327e-63	MER0701720	C01A	MER0701720 - subfamily C1A unassigned peptidases (Geobacter pickeringii) [C01.UPA]#C01A#{peptidase unit: 40-249}~source A0A0B5B7Z1~	False	0.614	262.0	2.038e-77	Papain family cysteine protease [PF00112.26]					VOG04780	REFSEQ hypothetical protein; Xu	Xu	0	False	P
QGNH01000390.1_11	QGNH01000390.1	QGNH01000390.1	11	8248	9258	-1	E			YP_001950136.1	YP_001950136.1 hypothetical protein RSL1_ORF258 [Ralstonia phage phiRSL1]	False	0.421	244.0	4.721e-70																0	False	
QGNH01000390.1_12	QGNH01000390.1	QGNH01000390.1	12	9383	9694	1	E																								0	False	
QGNH01000390.1_13	QGNH01000390.1	QGNH01000390.1	13	11507	11728	1	E																								0	False	
