	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_054791.1_NC_054791.1_1	NC_054791.1	NC_054791.1	1	3	620	1	E								0
NC_054791.1_NC_054791.1_2	NC_054791.1	NC_054791.1	2	703	1128	1	E								0
NC_054791.1_NC_054791.1_3	NC_054791.1	NC_054791.1	3	1206	1520	1	E								0
NC_054791.1_NC_054791.1_4	NC_054791.1	NC_054791.1	4	1556	2386	1	D			Collagen triple helix repeat (20 copies) [PF01391.21]					0
NC_054791.1_NC_054791.1_5	NC_054791.1	NC_054791.1	5	2390	3028	1	E								0
NC_054791.1_NC_054791.1_6	NC_054791.1	NC_054791.1	6	3130	3258	1	E								0
NC_054791.1_NC_054791.1_7	NC_054791.1	NC_054791.1	7	3258	4625	1	C	K03791	putative chitinase	Chitinase class I [PF00182.22]	GH19	GH19 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); [reducing end] chitinase (EC 3.2.1.201)	3.2.1.14,3.2.1.17	GH19.hmm	0
NC_054791.1_NC_054791.1_8	NC_054791.1	NC_054791.1	8	4622	5008	1	D			Mycobacterial 2 TMS Phage Holin (M2 Hol) Family [PF16081.8]					0
NC_054791.1_NC_054791.1_9	NC_054791.1	NC_054791.1	9	5029	6714	1	D			Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					0
NC_054791.1_NC_054791.1_10	NC_054791.1	NC_054791.1	10	6714	8150	1	D			Phage portal protein, SPP1 Gp6-like [PF05133.17]					0
NC_054791.1_NC_054791.1_11	NC_054791.1	NC_054791.1	11	8147	9010	1	E								0
NC_054791.1_NC_054791.1_12	NC_054791.1	NC_054791.1	12	9070	9564	1	E								0
NC_054791.1_NC_054791.1_13	NC_054791.1	NC_054791.1	13	9598	10551	1	D			Phage capsid family [PF05065.16]; Gene product 44 [PF17510.5]					0
NC_054791.1_NC_054791.1_14	NC_054791.1	NC_054791.1	14	10624	10881	1	E								0
NC_054791.1_NC_054791.1_15	NC_054791.1	NC_054791.1	15	10885	11268	1	D			Phage protein Gp19/Gp15/Gp42 [PF09355.13]					0
NC_054791.1_NC_054791.1_16	NC_054791.1	NC_054791.1	16	11145	11384	-1	E								0
NC_054791.1_NC_054791.1_17	NC_054791.1	NC_054791.1	17	11426	11803	1	E								0
NC_054791.1_NC_054791.1_18	NC_054791.1	NC_054791.1	18	11803	12120	1	D			Family of unknown function (DUF5403) [PF17395.5]					0
NC_054791.1_NC_054791.1_19	NC_054791.1	NC_054791.1	19	12134	12556	1	E								0
NC_054791.1_NC_054791.1_20	NC_054791.1	NC_054791.1	20	12568	13170	1	E								0
NC_054791.1_NC_054791.1_21	NC_054791.1	NC_054791.1	21	13288	13680	1	D			Mycobacteriophage tail assembly protein [PF17388.5]					0
NC_054791.1_NC_054791.1_22	NC_054791.1	NC_054791.1	22	13632	14093	1	E								0
NC_054791.1_NC_054791.1_23	NC_054791.1	NC_054791.1	23	14094	16709	1	E								0
NC_054791.1_NC_054791.1_24	NC_054791.1	NC_054791.1	24	16712	18055	1	E								0
NC_054791.1_NC_054791.1_25	NC_054791.1	NC_054791.1	25	18055	19854	1	E								0
NC_054791.1_NC_054791.1_26	NC_054791.1	NC_054791.1	26	19887	20348	1	D			Protein of unknown function (DUF2744) [PF10910.11]					0
NC_054791.1_NC_054791.1_27	NC_054791.1	NC_054791.1	27	20416	20760	1	D			Protein of unknown function (DUF2746) [PF10874.11]					0
NC_054791.1_NC_054791.1_28	NC_054791.1	NC_054791.1	28	20768	22630	1	E								0
NC_054791.1_NC_054791.1_29	NC_054791.1	NC_054791.1	29	22685	24175	-1	C	K06400	site-specific DNA recombinase	Resolvase, N terminal domain [PF00239.24]; Recombinase [PF07508.16]					0
NC_054791.1_NC_054791.1_30	NC_054791.1	NC_054791.1	30	24244	24663	1	D			Protein of unknown function (DUF2637) [PF10935.11]					0
NC_054791.1_NC_054791.1_31	NC_054791.1	NC_054791.1	31	24768	25082	-1	D			Protein of unknown function (DUF2510) [PF10708.12]					0
NC_054791.1_NC_054791.1_32	NC_054791.1	NC_054791.1	32	25126	25362	-1	E								0
NC_054791.1_NC_054791.1_33	NC_054791.1	NC_054791.1	33	25703	25891	-1	E								0
NC_054791.1_NC_054791.1_34	NC_054791.1	NC_054791.1	34	25884	26060	-1	E								0
NC_054791.1_NC_054791.1_35	NC_054791.1	NC_054791.1	35	26057	26293	-1	E								0
NC_054791.1_NC_054791.1_36	NC_054791.1	NC_054791.1	36	26290	26643	-1	E								0
NC_054791.1_NC_054791.1_37	NC_054791.1	NC_054791.1	37	26630	26836	-1	E								0
NC_054791.1_NC_054791.1_38	NC_054791.1	NC_054791.1	38	26826	27023	-1	E								0
NC_054791.1_NC_054791.1_39	NC_054791.1	NC_054791.1	39	27056	28864	-1	D			DNA polymerase family A [PF00476.23]					0
NC_054791.1_NC_054791.1_40	NC_054791.1	NC_054791.1	40	28873	29043	-1	E								0
NC_054791.1_NC_054791.1_41	NC_054791.1	NC_054791.1	41	29043	29297	-1	E								0
NC_054791.1_NC_054791.1_42	NC_054791.1	NC_054791.1	42	29361	29930	-1	E								0
NC_054791.1_NC_054791.1_43	NC_054791.1	NC_054791.1	43	29960	32002	-1	D			Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase alpha domain [PF17975.4]					0
NC_054791.1_NC_054791.1_44	NC_054791.1	NC_054791.1	44	31999	32187	-1	E								0
NC_054791.1_NC_054791.1_45	NC_054791.1	NC_054791.1	45	32187	32411	-1	D			Phage gene product 52 [PF17468.5]					0
NC_054791.1_NC_054791.1_46	NC_054791.1	NC_054791.1	46	32384	32482	-1	E								0
NC_054791.1_NC_054791.1_47	NC_054791.1	NC_054791.1	47	32479	33093	-1	E								0
