locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MG550112.1_1			COG3415		phrog_4102	VOG00189	VOG:VOG00189	177	3.2e-42	137.0		REFSEQ terminase small subunit
MG550112.1_2			COG5362		phrog_38	VOG07294	VOG:VOG07294	445	2.5e-24	77.8		sp|Q05219|VG13_BPML5 Gene 13 protein
MG550112.1_3												Hypothetical
MG550112.1_4						VOG01083	VOG:VOG01083	90	2e-28	90.5		REFSEQ hypothetical protein
MG550112.1_5												Hypothetical
MG550112.1_6												Hypothetical
MG550112.1_7												Hypothetical
MG550112.1_8												Hypothetical
MG550112.1_9												Hypothetical
MG550112.1_10					phrog_6422		PHROG:phrog_6422	43	3.5e-08	25.5		Lar-like restriction alleviation protein
MG550112.1_11												Hypothetical
MG550112.1_12												Hypothetical
MG550112.1_13					phrog_9232, phrog_2662	VOG14639, VOG14639	VOG:VOG14639	676	0	953.5		REFSEQ portal protein
MG550112.1_14						VOG14641	VOG:VOG14641	63	2.6e-39	125.2		REFSEQ hypothetical protein
MG550112.1_15												Hypothetical
MG550112.1_16												Hypothetical
MG550112.1_17												Hypothetical
MG550112.1_18						VOG14642	VOG:VOG14642	481	2e-238	705.6		REFSEQ hypothetical protein
MG550112.1_19												Hypothetical
MG550112.1_20					phrog_10	VOG14637	VOG:VOG14637	397	2.5e-241	792.4		REFSEQ major capsid protein
MG550112.1_21												Hypothetical
MG550112.1_22						VOG14643	VOG:VOG14643	75	6.3e-49	156.3		REFSEQ hypothetical protein
MG550112.1_23												Hypothetical
MG550112.1_24						VOG14646	VOG:VOG14646	72	1.5e-46	148.8		REFSEQ hypothetical protein
MG550112.1_25						VOG26456	VOG:VOG26456	65	2e-40	129.0		REFSEQ hypothetical protein
MG550112.1_26						VOG14644	VOG:VOG14644	74	6.4e-47	149.4		REFSEQ hypothetical protein
MG550112.1_27						VOG14645	VOG:VOG14645	142	2e-86	278.9		REFSEQ hypothetical protein
MG550112.1_28					phrog_5	VOG00130	VOG:VOG00130	139	6.1e-35	113.3		REFSEQ tail completion or Neck1 protein
MG550112.1_29						VOG14647	VOG:VOG14647	98	2.4e-48	154.2		REFSEQ hypothetical protein
MG550112.1_30												Hypothetical
MG550112.1_31												Hypothetical
MG550112.1_32			COG0726	CE4, CE4			COG:COG0726	414	1.3e-15	49.1		CDA1:
MG550112.1_33												Hypothetical
MG550112.1_34												Hypothetical
MG550112.1_35												Hypothetical
MG550112.1_36						VOG14651	VOG:VOG14651	159	4.6e-100	323.8		REFSEQ tail tube
MG550112.1_37						VOG14652	VOG:VOG14652	165	7.1e-87	281.6		REFSEQ hypothetical protein
MG550112.1_38						VOG26472	VOG:VOG26472	51	1.3e-37	119.8		REFSEQ hypothetical protein
MG550112.1_39												Hypothetical
MG550112.1_40	K07451	K07451, K22534	COG1403		phrog_1271	VOG01977	PHROG:phrog_1271	293	2.8e-29	90.6		HNH endonuclease
MG550112.1_41					phrog_305	VOG14653	VOG:VOG14653	342	1.2e-189	621.5		REFSEQ phate tail tape measure protein
MG550112.1_42						VOG14654	VOG:VOG14654	286	2.2e-172	563.6		REFSEQ hypothetical protein
MG550112.1_43						VOG26473	VOG:VOG26473	444	9.6e-261	857.1		REFSEQ hypothetical protein
MG550112.1_44												Hypothetical
MG550112.1_45					phrog_18315	VOG01754	VOG:VOG01754	955	0	1503.8		REFSEQ hypothetical protein
MG550112.1_46		K06218	COG2026		phrog_1213	VOG11888	VOG:VOG11888	101	3.5e-32	102.6		REFSEQ RelE-like toxin
MG550112.1_47						VOG14638	VOG:VOG14638	73	2.2e-40	128.8		REFSEQ hypothetical protein
MG550112.1_48												Hypothetical
MG550112.1_49												Hypothetical
MG550112.1_50												Hypothetical
MG550112.1_51					phrog_22961	VOG14464	VOG:VOG14464	217	3.2e-96	313.2		REFSEQ hypothetical protein
MG550112.1_52												Hypothetical
MG550112.1_53												Hypothetical
MG550112.1_54						VOG33274	VOG:VOG33274	49	7.1e-36	114.0		REFSEQ hypothetical protein
MG550112.1_55												Hypothetical
MG550112.1_56		K18585	COG1340				COG:COG1340	176	6.5e-09	27.0		:
MG550112.1_57		K10726	COG1241		phrog_10371	VOG14467	VOG:VOG14467	729	4.2e-285	939.2		sp|Q9UXG1|MCM_SACS2 Minichromosome maintenance protein MCM
MG550112.1_58						VOG33273	VOG:VOG33273	66	7.9e-44	139.8		REFSEQ hypothetical protein
MG550112.1_59	K00390	K00390	COG0175		phrog_424	VOG22642	VOG:VOG22642	268	3.8e-114	372.6		REFSEQ phosphoadenosine phosphosulfate reductase
MG550112.1_60												Hypothetical
MG550112.1_61	K00558	K00558	COG0270		phrog_757	VOG02611	VOG:VOG02611	219	6.6e-35	112.5		sp|Q67472|DNMT_FRG3G Probable DNA (cytosine-5)-methyltransferase
MG550112.1_62						VOG33275	VOG:VOG33275	97	7.7e-60	191.6		REFSEQ hypothetical protein
MG550112.1_63		K04802	COG0592			VOG00220	VOG:VOG00220	264	4.5e-37	119.6		sp|Q7T6Y0|PCNA_MIMIV Probable DNA polymerase sliding clamp
MG550112.1_64												Hypothetical
MG550112.1_65												Hypothetical
MG550112.1_66												Hypothetical
MG550112.1_67						VOG33276	VOG:VOG33276	76	2.5e-47	151.0		REFSEQ hypothetical protein
MG550112.1_68					phrog_24424	VOG14466	VOG:VOG14466	133	5.2e-68	219.4		REFSEQ hypothetical protein
MG550112.1_69					phrog_11619	VOG04198	VOG:VOG04198	154	6.2e-55	177.0		REFSEQ DNA methyltransferase
