	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001221.1_1	QGNH01001221.1	QGNH01001221.1	1	9	209	1	E																								0	False	F
QGNH01001221.1_2	QGNH01001221.1	QGNH01001221.1	2	309	524	1	E																								0	False	F
QGNH01001221.1_3	QGNH01001221.1	QGNH01001221.1	3	521	799	1	E																								0	False	F
QGNH01001221.1_4	QGNH01001221.1	QGNH01001221.1	4	796	1095	1	E																								0	False	F
QGNH01001221.1_5	QGNH01001221.1	QGNH01001221.1	5	1092	1229	1	E																								0	False	F
QGNH01001221.1_6	QGNH01001221.1	QGNH01001221.1	6	1226	1576	1	E																								0	False	F
QGNH01001221.1_7	QGNH01001221.1	QGNH01001221.1	7	1573	1797	1	E																								0	False	F
QGNH01001221.1_8	QGNH01001221.1	QGNH01001221.1	8	1809	2150	1	D			YP_009600843.1	YP_009600843.1 hypothetical protein FDH44_gp164 [Sphingobium phage Lacusarx]	False	0.452	78.0	1.478e-16								Protein of unknown function (DUF2958) [PF11171.11]								0	False	F
QGNH01001221.1_9	QGNH01001221.1	QGNH01001221.1	9	2147	2656	1	C	K03630	DNA repair protein RadC	YP_010772143.1	YP_010772143.1 MAG: hypothetical protein QIT36_gp060 [Methanophagales virus GBV301]	False	0.416	79.0	3.292e-16								RadC-like JAB domain [PF04002.18]								0	False	F
QGNH01001221.1_10	QGNH01001221.1	QGNH01001221.1	10	2764	2988	1	E			YP_010751376.1	YP_010751376.1 hypothetical protein QDA04_gp85 [Microbacterium phage Megan]	False	0.445	62.0	8.695e-12													VOG22499	REFSEQ hypothetical protein; Xu	Xu	0	False	F
