	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MK310226.1_1	MK310226	MK310226.1	1	100	669	1	E			YP_010077949.1	YP_010077949.1 HTH domain protein [Halobacterium phage ChaoS9]	True	0.979	392.0	3.599e-124									VOG06040	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK310226.1_2	MK310226	MK310226.1	2	656	2302	1	E			YP_010077950.1	YP_010077950.1 terminase large subunit [Halobacterium phage ChaoS9]	True	0.974	1126.0	0.0									VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	TF
MK310226.1_3	MK310226	MK310226.1	3	2316	3944	1	E			YP_010077951.1	YP_010077951.1 portal protein [Halobacterium phage ChaoS9]	True	0.946	1078.0	0.0									VOG26458	REFSEQ portal protein; Xu	Xu	0	False	TF
MK310226.1_4	MK310226	MK310226.1	4	3883	4083	1	E			YP_010077952.1	YP_010077952.1 CxxC motif protein [Halobacterium phage ChaoS9]	False	1.0	108.0	4.312000000000001e-28												0	False	TF
MK310226.1_5	MK310226	MK310226.1	5	4086	5273	1	D			YP_010077953.1	YP_010077953.1 minor head protein [Halobacterium phage ChaoS9]	True	0.948	788.0	2.837e-257								Phage Mu protein F like protein [PF04233.17]	VOG03625	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB; Xu	Xu	0	False	TF
MK310226.1_6	MK310226	MK310226.1	6	5384	7300	1	E			YP_010077954.1	YP_010077954.1 putative prohead protease protein [Halobacterium phage ChaoS9]	True	0.914	1219.0	0.0												0	False	T
MK310226.1_7	MK310226	MK310226.1	7	7303	7755	1	E			YP_010077955.1	YP_010077955.1 uncharacterized protein KMC41_gp08 [Halobacterium phage ChaoS9]	False	0.957	304.0	2.033e-94												0	False	T
MK310226.1_8	MK310226	MK310226.1	8	7801	8928	1	E			YP_010077956.1	YP_010077956.1 major capsid protein [Halobacterium phage ChaoS9]	True	0.97	768.0	7.742e-251									VOG26462	REFSEQ major capsid protein; Xu	Xu	0	False	T
MK310226.1_9	MK310226	MK310226.1	9	8944	9363	1	E			YP_010077957.1	YP_010077957.1 uncharacterized protein KMC41_gp10 [Halobacterium phage ChaoS9]	False	0.914	268.0	4.935e-82									VOG06394	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_10	MK310226	MK310226.1	10	9398	9784	1	E			YP_010077958.1	YP_010077958.1 uncharacterized protein KMC41_gp11 [Halobacterium phage ChaoS9]	False	0.949	258.0	1.07e-78												0	False	T
MK310226.1_11	MK310226	MK310226.1	11	9781	10191	1	E			YP_010077959.1	YP_010077959.1 head closure protein, type 1 [Halobacterium phage ChaoS9]	False	0.95	274.0	3.747e-84												0	False	T
MK310226.1_12	MK310226	MK310226.1	12	10188	10421	1	E			YP_010077960.1	YP_010077960.1 uncharacterized protein KMC41_gp13 [Halobacterium phage ChaoS9]	False	0.981	162.0	2.0090000000000003e-46												0	False	T
MK310226.1_13	MK310226	MK310226.1	13	10414	10701	1	E			YP_010077961.1	YP_010077961.1 uncharacterized protein KMC41_gp14 [Halobacterium phage ChaoS9]	False	0.943	190.0	4.589e-56									VOG11945	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_14	MK310226	MK310226.1	14	10703	11149	1	D			YP_010077962.1	YP_010077962.1 tail completion or Neck1 protein [Halobacterium phage ChaoS9]	False	0.943	295.0	2.629e-91								Phage virion morphogenesis family [PF05069.16]	VOG00556	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0	False	T
MK310226.1_15	MK310226	MK310226.1	15	11156	11746	1	E			YP_010077963.1	YP_010077963.1 tail completion protein, type 1 [Halobacterium phage ChaoS9]	True	0.972	404.0	5.343000000000001e-128									VOG11947	REFSEQ tail completion protein, type 1; Xu	Xu	0	False	T
MK310226.1_16	MK310226	MK310226.1	16	11767	13071	1	E			YP_010077964.1	YP_010077964.1 head protein [Halobacterium phage ChaoS9]	True	0.955	872.0	9.168999999999999e-286									VOG11946	REFSEQ head protein; Xu	Xu	0	False	T
MK310226.1_17	MK310226	MK310226.1	17	13082	13480	1	E			YP_010077965.1	YP_010077965.1 putative tail tube protein [Halobacterium phage ChaoS9]	False	0.98	275.0	1.198e-84									VOG06285	REFSEQ head protein; Xu	Xu	0	False	T
MK310226.1_18	MK310226	MK310226.1	18	13492	13932	1	E			YP_010077966.1	YP_010077966.1 uncharacterized protein KMC41_gp19 [Halobacterium phage ChaoS9]	False	0.928	286.0	3.4e-88									VOG11948	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_19	MK310226	MK310226.1	19	13935	14144	1	E			YP_010077967.1	YP_010077967.1 uncharacterized protein KMC41_gp20 [Halobacterium phage ChaoS9]	False	1.0	150.0	1.3030000000000003e-42												0	False	T
MK310226.1_20	MK310226	MK310226.1	20	14147	16891	1	D			YP_010077968.1	YP_010077968.1 tape-measure tail protein [Halobacterium phage ChaoS9]	True	0.864	1638.0	0.0								Phage-related minor tail protein [PF10145.12]				0	False	T
MK310226.1_21	MK310226	MK310226.1	21	16895	17422	1	E			YP_010077969.1	YP_010077969.1 uncharacterized protein KMC41_gp22 [Halobacterium phage ChaoS9]	False	0.898	330.0	8.252999999999999e-103									VOG11949	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_22	MK310226	MK310226.1	22	17423	17767	1	E			YP_010077970.1	YP_010077970.1 uncharacterized protein KMC41_gp23 [Halobacterium phage ChaoS9]	False	1.0	243.0	4.706e-74									VOG11950	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_23	MK310226	MK310226.1	23	17771	18604	1	E			YP_010077971.1	YP_010077971.1 baseplate hub [Halobacterium phage ChaoS9]	True	0.982	576.0	3.524e-186									VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	T
MK310226.1_24	MK310226	MK310226.1	24	18784	19335	1	D			YP_010077973.1	YP_010077973.1 uncharacterized protein KMC41_gp26 [Halobacterium phage ChaoS9]	True	0.961	372.0	2.629e-117								Phage protein Gp138 N-terminal domain [PF18352.4]	VOG04104	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK310226.1_25	MK310226	MK310226.1	25	19338	19700	1	E			YP_010077974.1	YP_010077974.1 hypothetical protein KMC41_gp27 [Halobacterium phage ChaoS9]	False	0.981	250.0	2.138e-76									VOG14389	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_26	MK310226	MK310226.1	26	19697	20062	1	D			YP_010077975.1	YP_010077975.1 baseplate wedge subunit [Halobacterium phage ChaoS9]	False	0.935	239.0	1.558e-72								Protein of unknown function (DUF2634) [PF10934.11]	VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xs;Xh	0	False	VT
MK310226.1_27	MK310226	MK310226.1	27	20069	21328	1	D			YP_010077976.1	YP_010077976.1 baseplate J family protein [Halobacterium phage ChaoS9]	True	0.935	823.0	5.768e-269								Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	VT
MK310226.1_28	MK310226	MK310226.1	28	21321	21929	1	E			YP_010077977.1	YP_010077977.1 uncharacterized protein KMC41_gp30 [Halobacterium phage ChaoS9]	True	0.904	383.0	9.435e-121												0	False	T
MK310226.1_29	MK310226	MK310226.1	29	21933	22517	1	E			YP_010077978.1	YP_010077978.1 uncharacterized protein KMC41_gp31 [Halobacterium phage ChaoS9]	True	0.938	384.0	3.44e-121									VOG11952	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_30	MK310226	MK310226.1	30	22514	23122	1	E			YP_010077979.1	YP_010077979.1 uncharacterized protein KMC41_gp32 [Halobacterium phage ChaoS9]	True	0.954	407.0	4.156e-129									VOG03171	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_31	MK310226	MK310226.1	31	23115	24698	1	E			YP_010077980.1	YP_010077980.1 repeat-containing tail fiber protein [Halobacterium phage ChaoS9]	True	0.886	973.0	1.224e-318												0	False	T
MK310226.1_32	MK310226	MK310226.1	32	24702	24986	1	E			YP_010077981.1	YP_010077981.1 uncharacterized protein KMC41_gp34 [Halobacterium phage ChaoS9]	False	0.895	178.0	1.084e-51									VOG11961	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK310226.1_33	MK310226	MK310226.1	33	25024	25698	1	D			YP_010077982.1	YP_010077982.1 tyrosine integrase/recombinase [Halobacterium phage ChaoS9]	True	0.974	462.0	1.477e-147								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VT
MK310226.1_34	MK310226	MK310226.1	34	25709	25996	-1	E			YP_010077983.1	YP_010077983.1 uncharacterized protein KMC41_gp36 [Halobacterium phage ChaoS9]	False	0.98	199.0	5.998e-59									VOG11961	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK310226.1_35	MK310226	MK310226.1	35	25999	26187	-1	E																				0	False	T
MK310226.1_36	MK310226	MK310226.1	36	26199	27455	-1	C	K07496	putative transposase	YP_010077984.1	YP_010077984.1 transposase [Halobacterium phage ChaoS9]	True	1.0	892.0	6.248e-293								Putative transposase DNA-binding domain [PF07282.14]	VOG00072	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease; Xr	Xr	0	False	VT
MK310226.1_37	MK310226	MK310226.1	37	27457	27849	-1	C	K07491	REP-associated tyrosine transposase	YP_010077985.1	YP_010077985.1 transposase [Halobacterium phage ChaoS9]	False	0.971	268.0	2.333e-82								Transposase IS200 like [PF01797.19]	VOG02296	sp|Q7DF83|DRA2A_DEIRA ISDra2 transposase TnpA; XhXr	Xr;Xh	0	True	VT
MK310226.1_38	MK310226	MK310226.1	38	27906	28820	-1	E			YP_010078062.1	YP_010078062.1 repeat-containing tail fiber protein [Natrialba phage PhiCh1]	False	0.398	198.0	7.979e-55												0	False	T
MK310226.1_39	MK310226	MK310226.1	39	28854	29579	1	E			YP_010077986.1	YP_010077986.1 transmembrane domain protein [Halobacterium phage ChaoS9]	True	0.971	495.0	7.552e-159									VOG01682	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_40	MK310226	MK310226.1	40	29589	29861	-1	E			YP_010077987.1	YP_010077987.1 transcriptional regulator [Halobacterium phage ChaoS9]	False	1.0	196.0	3.123e-58												0	False	T
MK310226.1_41	MK310226	MK310226.1	41	29933	30241	-1	E			YP_010077988.1	YP_010077988.1 uncharacterized protein KMC41_gp43 [Halobacterium phage ChaoS9]	False	0.94	203.0	1.9039999999999998e-60									VOG11951	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_42	MK310226	MK310226.1	42	30238	30813	-1	D			YP_010077989.1	YP_010077989.1 glutamine amidotransferase domain protein, class-II [Halobacterium phage ChaoS9]	True	1.0	408.0	1.31e-129	MER0043662	C44	MER0043662 - family C44 non-peptidase homologues () [C44.UNW]#C44#{peptidase unit: 2-113}~source AAM88714~	False	203.0	3.98e-58	0.863	Glutamine amidotransferase domain [PF13522.9]; Glutamine amidotransferases class-II [PF13230.9]	VOG25482	REFSEQ putative glutaminase; Xu	Xu	0	False	PT
MK310226.1_43	MK310226	MK310226.1	43	30818	31855	-1	E			YP_010077990.1	YP_010077990.1 uncharacterized protein KMC41_gp45 [Halobacterium phage ChaoS9]	True	1.0	747.0	6.364e-244									VOG25501	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK310226.1_44	MK310226	MK310226.1	44	32030	32266	1	E			YP_010077991.1	YP_010077991.1 uncharacterized protein KMC41_gp46 [Halobacterium phage ChaoS9]	False	0.939	156.0	1.774e-44												0	False	T
MK310226.1_45	MK310226	MK310226.1	45	32339	32584	1	E			YP_010077992.1	YP_010077992.1 uncharacterized protein KMC41_gp47 [Halobacterium phage ChaoS9]	False	0.9	154.0	7.303999999999999e-44												0	False	T
MK310226.1_46	MK310226	MK310226.1	46	32581	33009	1	D			YP_010077993.1	YP_010077993.1 VapC family toxin [Halobacterium phage ChaoS9]	False	0.926	278.0	2.1260000000000002e-85								PIN domain [PF10130.12]; PIN domain [PF13470.9]				0	False	T
MK310226.1_47	MK310226	MK310226.1	47	33098	33448	1	E			YP_010077994.1	YP_010077994.1 uncharacterized protein KMC41_gp49 [Halobacterium phage ChaoS9]	False	0.914	224.0	2.744e-67												0	False	T
MK310226.1_48	MK310226	MK310226.1	48	33457	34059	-1	D			YP_010077995.1	YP_010077995.1 tyrosine integrase/recombinase [Halobacterium phage ChaoS9]	True	0.973	412.0	6.259e-131								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VT
MK310226.1_49	MK310226	MK310226.1	49	34507	35055	-1	E			YP_010077997.1	YP_010077997.1 uncharacterized protein KMC41_gp52 [Halobacterium phage ChaoS9]	False	0.864	328.0	4.057e-102									VOG03264	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK310226.1_50	MK310226	MK310226.1	50	35048	35902	-1	C	K03496	chromosome partitioning protein	YP_010077998.1	YP_010077998.1 ParA-like partition protein [Halobacterium phage ChaoS9]	True	0.925	552.0	1.0989999999999999e-177								AAA domain [PF13614.9]; ATPase MipZ [PF09140.14]; Cellulose biosynthesis protein BcsQ [PF06564.15]; VirC1 protein [PF07015.14]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]	VOG01428	sp|P07620|PARA_ECOLX Plasmid partition protein A; Xh	Xh	0	False	T
MK310226.1_51	MK310226	MK310226.1	51	35976	36413	-1	E			YP_010077999.1	YP_010077999.1 transmembrane domain protein [Halobacterium phage ChaoS9]	False	0.911	278.0	1.79e-85									VOG29124	REFSEQ transmembrane domain protein; Xu	Xu	0	False	T
MK310226.1_52	MK310226	MK310226.1	52	36460	38241	-1	E			YP_010078000.1	YP_010078000.1 uncharacterized protein KMC41_gp55 [Halobacterium phage ChaoS9]	True	0.904	1119.0	0.0												0	False	T
MK310226.1_53	MK310226	MK310226.1	53	38243	38866	-1	E			YP_010078001.1	YP_010078001.1 uncharacterized protein KMC41_gp56 [Halobacterium phage ChaoS9]	True	0.998	432.0	9.009e-138									VOG05009	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_54	MK310226	MK310226.1	54	38850	39080	-1	E			YP_010078002.1	YP_010078002.1 uncharacterized protein KMC41_gp57 [Halobacterium phage ChaoS9]	False	1.0	168.0	8.809e-49												0	False	T
MK310226.1_55	MK310226	MK310226.1	55	39073	39240	-1	E			YP_010078003.1	YP_010078003.1 transmembrane domain protein [Halobacterium phage ChaoS9]	False	0.981	116.0	4.34e-31												0	False	T
MK310226.1_56	MK310226	MK310226.1	56	39233	40492	-1	E			YP_010078004.1	YP_010078004.1 uncharacterized protein KMC41_gp59 [Halobacterium phage ChaoS9]	True	0.952	840.0	7.549000000000001e-275												0	False	T
MK310226.1_57	MK310226	MK310226.1	57	40485	40673	-1	E			YP_010078005.1	YP_010078005.1 CxxC motif protein [Halobacterium phage ChaoS9]	False	1.0	141.0	9.683e-40												0	False	T
MK310226.1_58	MK310226	MK310226.1	58	40663	41181	-1	E			YP_010078006.1	YP_010078006.1 uncharacterized protein KMC41_gp61 [Halobacterium phage ChaoS9]	True	0.985	360.0	2.752e-113												0	False	T
MK310226.1_59	MK310226	MK310226.1	59	41174	41611	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	YP_010078007.1	YP_010078007.1 HNH endonuclease [Halobacterium phage ChaoS9]	False	1.0	320.0	3.823e-100								HNH endonuclease [PF01844.26]; HNH endonuclease [PF14279.9]	VOG00454	REFSEQ hypothetical protein; Xu	Xu	1	False	T
MK310226.1_60	MK310226	MK310226.1	60	41613	41888	-1	E			YP_010078008.1	YP_010078008.1 HTH domain protein [Halobacterium phage ChaoS9]	False	1.0	184.0	4.327e-54												0	False	T
MK310226.1_61	MK310226	MK310226.1	61	41997	42602	1	E			YP_010078009.1	YP_010078009.1 uncharacterized protein KMC41_gp64 [Halobacterium phage ChaoS9]	True	0.976	416.0	3.839e-132												0	False	T
MK310226.1_62	MK310226	MK310226.1	62	42605	43051	1	E			YP_010078010.1	YP_010078010.1 uncharacterized protein KMC41_gp65 [Halobacterium phage ChaoS9]	False	0.934	292.0	3.285e-90												0	False	T
MK310226.1_63	MK310226	MK310226.1	63	43044	43250	1	E			YP_010078011.1	YP_010078011.1 uncharacterized protein KMC41_gp66 [Halobacterium phage ChaoS9]	False	0.949	138.0	2.271e-38												0	False	T
MK310226.1_64	MK310226	MK310226.1	64	43250	43621	1	E			YP_010078012.1	YP_010078012.1 uncharacterized protein KMC41_gp67 [Halobacterium phage ChaoS9]	False	0.981	257.0	1.579e-78												0	False	T
