KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	Pfam	PF13229	Right handed beta helix region	150	250	1.6E-6	T	24-06-2023	IPR039448	Right handed beta helix domain
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SUPERFAMILY	SSF51126	Pectin lyase-like	52	343	2.83E-20	T	24-06-2023	IPR011050	Pectin lyase fold/virulence factor
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	Gene3D	G3DSA:2.160.20.10	-	53	381	1.0E-17	T	24-06-2023	IPR012334	Pectin lyase fold
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SUPERFAMILY	SSF51126	Pectin lyase-like	293	496	9.27E-12	T	24-06-2023	IPR011050	Pectin lyase fold/virulence factor
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	183	204	1200.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	80	115	2600.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	237	258	8500.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	151	181	750.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	369	390	1300.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	444	466	1600.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	205	227	650.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	321	343	140.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	347	368	380.0	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	SMART	SM00710	pbh1	391	413	6.1	T	24-06-2023	IPR006626	Parallel beta-helix repeat
KC117378.1_orf236	6da646f7fe0560d3695d729dbad49106	482	SUPERFAMILY	SSF51126	Pectin lyase-like	113	329	4.35E-6	T	24-06-2023	IPR011050	Pectin lyase fold/virulence factor
KC117378.1_orf236	6da646f7fe0560d3695d729dbad49106	482	MobiDBLite	mobidb-lite	consensus disorder prediction	167	187	-	T	24-06-2023	-	-
KC117378.1_orf236	6da646f7fe0560d3695d729dbad49106	482	Gene3D	G3DSA:2.60.120.40	-	343	478	3.4E-10	T	24-06-2023	IPR008983	Tumour necrosis factor-like domain superfamily
KC117378.1_orf236	6da646f7fe0560d3695d729dbad49106	482	SUPERFAMILY	SSF49842	TNF-like	358	461	1.01E-8	T	24-06-2023	IPR008983	Tumour necrosis factor-like domain superfamily
KC117378.1_orf104	ac1a2da7612c83751c9e56b430411f26	578	Pfam	PF14550	Putative phage serine protease XkdF	209	322	7.6E-20	T	24-06-2023	IPR027924	Phage-like element PBSX protein, XkdF
KC117378.1_orf104	ac1a2da7612c83751c9e56b430411f26	578	MobiDBLite	mobidb-lite	consensus disorder prediction	524	541	-	T	24-06-2023	-	-
KC117378.1_orf104	ac1a2da7612c83751c9e56b430411f26	578	MobiDBLite	mobidb-lite	consensus disorder prediction	382	411	-	T	24-06-2023	-	-
KC117378.1_orf104	ac1a2da7612c83751c9e56b430411f26	578	MobiDBLite	mobidb-lite	consensus disorder prediction	505	523	-	T	24-06-2023	-	-
KC117378.1_orf104	ac1a2da7612c83751c9e56b430411f26	578	MobiDBLite	mobidb-lite	consensus disorder prediction	501	578	-	T	24-06-2023	-	-
KC117378.1_orf104	ac1a2da7612c83751c9e56b430411f26	578	Coils	Coil	Coil	432	470	-	T	24-06-2023	-	-
KC117378.1_orf104	ac1a2da7612c83751c9e56b430411f26	578	MobiDBLite	mobidb-lite	consensus disorder prediction	382	434	-	T	24-06-2023	-	-
KC117378.1_orf211	5962671a51ec9f5c556fb23236e834d7	597	Coils	Coil	Coil	569	596	-	T	24-06-2023	-	-
