MZ334524.1_61	77e5b06b1557473c9f9c7d642ac47976	219	Pfam	PF10263	SprT-like family	68	148	5.3E-10	T	10-07-2023	IPR006640	SprT-like
MZ334524.1_52	9c3f9569261e696b8cc22400217e4540	153	MobiDBLite	mobidb-lite	consensus disorder prediction	14	28	-	T	10-07-2023	-	-
MZ334524.1_52	9c3f9569261e696b8cc22400217e4540	153	MobiDBLite	mobidb-lite	consensus disorder prediction	1	63	-	T	10-07-2023	-	-
MZ334524.1_52	9c3f9569261e696b8cc22400217e4540	153	MobiDBLite	mobidb-lite	consensus disorder prediction	42	60	-	T	10-07-2023	-	-
MZ334524.1_73	4b44033cc66bb7b59edcf5da03ffe2a3	289	PANTHER	PTHR42914	7-CYANO-7-DEAZAGUANINE SYNTHASE	35	264	1.9E-44	T	10-07-2023	IPR018317	Queuosine biosynthesis protein QueC
MZ334524.1_73	4b44033cc66bb7b59edcf5da03ffe2a3	289	Gene3D	G3DSA:3.40.50.620	HUPs	35	268	7.6E-56	T	10-07-2023	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
MZ334524.1_73	4b44033cc66bb7b59edcf5da03ffe2a3	289	CDD	cd01995	ExsB	37	255	2.35206E-55	T	10-07-2023	IPR018317	Queuosine biosynthesis protein QueC
MZ334524.1_73	4b44033cc66bb7b59edcf5da03ffe2a3	289	SUPERFAMILY	SSF52402	Adenine nucleotide alpha hydrolases-like	35	264	6.86E-42	T	10-07-2023	-	-
MZ334524.1_73	4b44033cc66bb7b59edcf5da03ffe2a3	289	Pfam	PF06508	Queuosine biosynthesis protein QueC	37	257	1.0E-50	T	10-07-2023	IPR018317	Queuosine biosynthesis protein QueC
MZ334524.1_119	519399c68e3d77bf3e93d11d3920025a	326	Pfam	PF18906	Phage tail tube protein	8	292	1.1E-18	T	10-07-2023	IPR044000	Phage tail tube protein-like
MZ334524.1_119	519399c68e3d77bf3e93d11d3920025a	326	MobiDBLite	mobidb-lite	consensus disorder prediction	22	45	-	T	10-07-2023	-	-
MZ334524.1_119	519399c68e3d77bf3e93d11d3920025a	326	MobiDBLite	mobidb-lite	consensus disorder prediction	1	45	-	T	10-07-2023	-	-
MZ334524.1_133	d1d5e2b3f63dacf76ec5adde5dac1811	284	Coils	Coil	Coil	103	123	-	T	10-07-2023	-	-
MZ334524.1_38	02841663e6838c3639d9b042626e1147	405	Coils	Coil	Coil	405	405	-	T	10-07-2023	-	-
MZ334524.1_38	02841663e6838c3639d9b042626e1147	405	MobiDBLite	mobidb-lite	consensus disorder prediction	146	175	-	T	10-07-2023	-	-
MZ334524.1_110	b4f5c2b9f7b7e41118b3cd874cc53ff6	460	MobiDBLite	mobidb-lite	consensus disorder prediction	156	170	-	T	10-07-2023	-	-
MZ334524.1_110	b4f5c2b9f7b7e41118b3cd874cc53ff6	460	MobiDBLite	mobidb-lite	consensus disorder prediction	39	71	-	T	10-07-2023	-	-
MZ334524.1_110	b4f5c2b9f7b7e41118b3cd874cc53ff6	460	MobiDBLite	mobidb-lite	consensus disorder prediction	154	174	-	T	10-07-2023	-	-
MZ334524.1_110	b4f5c2b9f7b7e41118b3cd874cc53ff6	460	Coils	Coil	Coil	456	460	-	T	10-07-2023	-	-
MZ334524.1_85	80b0a304d795782c53a589d2b661f59d	268	Pfam	PF12705	PD-(D/E)XK nuclease superfamily	19	254	2.0E-25	T	10-07-2023	IPR038726	PD-(D/E)XK endonuclease-like domain, AddAB-type
MZ334524.1_85	80b0a304d795782c53a589d2b661f59d	268	Gene3D	G3DSA:3.90.320.10	-	3	256	8.6E-17	T	10-07-2023	IPR011604	PD-(D/E)XK endonuclease-like domain superfamily
MZ334524.1_125	cce8b4007d53b2bea23580eb2cf98973	697	MobiDBLite	mobidb-lite	consensus disorder prediction	339	355	-	T	10-07-2023	-	-
MZ334524.1_125	cce8b4007d53b2bea23580eb2cf98973	697	MobiDBLite	mobidb-lite	consensus disorder prediction	581	606	-	T	10-07-2023	-	-
MZ334524.1_125	cce8b4007d53b2bea23580eb2cf98973	697	MobiDBLite	mobidb-lite	consensus disorder prediction	339	358	-	T	10-07-2023	-	-
MZ334524.1_8	28f2438eae77628b6d2a855134ea76fc	98	Coils	Coil	Coil	75	95	-	T	10-07-2023	-	-
MZ334524.1_8	28f2438eae77628b6d2a855134ea76fc	98	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	10-07-2023	-	-
MZ334524.1_82	ae054dbb4f446c41b9568daa99d2598a	167	ProSiteProfiles	PS51186	Gcn5-related N-acetyltransferase (GNAT) domain profile.	4	156	14.44556	T	10-07-2023	IPR000182	GNAT domain
MZ334524.1_82	ae054dbb4f446c41b9568daa99d2598a	167	Pfam	PF00583	Acetyltransferase (GNAT) family	45	120	1.6E-10	T	10-07-2023	IPR000182	GNAT domain
MZ334524.1_82	ae054dbb4f446c41b9568daa99d2598a	167	CDD	cd04301	NAT_SF	55	118	6.60924E-7	T	10-07-2023	-	-
MZ334524.1_82	ae054dbb4f446c41b9568daa99d2598a	167	SUPERFAMILY	SSF55729	Acyl-CoA N-acyltransferases (Nat)	4	155	1.42E-13	T	10-07-2023	IPR016181	Acyl-CoA N-acyltransferase
MZ334524.1_82	ae054dbb4f446c41b9568daa99d2598a	167	Gene3D	G3DSA:3.40.630.30	-	13	161	2.3E-13	T	10-07-2023	-	-
MZ334524.1_96	af3f2046d20f7309c5dc64bd212959f7	496	MobiDBLite	mobidb-lite	consensus disorder prediction	107	135	-	T	10-07-2023	-	-
MZ334524.1_96	af3f2046d20f7309c5dc64bd212959f7	496	MobiDBLite	mobidb-lite	consensus disorder prediction	1	17	-	T	10-07-2023	-	-
MZ334524.1_96	af3f2046d20f7309c5dc64bd212959f7	496	MobiDBLite	mobidb-lite	consensus disorder prediction	37	68	-	T	10-07-2023	-	-
MZ334524.1_96	af3f2046d20f7309c5dc64bd212959f7	496	MobiDBLite	mobidb-lite	consensus disorder prediction	151	196	-	T	10-07-2023	-	-
MZ334524.1_96	af3f2046d20f7309c5dc64bd212959f7	496	MobiDBLite	mobidb-lite	consensus disorder prediction	18	34	-	T	10-07-2023	-	-
MZ334524.1_96	af3f2046d20f7309c5dc64bd212959f7	496	MobiDBLite	mobidb-lite	consensus disorder prediction	1	84	-	T	10-07-2023	-	-
MZ334524.1_96	af3f2046d20f7309c5dc64bd212959f7	496	MobiDBLite	mobidb-lite	consensus disorder prediction	107	230	-	T	10-07-2023	-	-
MZ334524.1_81	dcac18662f213be97ad3fcf265def95b	53	TIGRFAM	TIGR03510	XapX: XapX domain	6	52	2.1E-19	T	10-07-2023	IPR020017	XapX domain
MZ334524.1_118	cc3f8b6697eb642298c43035dcad251b	81	MobiDBLite	mobidb-lite	consensus disorder prediction	62	81	-	T	10-07-2023	-	-
MZ334524.1_118	cc3f8b6697eb642298c43035dcad251b	81	Coils	Coil	Coil	49	69	-	T	10-07-2023	-	-
MZ334524.1_118	cc3f8b6697eb642298c43035dcad251b	81	MobiDBLite	mobidb-lite	consensus disorder prediction	67	81	-	T	10-07-2023	-	-
MZ334524.1_43	90a536f2e8b4b8327b7753ae16b94d9f	193	Coils	Coil	Coil	162	182	-	T	10-07-2023	-	-
MZ334524.1_48	5fe816f9f1bc6b59eda3c25e26c57085	231	Pfam	PF14520	Helix-hairpin-helix domain	176	223	1.8E-9	T	10-07-2023	-	-
MZ334524.1_48	5fe816f9f1bc6b59eda3c25e26c57085	231	Gene3D	G3DSA:1.10.150.20	-	168	225	6.9E-13	T	10-07-2023	-	-
MZ334524.1_48	5fe816f9f1bc6b59eda3c25e26c57085	231	Gene3D	G3DSA:3.40.50.10130	-	1	156	1.1E-14	T	10-07-2023	-	-
